ts,main_selected,main_strategy_ret,main_gross_exposure,main_turnover,prev_selected,prev_strategy_ret,prev_gross_exposure,prev_turnover,ret_diff_main_minus_prev,same_selection,different_selection,main_in_market,prev_in_market,main_cash_prev_in,prev_cash_main_in,pair,month
2025-02-01,BTCUSDT,-0.0291652113341543,1.0,0.0,BTCUSDT,-0.0291652113341543,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-02,BTCUSDT,0.0371331432082446,1.0,0.0,BTCUSDT,0.0371331432082446,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-03,BTCUSDT,-0.035186441092794,1.0,0.0,BTCUSDT,-0.035186441092794,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-04,BTCUSDT,-0.011770285996367,1.0,0.0,BTCUSDT,-0.011770285996367,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-05,BTCUSDT,-0.0006011648811647,1.0,0.0,BTCUSDT,-0.0006011648811647,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-06,BTCUSDT,-0.0004924687494659,1.0,0.0,BTCUSDT,-0.0004924687494659,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-07,BTCUSDT,-0.0006430634939713,1.0,0.0,BTCUSDT,-0.0006430634939713,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-08,BTCUSDT,0.0001867390590715,1.0,0.0,BTCUSDT,0.0001867390590715,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-09,BTCUSDT,0.0100356873508169,1.0,0.0,BTCUSDT,0.0100356873508169,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-10,BTCUSDT,-0.0169619838979083,1.0,0.0,BTCUSDT,-0.0169619838979083,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-11,BTCUSDT,0.021839938524633,1.0,0.0,BTCUSDT,0.021839938524633,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-12,BTCUSDT,-0.0128931248485874,1.0,0.0,BTCUSDT,-0.0128931248485874,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-13,BTCUSDT,0.0092366957898164,1.0,0.0,BTCUSDT,0.0092366957898164,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-14,BTCUSDT,0.0007095349684433,1.0,0.0,BTCUSDT,0.0007095349684433,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-15,BTCUSDT,-0.0148769607273409,1.0,0.0,BTCUSDT,-0.0148769607273409,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-16,BTCUSDT,-0.0035177550289164,1.0,0.0,BTCUSDT,-0.0035177550289164,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-17,BTCUSDT,-0.0011302986009604,1.0,0.0,BTCUSDT,-0.0011302986009604,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-18,CASH,-0.0015,0.0,1.0,CASH,-0.0015,0.0,1.0,0.0,True,False,False,False,False,False,CASH -> CASH,2025-02
2025-02-19,BTCUSDT,0.0156828943579435,1.0,1.0,BTCUSDT,0.0156828943579435,1.0,1.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-20,BTCUSDT,-0.021596256548497,1.0,0.0,BTCUSDT,-0.021596256548497,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-21,BTCUSDT,0.0038367893861199,1.0,0.0,BTCUSDT,0.0038367893861199,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-22,BTCUSDT,-0.0030347688750226,1.0,0.0,BTCUSDT,-0.0030347688750226,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-23,BTCUSDT,-0.0488803008581104,1.0,0.0,BTCUSDT,-0.0488803008581104,1.0,0.0,0.0,True,False,True,True,False,False,BTCUSDT -> BTCUSDT,2025-02
2025-02-24,CASH,-0.0015,0.0,1.0,CASH,-0.0015,0.0,1.0,0.0,True,False,False,False,False,False,CASH -> CASH,2025-02
2025-02-25,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2025-02
2025-02-26,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2025-02
2025-02-27,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2025-02
2025-02-28,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2025-02
2025-03-01,CASH,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,True,False,False,False,False,False,CASH -> CASH,2025-03
