month,diff_days,sum_ret_diff_pct_points,avg_ret_diff_pct_points
2023-04,1,0.2907,0.2907
2023-11,1,0.3496,0.3496
2023-12,6,-0.7519,-0.1253
2024-01,17,-0.6379,-0.0375
2024-02,6,5.7563,0.9594
2024-06,1,-4.9883,-4.9883
2024-12,4,0.4998,0.1249
2025-01,12,-1.134,-0.0945
2025-08,3,1.1989,0.3996
2025-09,8,-4.0411,-0.5051
2025-10,1,-5.8854,-5.8854
