month,diff_days,sum_ret_diff_pct_points,avg_ret_diff_pct_points
2025-01,12,-1.134,-0.0945
2025-08,3,1.1989,0.3996
2025-09,8,-4.0411,-0.5051
2025-10,1,-5.8854,-5.8854
