strategy,cagr,mdd,sharpe,calmar,turnover,costs,fee,slippage,funding,trades,median_holding,profitable_folds,fold_count,worst_fold,without_best_day,without_three_trades,liquidations,total_log_growth
phase61_core_rotation,0.157248347065,0.508729348193,0.482079646106,0.309100207455,46.3769990773,0.209915303574,0.0417392991696,0.0927545684007,0.0754214360042,122,3,3,6,-0.210581472217,0.018285060712,-0.0369529094747,0,0.768510963815
phase62_btc_overlay_default,0.121182481829,0.433780332694,0.487521279989,0.279363707148,39.1831005087,0.206035334236,0.0352647904578,0.0783667976805,0.0924037460978,103,3,3,6,-0.0105774405279,0.0842455127768,-0.0350838559824,0,0.601905231981
phase63_btc_participation,0.125743609509,0.508729348193,0.434774928254,0.24717191952,46.3878940288,0.220810626264,0.0417491046259,0.0927764019709,0.086285119667,122,3,3,6,-0.195365583744,-0.0094365633252,-0.0631707441496,0,0.623268967521
phase66g_production_soft_filters,0.0833564040782,0.573293618009,0.369060695043,0.145399148813,48.2871499019,0.227941794945,0.0434584349117,0.0965749313131,0.0879084287201,127,3,3,6,-0.303280095384,-0.0467338799857,-0.0984448276849,0,0.421308733096
phase67j_no_neo_main,0.0478777485938,0.609183672103,0.315752035789,0.0785932893252,49.0463424094,0.230268328139,0.0441417081684,0.0980933213229,0.0880332986472,129,4,2,6,-0.20568588767,-0.0779522307793,-0.127969705406,0,0.246094548045
phase68g_66g_1p25x_candidate,0.0761804910146,0.571507442031,0.381642954007,0.133297461086,31.1264799166,0.12557408254,0.028013831925,0.0622532787112,0.0353069719043,69,2,2,6,-0.323940829863,0.0186367750181,-0.103783844683,0,0.38633747204
phase68g_66g_1p50x_candidate,0.0662487131676,0.651511445915,0.351544679582,0.101684649722,36.1312459559,0.145925662659,0.0325181213603,0.0722629002996,0.041144640999,69,2,1,6,-0.381175077301,-0.000103329009523,-0.134946630815,0,0.337549048823
phase68g_btc_persistence_10d_early_risk_075,0.0838499117043,0.565201459178,0.402492275162,0.14835402553,32.0034971599,0.131582597737,0.0288031474439,0.0640073379097,0.0387721123829,72,2,2,6,-0.313991491292,0.0258961093239,-0.0973969432469,0,0.423705284631
phase68g_etf_flow_impulse_early_risk_cooldown_15,0.0657243355173,0.580826089478,0.351768111352,0.113156651721,34.704846139,0.1437245278,0.0312343615251,0.069410041405,0.0430801248699,86,2,2,6,-0.33864343541,0.00873971350868,-0.112491469062,0,0.334960504379
phase68h_dynamic_leverage_ladder,0.0532505032545,0.654966044978,0.320045385754,0.0813026929607,34.2689190565,0.139120207852,0.0308420271508,0.0685383263827,0.0397398543184,69,2,2,6,-0.387309545629,-0.00306713894251,-0.132927992085,0,0.273006087886
phase68j_phase68g_66g_1p25x_candidate_g1_adverse_cd2,0.0738590662643,0.57356837231,0.375248269995,0.128771162829,31.0350369224,0.125059169891,0.0279315332301,0.0620704046107,0.0350572320499,69,2,2,6,-0.331888018558,0.0164394775937,-0.105717069065,0,0.374974250253
phase68j_phase68g_66g_1p25x_candidate_g2_dd5_cd3,0.0747394663695,0.573409908058,0.377834226764,0.130342125797,31.1206888135,0.125276337434,0.0280086199322,0.0622417029341,0.0350260145682,69,2,2,6,-0.326942468,0.017272802423,-0.104983893911,0,0.37928663985
phase68j_phase68g_66g_1p50x_candidate_g1_adverse_cd2,0.0626589891726,0.668090334207,0.342343136062,0.0937881989372,36.102878616,0.144782021056,0.0324925907544,0.0722061836833,0.0400832466181,69,2,2,6,-0.418790364201,-0.00346966655162,-0.137858993379,0,0.319803158594
phase68j_phase68g_66g_1p50x_candidate_g2_dd5_cd3,0.0811993189766,0.649115118452,0.387892902224,0.12509232441,35.7141641172,0.143529772659,0.0321427477055,0.0714286482627,0.0399583766909,69,2,2,6,-0.37691982375,0.0139169092268,-0.122817123162,0,0.410820754149
phase68j_phase68h_dynamic_leverage_ladder_g1_adverse_cd2,0.0491594781044,0.66980189657,0.308719989314,0.0733940562965,34.2411521108,0.138196832056,0.0308170368997,0.0684828128465,0.0388969823101,69,2,2,6,-0.421787494565,-0.00693941566589,-0.136295864572,0,0.252527102212
phase68j_phase68h_dynamic_leverage_ladder_g2_dd5_cd3,0.0644822678721,0.650924530527,0.34919136242,0.0990625869023,33.9686307463,0.137375219784,0.0305717676717,0.0679376872842,0.0388657648283,69,2,2,6,-0.380132868408,0.00756405961883,-0.123681617486,0,0.328824061076
A_selector,0.157248347065,0.508729348193,0.482079646106,0.309100207455,46.3769990773,0.209915303574,0.0417392991696,0.0927545684007,0.0754214360042,122,3,3,6,-0.210581472217,0.018285060712,-0.0369529094747,0,0.768510963815
B_permission,0.0157715939037,0.589204715693,0.211959280417,0.0267675961914,30.7744655232,0.12246166183,0.0276970189708,0.0615492422346,0.0332154006243,81,2,2,6,-0.289372817337,-0.106203053311,-0.128861172082,0,0.082344819485
C1_soft_governance_only,0.0143972890522,0.589204715693,0.209227800611,0.0244351219003,30.7745914121,0.12258689734,0.0276971322709,0.0615494945171,0.0333402705515,81,2,2,6,-0.289372817337,-0.107412330561,-0.130039793659,0,0.0752204877526
C_soft_filters,0.0825225852157,0.489338385639,0.418838282992,0.16864114412,26.2164031917,0.105497141632,0.0235947628726,0.0524330759497,0.0294693028096,69,2,2,6,-0.264242566604,0.0347122707007,-0.0739399407668,0,0.417257094469
D_pruning,0.0825225852157,0.489338385639,0.418838282992,0.16864114412,26.2164031917,0.105497141632,0.0235947628726,0.0524330759497,0.0294693028096,69,2,2,6,-0.264242566604,0.0347122707007,-0.0739399407668,0,0.417257094469
E_exposure_125,0.0761804910146,0.571507442031,0.381642954007,0.133297461086,31.1264799166,0.12557408254,0.028013831925,0.0622532787112,0.0353069719043,69,2,2,6,-0.323940829863,0.0186367750181,-0.103783844683,0,0.38633747204
E_persistence_bridge,0.0838499117043,0.565201459178,0.402492275162,0.14835402553,32.0034971599,0.131582597737,0.0288031474439,0.0640073379097,0.0387721123829,72,2,2,6,-0.313991491292,0.0258961093239,-0.0973969432469,0,0.423705284631
F_ETF_no_cooldown,0.0702251782329,0.547300919119,0.364188410288,0.128311822216,36.2526842935,0.151147734118,0.0326274158642,0.0725057500957,0.0460145681582,94,2.5,2,6,-0.285748703799,0.0129998947208,-0.108743279991,0,0.357137190536
G_current,0.0657243355173,0.580826089478,0.351768111352,0.113156651721,34.704846139,0.1437245278,0.0312343615251,0.069410041405,0.0430801248699,86,2,2,6,-0.33864343541,0.00873971350868,-0.112491469062,0,0.334960504379
H_replace_selector,0.109480850662,0.697230339291,0.446863463212,0.157022499585,52.8891943974,0.223181579351,0.0476002749576,0.105779015111,0.069802289282,125,2,2,6,-0.393964025741,0.0593937284342,-0.0624549731939,0,0.546696278509
I_slow_hysteresis,-0.0830990155894,0.593577344264,-0.342620952486,-0.139996946299,17.7400236415,0.076888570688,0.0159660212774,0.0354803017519,0.0254422476587,56,3,1,6,-0.290316389326,-0.0967541902048,-0.144171078152,0,-0.456521913626
phase2_vol_adjusted,-0.0621086946516,0.677344180703,-0.0103515238364,-0.0916944389884,14.2110721726,0.126885343016,0.0127899649553,0.0284222025417,0.0856731755195,43,30,3,6,-0.3676062137,-0.0859729276371,-0.159857175042,0,-0.337415405513
phase2_regime_allocation,0.0382577638839,0.546560003341,0.276464315784,0.0699973720178,10.2271653066,0.101099314725,0.0092044487759,0.0204549692107,0.0714398967381,26,30,1,6,-0.251446684414,0.00441440213592,-0.15709969055,0,0.197562558159
