strategy,fold,net_return
C1_soft_governance_only,2021,0.012074854093
C1_soft_governance_only,2022,0
C1_soft_governance_only,2023,-0.289372817337
C1_soft_governance_only,2024,0.823693401798
C1_soft_governance_only,2025,-0.17801940418
C1_soft_governance_only,2026,0
C_soft_filters,2021,0.0946471985418
C_soft_filters,2022,0
C_soft_filters,2023,-0.221969446701
C_soft_filters,2024,1.42218311944
C_soft_filters,2025,-0.264242566604
C_soft_filters,2026,0
D_pruning,2021,0.0946471985418
D_pruning,2022,0
D_pruning,2023,-0.221969446701
D_pruning,2024,1.42218311944
D_pruning,2025,-0.264242566604
D_pruning,2026,0
E_exposure_125,2021,0.0428767689124
E_exposure_125,2022,0
E_exposure_125,2023,-0.259198946654
E_exposure_125,2024,1.81750658566
E_exposure_125,2025,-0.323940829863
E_exposure_125,2026,0
E_persistence_bridge,2021,0.063507500168
E_persistence_bridge,2022,0
E_persistence_bridge,2023,-0.256847628851
E_persistence_bridge,2024,1.81750658566
E_persistence_bridge,2025,-0.313991491292
E_persistence_bridge,2026,0
F_ETF_no_cooldown,2021,0.063507500168
F_ETF_no_cooldown,2022,0
F_ETF_no_cooldown,2023,-0.256847628851
F_ETF_no_cooldown,2024,1.67936991072
F_ETF_no_cooldown,2025,-0.285748703799
F_ETF_no_cooldown,2026,-0.0550679639145
G_current,2021,0.063507500168
G_current,2022,0
G_current,2023,-0.256847628851
G_current,2024,1.68087617607
G_current,2025,-0.33864343541
G_current,2026,-0.00243627128927
H_replace_selector,2021,1.90688907342
H_replace_selector,2022,-0.0359935914204
H_replace_selector,2023,-0.0175453629871
H_replace_selector,2024,0.0379280173685
H_replace_selector,2025,-0.393964025741
H_replace_selector,2026,-0.00243627128927
I_slow_hysteresis,2021,-0.0274317334791
I_slow_hysteresis,2022,0
I_slow_hysteresis,2023,-0.0895091254182
I_slow_hysteresis,2024,0.0104944530561
I_slow_hysteresis,2025,-0.290316389326
I_slow_hysteresis,2026,-0.00243627128927
phase2_vol_adjusted,2021,-0.0902926290768
phase2_vol_adjusted,2022,-0.3676062137
phase2_vol_adjusted,2023,0.181095658232
phase2_vol_adjusted,2024,0.0625022310096
phase2_vol_adjusted,2025,-0.0156676872275
phase2_vol_adjusted,2026,0.00419112319418
phase2_regime_allocation,2021,0.936700466143
phase2_regime_allocation,2022,0
phase2_regime_allocation,2023,-0.0543414020051
phase2_regime_allocation,2024,-0.251446684414
phase2_regime_allocation,2025,-0.111247658612
phase2_regime_allocation,2026,0
phase2_slow_hysteresis,2021,0.541847000771
phase2_slow_hysteresis,2022,-0.392677122165
phase2_slow_hysteresis,2023,0.129057212744
phase2_slow_hysteresis,2024,-0.0930894378648
phase2_slow_hysteresis,2025,-0.120145392149
phase2_slow_hysteresis,2026,0.00419112319418
phase2_ensemble,2021,0.159991196362
phase2_ensemble,2022,-0.392320017484
phase2_ensemble,2023,0.596102755486
phase2_ensemble,2024,-0.158795976232
phase2_ensemble,2025,-0.267883928912
phase2_ensemble,2026,-0.012783296597
BTC_hold,2021,0.249031224506
BTC_hold,2022,-0.720470623278
BTC_hold,2023,0.999014102276
BTC_hold,2024,0.729333214196
BTC_hold,2025,-0.267985605966
BTC_hold,2026,-0.267007993097
BTC_SMA200,2021,-0.157382906056
BTC_SMA200,2022,0
BTC_SMA200,2023,0.426767992778
BTC_SMA200,2024,0.257679032848
BTC_SMA200,2025,-0.32664235075
BTC_SMA200,2026,0
S_core_unpruned,2021,0.00864541877955
S_core_unpruned,2022,-0.0746001553105
S_core_unpruned,2023,-0.303280095384
S_core_unpruned,2024,0.353119425635
S_core_unpruned,2025,0.731847983951
S_core_unpruned,2026,0
S_reference_before_NEO_pruning,2021,0.00864541877955
S_reference_before_NEO_pruning,2022,-0.0746001553105
S_reference_before_NEO_pruning,2023,-0.238557635019
S_reference_before_NEO_pruning,2024,-0.00388950767255
S_reference_before_NEO_pruning,2025,0.731847983951
S_reference_before_NEO_pruning,2026,0
S_NEO_only_not_pruned,2021,0.0946471985418
S_NEO_only_not_pruned,2022,0
S_NEO_only_not_pruned,2023,-0.221969446701
S_NEO_only_not_pruned,2024,1.42218311944
S_NEO_only_not_pruned,2025,-0.264242566604
S_NEO_only_not_pruned,2026,0
S_SSOT_shortlist_current,2021,0.063507500168
S_SSOT_shortlist_current,2022,0
S_SSOT_shortlist_current,2023,-0.241044661675
S_SSOT_shortlist_current,2024,1.68087617607
S_SSOT_shortlist_current,2025,-0.33864343541
S_SSOT_shortlist_current,2026,-0.00243627128927
S_economic_route_current,2021,0.0113712186314
S_economic_route_current,2022,0
S_economic_route_current,2023,-0.333100767528
S_economic_route_current,2024,0.61545250555
S_economic_route_current,2025,-0.241875466797
S_economic_route_current,2026,-0.00243627128927
S_ETF_extra_day,2021,0.063507500168
S_ETF_extra_day,2022,0
S_ETF_extra_day,2023,-0.256847628851
S_ETF_extra_day,2024,1.54655058489
S_ETF_extra_day,2025,-0.345574981774
S_ETF_extra_day,2026,0.0129395859463
S_current_without_ETF,2021,0.063507500168
S_current_without_ETF,2022,0
S_current_without_ETF,2023,-0.256847628851
S_current_without_ETF,2024,1.81750658566
S_current_without_ETF,2025,-0.313991491292
S_current_without_ETF,2026,0
