date,mechanism_family,event_kind,family_logic_label,selected_for_family,vetoed_by_family,mechanism_signal,forward_baseline_return_h3,pre_mean_abs_base_ret,pre_abs_range,trend_accel,trend_build,trend_gate_pass,stress_active,trend_block,stress_block,leverage_eligible,target_leverage,baseline_regime_on_event,baseline_asset_on_event,overlay_trend_score,overlay_equity_curve
2019-03-26,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,1.0,-0.0008264462809920436,0.0,0.0,0.3734767525710049,0.3256899413695612,1,0,0,0,1,1.0,CASH,,0.1590232747028946,0.9999178644763861
2019-05-03,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,0,1,0.33333333333333337,-0.004313413677158984,0.027680234211898035,0.039216745204407905,0.09629604490358569,-0.9191186255925733,0,0,1,0,0,1.0,BTC,,0.0808813744074267,1.461850074369424
2019-05-06,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.8333333333333334,0.06920642000092858,0.023336351749983466,0.0417082562120541,0.1450644330850846,0.02486188000819231,1,0,0,0,1,1.0,BTC,,0.105743254415619,1.4536624934659739
2019-06-15,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.8333333333333334,0.0,0.027343084927394536,0.0413143172748531,0.5686144257447955,1.2091332605809035,1,0,0,0,1,1.0,BASE,,0.4410965154455494,2.2572815900296113
2020-02-10,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,1.0,0.19195326815604652,0.012832992735314965,0.021671899755142898,1.4374296513568945,1.1666666666666665,1,0,0,0,1,1.0,CANDIDATE,XTZ,1.0,3.464885785754177
2020-05-31,participation_divergence_instability_filter,cross_up+asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,0.02306983183164757,0.0147503296848202,0.0287098748603753,0.5674370532666616,0.46454603729558774,1,1,0,0,0,1.0,BTC,XTZ,0.2978793706289211,3.2086461484237008
2020-06-02,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.8333333333333334,0.033572845422145114,0.04469220860900003,0.05392166902984,0.24136308469557638,0.4359455636601154,1,0,0,0,1,1.0,BTC,XTZ,0.1663878810223749,3.1740915839941515
2020-06-05,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,0,1,0.33333333333333337,0.0076878564933455795,0.03173525728395437,0.054223183161060506,0.041963498467179,-0.1594996932283044,0,0,1,0,0,1.0,BASE,XTZ,0.0068881877940705,3.292964056298565
2020-06-06,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,0.013166503107622018,0.011077949765142035,0.0106130939020496,0.09212220820046611,-0.02094787549021629,0,0,0,0,0,1.0,BASE,,0.0990103959945366,3.328623996066699
2020-06-07,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.8333333333333334,-0.06448863636363644,0.009497515972309233,0.0077487393953765,0.06469651262933458,0.1987822192969797,1,0,0,0,0,1.0,BASE,XTZ,0.1637069086238712,3.3536676178885942
2020-06-13,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,0,1,0.33333333333333337,0.008844975622384288,0.05025589911094871,0.0497935344580621,-0.2229216793858578,0.0443030466918275,0,1,0,0,0,1.0,BTC,,-0.3507006890756696,3.0185686882929796
2020-06-14,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,0,1,0.33333333333333337,0.003850983676898956,0.027312055061937433,0.0602959845368604,-0.03199664483298603,-0.23522808124469932,0,1,0,0,0,1.0,BASE,XTZ,-0.3826973339086556,3.0067168631803827
2020-06-20,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,0.07083465273127354,0.012838734728321267,0.010298607998044499,0.009247432729914129,0.07811129348460899,0,1,0,0,0,1.0,BASE,,-0.2733264403564823,3.0472287577729213
2020-06-21,participation_divergence_instability_filter,cross_up+asset_transition,participation_divergence_instability_filter,1,0,0.8333333333333334,-0.011851360708500236,0.010261490223461166,0.0180303415126248,0.5959675263599029,0.7596667610682006,1,0,0,0,0,1.0,BASE,XTZ,0.3226410860034206,3.267980118800717
2020-06-27,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.026941715200284433,0.020184457388405234,0.027518474746172503,0.14961351539150758,-0.2838532109056897,0,1,0,0,0,1.0,BASE,,-0.0657724268141311,3.1054525272299136
2020-06-28,participation_divergence_instability_filter,cross_up+asset_transition,participation_divergence_instability_filter,1,0,0.5,0.1821869036419168,0.022748554227765134,0.025584310552468605,0.1124913649560187,-0.0641200780249337,0,1,0,0,0,1.0,BASE,XTZ,0.0467189381418876,3.1468714468124044
2020-07-01,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,1,0,0.8333333333333334,-0.01843165228035748,0.015817254485691733,0.013669407258605298,0.5064743603635199,0.1638727304151304,1,0,0,0,1,1.0,CANDIDATE,XTZ,0.210591668557018,3.852696138698287
2020-07-03,participation_divergence_instability_filter,cross_up,participation_divergence_instability_filter,0,1,0.33333333333333337,0.11941192927158362,0.07690100865569327,0.142634243508788,0.2030052711560944,0.345677135283166,0,0,1,0,0,1.0,CANDIDATE,XTZ,0.0497944434766641,3.842349056825944
2020-07-04,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.2911229875663095,0.0819962936145987,0.1273483886320717,0.019128267600837502,-0.1416689574795164,0,0,0,0,0,1.0,BASE,,0.0689227110775016,3.781684583127924
2020-07-05,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,0.13115453439833713,0.0317503917020385,0.0244967127722905,0.5395214274244072,0.7616549661813391,1,0,0,0,0,1.0,BASE,DOGE,0.6084441385019088,4.039716633587898
2020-07-11,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,-0.017216524568557157,0.026225308054242533,0.058145063894237806,0.0,0.0,1,0,0,0,0,1.0,BASE,,1.0,4.640046816906137
2020-07-12,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,-0.024759916492693157,0.0098687347299104,0.0090753439212414,0.0,0.0,1,0,0,0,0,1.0,BASE,,1.0,4.577170446266403
2020-07-18,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,0.10300698423319865,0.012623122058140333,0.017269098938582403,0.0,0.0,1,1,0,0,0,1.0,BASE,,1.0,4.551437050285383
2020-07-19,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,0.16647599677979774,0.010447904820101134,0.0107434472244648,0.0,0.0,1,1,0,0,0,1.0,BASE,,1.0,4.492428832913109
2020-07-25,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.021575562700964834,0.05044991065583177,0.07954919840918691,0.0,0.0,1,0,0,0,0,1.0,BASE,,1.0,6.560475751755626
2020-07-26,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.040195073463175746,0.04210744301231594,0.07954919840918691,0.0,0.0,1,0,0,0,0,1.0,BASE,,1.0,6.791041668047231
2020-08-01,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.057697705726560855,0.06855503567833757,0.0832091161067033,0.0,0.0,1,0,0,0,0,1.0,BASE,,1.0,8.628573250488913
2020-08-02,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.5,0.04836534665025494,0.06310933523336533,0.0832091161067033,0.0,0.0,1,0,0,0,0,1.0,BASE,,1.0,8.718391395647107
2020-08-08,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,-0.010045644119681119,0.0100719286413993,0.012924976971159002,0.0,0.0,1,0,0,0,0,1.0,BASE,,1.0,9.290043161926484
2020-08-09,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,-0.00949472459244638,0.0118334902409767,0.007640292172426801,0.0,0.0,1,0,0,0,0,1.0,BASE,,1.0,9.458035156016832
2020-08-15,participation_divergence_instability_filter,asset_transition,participation_divergence_instability_filter,1,0,0.6666666666666667,-0.013131559063050746,0.009370802384819833,0.016997636403270698,0.0,0.0,1,0,0,0,0,1.0,BASE,,1.0,9.653383781197395
