variant,universe_name,n_symbols,entry_override,entry_ret5_threshold,entry_xs20_threshold,entry_conf_threshold,score,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,missed_leader_pct_of_in_market,pain_bar_pct_of_in_market,sum_leader_gap_ret
no_btc__ovr0__r540__xs0__cf25,no_btc,11,False,40.0,0.0,25.0,-19.918,5350.1,66.25,-32.96,1.187,1.491,178,74.74,85.95,68.6,39.7957
full12__ovr0__r540__xs0__cf25,full12,12,False,40.0,0.0,25.0,-20.612,14028.43,87.65,-37.04,1.399,1.834,206,69.38,87.27,69.55,50.0939
no_trx__ovr0__r540__xs0__cf25,no_trx,11,False,40.0,0.0,25.0,-21.109,5698.31,67.56,-36.56,1.463,1.397,185,71.43,86.6,67.11,45.2408
liquid10__ovr0__r540__xs0__cf25,liquid10,10,False,40.0,0.0,25.0,-24.051,3513.37,57.78,-36.64,1.395,1.228,189,70.95,86.83,66.71,45.5208
full12__ovr1__r540__xs20__cf30,full12,12,True,40.0,20.0,30.0,-25.04,12831.37,85.55,-38.01,1.326,1.75,314,64.68,87.49,68.67,55.5108
full12__ovr1__r540__xs20__cf25,full12,12,True,40.0,20.0,25.0,-25.134,13861.34,87.37,-38.92,1.342,1.776,314,64.58,87.43,68.66,55.7312
full12__ovr1__r540__xs0__cf25,full12,12,True,40.0,0.0,25.0,-26.72,13840.72,87.33,-40.65,1.339,1.781,317,64.09,87.6,68.51,56.7637
full12__ovr1__r540__xs0__cf30,full12,12,True,40.0,0.0,30.0,-26.8,12493.55,84.93,-39.76,1.318,1.748,321,64.23,87.65,68.48,56.517
no_trx__ovr1__r580__xs20__cf30,no_trx,11,True,80.0,20.0,30.0,-29.511,3517.24,57.8,-39.41,1.257,1.232,280,67.54,86.28,66.35,50.0829
no_trx__ovr1__r580__xs20__cf25,no_trx,11,True,80.0,20.0,25.0,-30.216,3417.32,57.24,-40.03,1.249,1.226,281,67.47,86.31,66.42,50.3289
no_trx__ovr1__r580__xs0__cf25,no_trx,11,True,80.0,0.0,25.0,-30.884,3316.08,56.66,-40.31,1.238,1.224,285,67.15,86.23,66.42,50.8596
no_trx__ovr1__r580__xs0__cf30,no_trx,11,True,80.0,0.0,30.0,-30.889,3083.62,55.26,-39.69,1.219,1.201,286,67.29,86.28,66.38,50.5872
full12__ovr1__r560__xs20__cf25,full12,12,True,60.0,20.0,25.0,-31.342,8959.06,77.34,-43.95,1.252,1.611,321,64.93,87.6,68.75,55.8998
full12__ovr1__r560__xs20__cf30,full12,12,True,60.0,20.0,30.0,-31.379,8455.68,76.06,-43.54,1.24,1.592,323,65.03,87.66,68.76,55.6538
no_trx__ovr1__r560__xs20__cf30,no_trx,11,True,60.0,20.0,30.0,-31.94,3460.92,57.49,-41.9,1.232,1.208,296,66.49,86.4,66.25,51.2868
full12__ovr1__r560__xs0__cf25,full12,12,True,60.0,0.0,25.0,-32.251,8297.51,75.64,-43.8,1.234,1.594,323,64.61,87.71,68.93,56.785
no_trx__ovr1__r560__xs20__cf25,no_trx,11,True,60.0,20.0,25.0,-32.279,3472.13,57.55,-42.32,1.233,1.21,294,66.42,86.42,66.32,51.5071
full12__ovr1__r560__xs0__cf30,full12,12,True,60.0,0.0,30.0,-32.412,7679.84,73.94,-43.4,1.218,1.569,327,64.75,87.76,68.9,56.5126
no_trx__ovr1__r560__xs0__cf25,no_trx,11,True,60.0,0.0,25.0,-32.542,3518.63,57.81,-42.32,1.234,1.218,296,66.08,86.56,66.36,52.1679
no_trx__ovr1__r560__xs0__cf30,no_trx,11,True,60.0,0.0,30.0,-32.899,3168.94,55.79,-41.9,1.207,1.187,300,66.21,86.61,66.32,51.9212
full12__ovr1__r580__xs20__cf25,full12,12,True,80.0,20.0,25.0,-34.556,8511.66,76.2,-50.04,1.25,1.646,316,65.9,87.14,68.67,54.4988
liquid10__ovr1__r560__xs20__cf30,liquid10,10,True,60.0,20.0,30.0,-34.783,2185.68,48.86,-41.12,1.141,1.085,313,65.52,86.48,66.2,52.3278
liquid10__ovr1__r540__xs20__cf30,liquid10,10,True,40.0,20.0,30.0,-34.854,2174.14,48.76,-41.12,1.139,1.083,317,65.41,86.32,66.3,52.3961
full12__ovr1__r580__xs20__cf30,full12,12,True,80.0,20.0,30.0,-35.327,7896.3,74.55,-50.66,1.234,1.62,315,66.04,87.19,68.75,54.2346
no_btc__ovr1__r580__xs20__cf30,no_btc,11,True,80.0,20.0,30.0,-35.362,2281.1,49.63,-45.44,0.969,1.23,291,71.78,86.31,68.68,43.972
liquid10__ovr1__r560__xs20__cf25,liquid10,10,True,60.0,20.0,25.0,-35.432,2179.7,48.81,-41.98,1.14,1.085,313,65.45,86.51,66.26,52.5482
liquid10__ovr1__r540__xs20__cf25,liquid10,10,True,40.0,20.0,25.0,-35.503,2168.19,48.71,-41.98,1.138,1.084,317,65.34,86.35,66.37,52.6164
no_btc__ovr1__r580__xs20__cf25,no_btc,11,True,80.0,20.0,25.0,-35.817,2256.77,49.44,-46.0,0.967,1.228,291,71.75,86.33,68.72,44.0842
liquid10__ovr1__r580__xs20__cf30,liquid10,10,True,80.0,20.0,30.0,-35.909,2246.58,49.36,-45.09,1.182,1.108,296,66.74,86.19,66.11,50.9551
liquid10__ovr1__r580__xs20__cf25,liquid10,10,True,80.0,20.0,25.0,-36.571,2181.77,48.83,-45.65,1.174,1.102,297,66.67,86.22,66.18,51.2011
no_btc__ovr1__r540__xs20__cf30,no_btc,11,True,40.0,20.0,30.0,-36.633,1513.87,42.42,-41.26,0.871,1.101,308,70.53,87.25,69.3,46.2569
