window,train_start,train_end,test_start,test_end,chosen_model,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count
1,2018-05-04,2020-04-22,2020-04-23,2020-10-19,base,43.32,65.51,-20.04,1.393,1.54,18
2,2018-10-31,2020-10-19,2020-10-20,2021-04-17,rs,168.84,299.28,-16.37,3.419,4.382,15
3,2019-04-29,2021-04-17,2021-04-18,2021-10-14,base,-15.6,-21.14,-28.56,-0.612,-0.316,10
4,2019-10-26,2021-10-14,2021-10-15,2022-04-12,base,19.23,27.92,-22.27,0.968,0.923,11
5,2020-04-23,2022-04-12,2022-04-13,2022-10-09,rs,0.0,0.0,0.0,0.0,0.0,0
6,2020-10-20,2022-10-09,2022-10-10,2023-04-07,rs,1.88,2.64,-4.14,0.285,0.187,1
7,2021-04-18,2023-04-07,2023-04-08,2023-10-04,rs,-10.76,-14.74,-21.9,-0.764,-0.451,9
8,2021-10-15,2023-10-04,2023-10-05,2024-04-01,rs,70.73,111.47,-14.56,2.308,3.661,19
9,2022-04-13,2024-04-01,2024-04-02,2024-09-28,rs,-15.34,-20.79,-15.34,-1.514,-0.711,7
10,2022-10-10,2024-09-28,2024-09-29,2025-03-27,rs,17.81,25.79,-18.8,0.801,1.108,24
11,2023-04-08,2025-03-27,2025-03-28,2025-09-23,rs,72.01,113.68,-14.19,2.177,2.654,10
