ts,selected,market_score,normal_candidate_count,override_candidate_count
2018-05-04,CASH,15.764928830347563,0,0
2018-05-05,CASH,19.60755111810539,0,0
2018-05-06,CASH,14.996869339598925,0,0
2018-05-07,CASH,7.762620658741388,0,0
2018-05-08,CASH,2.2785570900340044,0,0
2018-05-09,BTCUSDT,0.9773495421441103,0,1
2018-05-10,CASH,-9.380750322860717,0,1
2018-05-11,CASH,-20.155462640002327,0,1
2018-05-12,CASH,-20.024007540324337,0,0
2018-05-13,CASH,-15.098308385704714,0,0
2018-05-14,CASH,-15.427197538902794,0,0
2018-05-15,CASH,-19.102621927199365,0,0
2018-05-16,CASH,-20.825649464769747,0,0
2018-05-17,CASH,-26.817127919844054,0,0
2018-05-18,CASH,-23.668400905311103,0,0
2018-05-19,CASH,-24.0056329282364,0,0
2018-05-20,CASH,-19.936371030233886,0,0
2018-05-21,CASH,-23.95917654799851,0,1
2018-05-22,CASH,-30.985268616555825,0,1
2018-05-23,CASH,-32.44491525480868,0,1
2018-05-24,CASH,-29.938051778551323,0,1
2018-05-25,CASH,-31.224204791454554,0,1
2018-05-26,CASH,-32.82505891981829,0,1
2018-05-27,CASH,-33.65199805007004,0,1
2018-05-28,CASH,-37.5648655625413,0,1
2018-05-29,CASH,-31.57030581660759,0,1
2018-05-30,CASH,-33.124040478940614,0,1
2018-05-31,CASH,-32.01249127031038,0,1
2018-06-01,CASH,-31.011968893573012,0,1
2018-06-02,CASH,-27.18165997634459,0,0
2018-06-03,CASH,-23.619389620282433,0,0
2018-06-04,CASH,-26.04683766187491,0,0
2018-06-05,CASH,-22.508956138421425,0,0
2018-06-06,CASH,-22.74190536246806,0,0
2018-06-07,CASH,-20.34486403587534,0,0
2018-06-08,CASH,-20.161843665607083,0,1
2018-06-09,CASH,-19.5896310464594,0,0
2018-06-10,CASH,-27.296533921700693,0,1
2018-06-11,CASH,-25.04146560731866,0,1
2018-06-12,CASH,-31.662662764848545,0,1
2018-06-13,CASH,-31.542633178094057,0,1
2018-06-14,CASH,-28.218449722790105,0,1
2018-06-15,CASH,-34.123550261754,0,1
2018-06-16,CASH,-33.89996066028649,0,1
2018-06-17,CASH,-36.0898837014193,0,0
2018-06-18,CASH,-33.12000098539057,0,0
2018-06-19,CASH,-31.773587789205813,0,0
2018-06-20,CASH,-31.924552551196783,0,0
2018-06-21,CASH,-33.119775038461725,0,0
2018-06-22,CASH,-40.30286230736963,0,1
2018-06-23,CASH,-39.629857461711936,0,1
2018-06-24,CASH,-39.456984150030195,0,1
2018-06-25,CASH,-39.06385316564055,0,1
2018-06-26,CASH,-41.283706429767136,0,1
2018-06-27,CASH,-40.81354015463929,0,1
2018-06-28,CASH,-43.38809547603203,0,1
2018-06-29,CASH,-42.29149543180097,0,1
2018-06-30,CASH,-40.50540457429416,0,1
2018-07-01,CASH,-40.73112396711975,0,0
2018-07-02,CASH,-38.24143030750933,0,1
2018-07-03,CASH,-40.943697912529736,0,1
2018-07-04,CASH,-39.882469809507114,0,0
2018-07-05,CASH,-41.79403344458463,0,0
2018-07-06,CASH,-41.26484660672375,0,0
2018-07-07,CASH,-37.98311127441258,0,1
2018-07-08,CASH,-38.895737513625946,0,0
2018-07-09,CASH,-39.68057572356447,0,0
2018-07-10,CASH,-45.15256954916882,0,1
2018-07-11,CASH,-42.702547971909425,0,1
2018-07-12,CASH,-46.02331255867158,0,1
2018-07-13,CASH,-47.26609118169923,0,1
2018-07-14,CASH,-47.087530346480264,0,1
2018-07-15,CASH,-45.265256963630435,0,0
2018-07-16,CASH,-33.49308958711159,0,1
2018-07-17,CASH,-27.4313056316387,0,1
2018-07-18,CASH,-27.385545331052988,0,1
2018-07-19,CASH,-30.043149631308324,0,1
2018-07-20,CASH,-35.91782331799579,0,1
2018-07-21,CASH,-32.900056474421376,0,1
2018-07-22,CASH,-33.57349305920883,0,1
2018-07-23,CASH,-30.967156140528658,0,1
2018-07-24,CASH,-18.91335004635247,0,1
2018-07-25,CASH,-18.369389701841342,0,1
2018-07-26,CASH,-19.392042895774985,0,1
2018-07-27,CASH,-13.569128535045024,0,1
2018-07-28,CASH,-10.147526745145997,0,1
2018-07-29,CASH,-12.317600305438637,0,1
2018-07-30,CASH,-13.918310973513442,0,1
2018-07-31,CASH,-16.65960392620357,0,1
2018-08-01,CASH,-18.829844746715693,0,1
2018-08-02,CASH,-16.643316896229017,0,1
2018-08-03,CASH,-17.525200815953564,0,1
2018-08-04,CASH,-23.527296562744684,0,1
2018-08-05,CASH,-25.830361988006956,0,1
2018-08-06,CASH,-27.17248853979819,0,1
2018-08-07,CASH,-30.811900892918217,0,1
2018-08-08,CASH,-35.09327213405093,0,1
2018-08-09,CASH,-33.09289235851191,0,1
2018-08-10,CASH,-38.528887572294536,0,1
2018-08-11,CASH,-40.86423332664902,0,1
2018-08-12,CASH,-40.51777687359133,0,1
2018-08-13,CASH,-42.91865462902348,0,1
2018-08-14,CASH,-43.85475027633637,0,1
2018-08-15,CASH,-44.09995390395098,0,1
2018-08-16,CASH,-43.327884884326615,0,1
2018-08-17,CASH,-39.17831565144166,0,1
2018-08-18,CASH,-43.326706760447905,0,0
2018-08-19,CASH,-42.61915613089252,0,0
2018-08-20,CASH,-45.17409617295931,0,0
2018-08-21,CASH,-43.52081394025097,0,1
2018-08-22,CASH,-44.68775455518071,0,1
2018-08-23,CASH,-42.78967043112891,0,1
2018-08-24,CASH,-40.10157819139261,0,1
2018-08-25,CASH,-39.38237544199475,0,1
2018-08-26,CASH,-38.357759925226325,0,0
2018-08-27,CASH,-31.5796861987666,0,0
2018-08-28,CASH,-28.383313011546267,0,0
2018-08-29,CASH,-27.60026466265019,0,0
2018-08-30,CASH,-31.920648402986163,0,0
2018-08-31,CASH,-29.471300282055104,0,0
2018-09-01,CASH,-25.21904334035053,0,1
2018-09-02,CASH,-22.84679666129101,0,1
2018-09-03,CASH,-22.9096556123217,0,1
2018-09-04,CASH,-22.024899129635777,0,0
2018-09-05,CASH,-40.19549694726433,0,1
2018-09-06,CASH,-40.47479725014646,0,1
2018-09-07,CASH,-44.704266522599816,0,1
2018-09-08,CASH,-47.36712052634862,0,1
2018-09-09,CASH,-47.84637411071507,0,1
2018-09-10,CASH,-47.76765639188549,0,0
2018-09-11,CASH,-49.49148360241979,0,1
2018-09-12,CASH,-49.63668640579044,0,1
2018-09-13,CASH,-47.249855639618346,0,0
2018-09-14,CASH,-46.421156278826984,0,0
2018-09-15,CASH,-46.28000526366351,0,0
2018-09-16,CASH,-45.31794893274276,0,0
2018-09-17,CASH,-48.5110577220764,0,0
2018-09-18,CASH,-47.315577720169976,0,0
2018-09-19,CASH,-46.9454559662238,0,0
2018-09-20,CASH,-44.09335779649108,0,0
2018-09-21,CASH,-39.316199188257485,0,0
2018-09-22,CASH,-39.04967091042769,0,0
2018-09-23,CASH,-38.190612843169816,0,0
2018-09-24,CASH,-38.263719861569044,0,0
2018-09-25,CASH,-38.42451926751531,0,0
2018-09-26,CASH,-38.12731713636052,0,1
2018-09-27,CASH,-30.894445236324838,0,0
2018-09-28,CASH,-30.813217838944876,0,0
2018-09-29,CASH,-30.8086038797269,0,0
2018-09-30,CASH,-30.576631891233795,0,0
2018-10-01,CASH,-30.190012473035594,0,0
2018-10-02,CASH,-31.796881234992192,0,1
2018-10-03,CASH,-36.20416929684393,0,1
2018-10-04,CASH,-35.82620110454459,0,1
2018-10-05,CASH,-33.29745229840111,0,1
2018-10-06,CASH,-35.74162130584321,0,1
2018-10-07,CASH,-31.642959454620808,0,1
2018-10-08,CASH,-31.51524789611827,0,0
2018-10-09,CASH,-35.41301644626629,0,0
2018-10-10,CASH,-39.00832524958163,0,1
2018-10-11,CASH,-46.80068204838198,0,1
2018-10-12,CASH,-46.038760024579574,0,1
2018-10-13,CASH,-45.161077177074795,0,1
2018-10-14,CASH,-46.595423139478385,0,1
2018-10-15,CASH,-39.376060580750405,0,1
2018-10-16,CASH,-40.409144824774714,0,0
2018-10-17,CASH,-39.69501362746333,0,0
2018-10-18,CASH,-43.03560450423675,0,1
2018-10-19,CASH,-42.71063045291743,0,0
2018-10-20,CASH,-41.83669268531248,0,1
2018-10-21,CASH,-41.93848787786448,0,1
2018-10-22,CASH,-42.0203644417957,0,1
2018-10-23,CASH,-42.23143111643941,0,0
2018-10-24,CASH,-41.79513029471245,0,1
2018-10-25,CASH,-41.01985290108435,0,1
2018-10-26,CASH,-40.00933411419933,0,1
2018-10-27,CASH,-39.67824411117951,0,0
2018-10-28,CASH,-38.23764891091552,0,0
2018-10-29,CASH,-40.28173189229978,0,1
2018-10-30,CASH,-39.641554658320075,0,1
2018-10-31,CASH,-42.422952997183614,0,1
2018-11-01,CASH,-42.02133155501961,0,0
2018-11-02,CASH,-42.54128654532765,0,0
2018-11-03,CASH,-46.68519499774385,0,0
2018-11-04,CASH,-34.42824846216465,0,1
2018-11-05,CASH,-33.61857516625201,0,1
2018-11-06,CASH,-28.801985875613873,0,0
2018-11-07,CASH,-28.47260886356687,0,1
2018-11-08,CASH,-32.569493594451835,0,1
2018-11-09,CASH,-33.589220097707944,0,1
2018-11-10,CASH,-33.067954363672314,0,1
2018-11-11,CASH,-33.562270593281454,0,1
2018-11-12,CASH,-33.69704099689405,0,1
2018-11-13,CASH,-34.814530022659596,0,1
2018-11-14,CASH,-39.42880455935918,0,1
2018-11-15,CASH,-39.90780362006119,0,1
2018-11-16,CASH,-43.57449471323464,0,1
2018-11-17,CASH,-44.96234918064702,0,1
2018-11-18,CASH,-46.95231697515461,0,1
2018-11-19,CASH,-51.654662647819734,0,1
2018-11-20,CASH,-52.800357788750944,0,1
2018-11-21,CASH,-53.43662911611516,0,1
2018-11-22,CASH,-56.805469270549864,0,1
2018-11-23,CASH,-57.71229180759099,0,1
2018-11-24,CASH,-57.77468321628932,0,0
2018-11-25,CASH,-57.149279110189305,0,0
2018-11-26,CASH,-57.404590781800266,0,0
2018-11-27,CASH,-57.8075537855273,0,0
2018-11-28,CASH,-57.80922020705053,0,0
2018-11-29,CASH,-58.33249705241201,0,0
2018-11-30,CASH,-59.405311429829894,0,0
2018-12-01,CASH,-58.91445838013597,0,0
