start_ts,end_ts,selected_mode,bars,days,sum_selected_ret_next,sum_best_available_next,sum_leader_gap_ret,compound_selected_ret_next,compound_best_available_next,compound_gap_approx,pain_bars_gt_2pct_gap,turnover_sum,cost_sum
2021-03-25,2021-04-22,BTCUSDT,29,29,0.12589936004332924,5.726074696249699,5.600175336206371,0.11349120335550644,129.48680978489088,129.3733185815354,28,5.0,0.007500000000000001
2024-11-06,2024-12-01,BTCUSDT,26,26,0.22995016341777552,3.6392565601870897,3.4093063967693134,0.24338903095075337,26.99247378245635,26.7490847515056,26,11.0,0.0165
2023-10-27,2023-12-06,TRXUSDT,41,41,0.10438341294043318,2.7854725152501962,2.6810891023097634,0.09986162278936606,13.048864095350527,12.949002472561162,37,23.0,0.0345
2020-07-30,2020-09-03,ETHUSDT,36,36,0.08975645385255371,2.67975874648298,2.5900022926304263,0.05451089517203567,11.256635210775208,11.202124315603172,30,22.0,0.033
2020-07-02,2020-07-20,ETHUSDT,19,19,0.21514794277043825,1.721737569013537,1.506589626243099,0.21895913507955966,3.7141430154695003,3.4951838803899404,13,6.0,0.009000000000000001
2023-12-09,2023-12-28,BTCUSDT,20,20,0.04578438735505852,1.5151531699844019,1.4693687826293433,0.03587875906003468,3.1975775320839963,3.1616987730239616,16,8.0,0.012
2021-08-25,2021-09-06,ETHUSDT,13,13,0.0217256246151023,1.5232002500366617,1.5014746254215592,0.00620222935463266,3.126849640158551,3.1206474108039184,12,5.0,0.0075
2021-10-19,2021-11-03,ETHUSDT,16,16,-0.015594796462773508,1.3456517934336127,1.3612465898963864,-0.02564997137688585,2.537592879812981,2.563242851189867,15,6.0,0.009000000000000001
2024-03-05,2024-03-17,BTCUSDT,13,13,0.06378746760240572,1.2468540163101995,1.1830665487077938,0.056217731780876745,2.242028546210646,2.185810814429769,12,6.0,0.009000000000000001
2024-12-03,2024-12-28,ETHUSDT,26,26,-0.04610196774148623,1.1495687886309365,1.1956707563724227,-0.057904126357808394,1.9761654004542093,2.0340695268120177,17,10.0,0.015
