month,always_daily,phase20_btc_3d_neg_k05,soft_kill_4h
2017-08,0.0,0.0,0.0
2017-09,0.0,0.0,0.0
2017-10,0.0,0.0,0.0
2017-11,0.0,0.0,0.0
2017-12,0.0,0.0,0.0
2018-01,0.0,0.0,0.0
2018-02,0.0,0.0,0.0
2018-03,0.0,0.0,0.0
2018-04,0.0,0.0,0.0
2018-05,0.0,0.0,0.0
2018-06,0.0,0.0,0.0
2018-07,0.0,0.0,0.0
2018-08,0.0,0.0,0.0
2018-09,0.0,0.0,0.0
2018-10,0.0,0.0,0.0
2018-11,0.0,0.0,0.0
2018-12,0.0,0.0,0.0
2019-01,0.0,0.0,0.0
2019-02,0.0,0.0,0.0
2019-03,3.833395894352143,3.833395894352143,2.19681253126236
2019-04,-1.480858661159845,-4.1659315752644925,-1.0258569746112167
2019-05,37.414970227801916,38.42643247879454,30.869886972434045
2019-06,18.418876881300285,16.658677712481907,10.947679613608695
2019-07,-1.1101608186369516,-1.1101608186369516,-0.2709904191377954
2019-08,-0.42395938847926695,-0.42395938847926695,-0.1036139529371094
2019-09,0.0,0.0,0.0
2019-10,0.0,0.0,0.0
2019-11,0.0,0.0,0.0
2019-12,0.0,0.0,0.0
2020-01,0.0,0.0,0.0
2020-02,4.833114182796749,9.470911903170865,6.375579699867906
2020-03,0.0,0.0,0.0
2020-04,0.0,0.0,0.0
2020-05,0.0,0.0,0.0
2020-06,-2.683871994426068,-3.7167393644985225,-3.5026320349586193
2020-07,56.5796023100281,56.284145174472975,43.1864253556586
2020-08,15.553864665714134,9.085307760419226,5.575574442765863
2020-09,-12.768930406848899,-4.656271527143641,-10.323328964733047
2020-10,8.71561293870835,11.036204997674947,2.732661395121716
2020-11,11.554591847948114,7.980826141153097,4.090536107413234
2020-12,51.34987817821779,47.54656173944256,26.422274848044868
2021-01,14.264789947538148,14.264789947538148,9.830501906565402
2021-02,0.0,0.0,0.0
2021-03,27.552086721809978,27.783138031615493,16.800462014946827
2021-04,-7.329286142928804,-0.3481762659480969,-4.44762969800081
2021-05,-12.893845389739479,-6.555410628357327,-3.3049609018927284
2021-06,0.0,0.0,0.0
2021-07,0.0,0.0,0.0
2021-08,4.848315045186191,0.6770428394273331,2.781002870445537
2021-09,-0.49316502767147163,-4.72440333569204,8.49094758157114
2021-10,12.270188478990152,6.322329305614827,3.4720176103330003
2021-11,19.251444947371542,12.734553042328333,13.959825798065006
2021-12,-8.83235614772272,-4.542282187071811,-3.3471634576799913
2022-01,0.0,0.0,0.0
2022-02,0.0,0.0,0.0
2022-03,0.0,0.0,0.0
2022-04,0.0,0.0,0.0
2022-05,0.0,0.0,0.0
2022-06,0.0,0.0,0.0
2022-07,0.0,0.0,0.0
2022-08,0.0,0.0,0.0
2022-09,0.0,0.0,0.0
2022-10,0.0,0.0,0.0
2022-11,0.0,0.0,0.0
2022-12,0.0,0.0,0.0
2023-01,1.2059975121750943,-0.8462793753991837,3.139974359626496
2023-02,-16.17283884908621,-12.324426057538219,-8.395604031052262
2023-03,4.360811208787374,1.8161405102402384,-0.03650013419198572
2023-04,-5.424925809699355,-5.363255193371574,-0.6651657569545999
2023-05,0.0,0.0,0.0
2023-06,0.0,0.0,0.0
2023-07,-1.0858911195144594,-1.011594092313295,0.05230093343779885
2023-08,0.0,0.0,0.0
2023-09,0.0,0.0,0.0
2023-10,2.8895904822664242,2.8895904822664242,1.9440279386229387
2023-11,-6.353074819353832,-8.706149006574893,-4.625203572002468
2023-12,45.201750094844975,35.84520554279593,36.82304777207537
2024-01,-16.316007030700707,-15.739802320333196,-11.329442954734493
2024-02,7.569909031471522,7.93912507740715,3.534861630791286
2024-03,11.381705666671982,13.14742595851297,8.63404275958426
2024-04,0.0,0.0,0.0
2024-05,-5.095767397419648,-4.29003998351718,-6.526216107344007
2024-06,0.0,0.0,0.0
2024-07,0.0,0.0,0.0
2024-08,0.0,0.0,0.0
2024-09,0.0,0.0,0.0
2024-10,0.0,0.0,0.0
2024-11,8.707839642004146,7.468792478821307,8.118479761671903
2024-12,76.71923412889576,32.040495516189374,13.06620980273776
2025-01,16.99355113072778,9.259320302018015,7.472823360105463
2025-02,-10.802270622031285,-6.9423946082189385,-2.897692482071157
2025-03,0.0,0.0,0.0
2025-04,0.0,0.0,0.0
2025-05,0.0,0.0,0.0
2025-06,0.0,0.0,0.0
2025-07,25.453036647196758,20.02172055339646,20.569785291904562
2025-08,4.80777570700015,4.601968255176758,6.340301969715179
2025-09,30.489190851305658,29.637799555776724,17.83859765390341
2025-10,12.133375464018314,19.638054117916347,6.556915655501672
2025-11,0.0,0.0,0.0
2025-12,0.0,0.0,0.0
2026-01,0.0,0.0,0.0
2026-02,0.0,0.0,0.0
2026-03,0.0,0.0,0.0
