model,subperiod,bars,days,years,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,avg_exposure
always_daily,2019_2021,6571,1095,2.9979466119096507,625.8206893927447,93.70447361540522,-35.407137398124675,1.8212722661550504,1.3916755353214045,0.31654238319890426
always_daily,2022_2023,4380,729,1.995893223819302,15.877788989222829,7.662867793531825,-25.921262678178593,0.42165783020285685,0.2521152500502406,0.1726027397260274
always_daily,2024_2026,4842,806,2.206707734428474,267.00938166131215,80.25662457617908,-23.430130382220216,1.4140618791126414,1.3547521471310702,0.3184634448574969
lag2_gt_2p5pct,2019_2021,6571,1095,2.9979466119096507,652.0176976062854,96.00902684037234,-22.116611390344797,2.033172581580643,1.5758679820807149,0.31654238319890426
lag2_gt_2p5pct,2022_2023,4380,729,1.995893223819302,6.900673085278419,3.3998800887021785,-25.063132210235917,0.26074021220517607,0.14936554643646888,0.1726027397260274
lag2_gt_2p5pct,2024_2026,4842,806,2.206707734428474,276.0270207434957,82.25037725945141,-25.04541496052637,1.5285699854568988,1.5735888231278612,0.3184634448574969
lag2_gt_2pct,2019_2021,6571,1095,2.9979466119096507,651.1433997439781,95.9329851336759,-22.116611390344787,2.0211049735514375,1.5656788697502677,0.31654238319890426
lag2_gt_2pct,2022_2023,4380,729,1.995893223819302,7.019441074956845,3.457421613860445,-25.408781428912373,0.2631643177350464,0.15123860493472016,0.1726027397260274
lag2_gt_2pct,2024_2026,4842,806,2.206707734428474,272.51735829452275,81.47755049235728,-25.428056497670703,1.5161772686228583,1.5578928812589545,0.3184634448574969
lag2_gt_3p5pct,2019_2021,6571,1095,2.9979466119096507,659.0629459919719,96.61964480822118,-22.116611390344822,2.05078557000809,1.584502181775142,0.31654238319890426
lag2_gt_3p5pct,2022_2023,4380,729,1.995893223819302,6.4296650635921715,3.171368210125314,-25.304909246340113,0.25077371430813056,0.14324600279049388,0.1726027397260274
lag2_gt_3p5pct,2024_2026,4842,806,2.206707734428474,256.33407736095387,77.86142253570895,-25.57065698080767,1.482385174150904,1.5150309367589356,0.3184634448574969
lag2_gt_3pct,2019_2021,6571,1095,2.9979466119096507,683.7409208670825,98.72918734131504,-22.116611390344787,2.0762869181955694,1.608429237329878,0.31654238319890426
lag2_gt_3pct,2022_2023,4380,729,1.995893223819302,7.415741437746615,3.649193732367473,-25.22922352535507,0.2717054112215148,0.15539689045135074,0.1726027397260274
lag2_gt_3pct,2024_2026,4842,806,2.206707734428474,270.99885402426054,81.14194243128958,-25.19275252675337,1.5166616023674322,1.559709981201617,0.3184634448574969
lag2_gt_4pct,2019_2021,6571,1095,2.9979466119096507,625.9239456767668,93.71366502919614,-22.116611390344822,2.013269555576514,1.5513100738902654,0.31654238319890426
lag2_gt_4pct,2022_2023,4380,729,1.995893223819302,6.6324175112618455,3.2697962944756798,-25.55410131093546,0.2551191070977339,0.14564740941065837,0.1726027397260274
lag2_gt_4pct,2024_2026,4842,806,2.206707734428474,256.6430008533283,77.93128237973845,-25.732765733883856,1.4833152305526933,1.5155147855342788,0.3184634448574969
lag3_gt_4pct,2019_2021,6571,1095,2.9979466119096507,638.9159590300633,94.86327240988001,-22.116611390344822,2.024667183384291,1.5636744320905351,0.31654238319890426
lag3_gt_4pct,2022_2023,4380,729,1.995893223819302,7.165750939441962,3.5282630281875615,-26.027454488109537,0.2661616011371294,0.15296386591500763,0.1726027397260274
lag3_gt_4pct,2024_2026,4842,806,2.206707734428474,274.5591160673094,81.92762696326011,-25.33767142409782,1.530063246873388,1.5686694755359858,0.3184634448574969
lag3_gt_5pct,2019_2021,6571,1095,2.9979466119096507,625.0173863341123,93.63293738255666,-22.116611390344822,2.0118370714647025,1.5497590242491164,0.31654238319890426
lag3_gt_5pct,2022_2023,4380,729,1.995893223819302,7.525636231556487,3.702309933173975,-25.697081833591472,0.2737746847001255,0.15715019387648133,0.1726027397260274
lag3_gt_5pct,2024_2026,4842,806,2.206707734428474,274.13143976341325,81.83346309388038,-25.290446005965627,1.5292120899732358,1.566763543291635,0.3184634448574969
lag3_gt_6pct,2019_2021,6571,1095,2.9979466119096507,612.5553038941218,92.5163266657276,-22.659263723201693,1.999054660767839,1.5376815070131613,0.31654238319890426
lag3_gt_6pct,2022_2023,4380,729,1.995893223819302,8.000957269435682,3.9317387513765123,-25.697081833591483,0.28377887445500327,0.162846882924182,0.1726027397260274
lag3_gt_6pct,2024_2026,4842,806,2.206707734428474,269.53235897383223,80.81711528562023,-25.290446005965663,1.517136204818086,1.553679102820937,0.3184634448574969
phase20_btc_3d_neg_k05,2019_2021,6571,1095,2.9979466119096507,615.637126335279,92.79366369579893,-22.22665577568709,2.0041702654762528,1.541087678440608,0.31654238319890426
phase20_btc_3d_neg_k05,2022_2023,4380,729,1.995893223819302,5.80487251401256,2.8674669474137993,-25.55410131093557,0.23739254757742975,0.13537552010297044,0.1726027397260274
phase20_btc_3d_neg_k05,2024_2026,4842,806,2.206707734428474,176.69655923609335,58.59887061821103,-23.744976040326836,1.4765343703878142,1.2602107738640316,0.3184634448574969
