label,symbols,n_symbols,score,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,missed_leader_pct_of_in_market,pain_bar_pct_of_in_market,sum_leader_gap_ret
without_BNBUSDT_and_DOGEUSDT,"BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,ADAUSDT,LINKUSDT,AVAXUSDT,LTCUSDT,TRXUSDT,DOTUSDT",10,-12.697,16331.93,91.29,-33.59,1.424,1.917,193,69.45,84.62,62.53,41.0895
without_BNBUSDT,"BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,ADAUSDT,DOGEUSDT,LINKUSDT,AVAXUSDT,LTCUSDT,TRXUSDT,DOTUSDT",11,-14.341,18405.55,94.2,-32.66,1.452,1.924,194,69.55,86.29,65.6,47.0055
without_DOGEUSDT,"BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SOLUSDT,ADAUSDT,LINKUSDT,AVAXUSDT,LTCUSDT,TRXUSDT,DOTUSDT",11,-15.477,17788.08,93.36,-36.56,1.451,1.932,205,69.07,85.26,65.69,44.3441
full12,"BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,SOLUSDT,ADAUSDT,DOGEUSDT,LINKUSDT,AVAXUSDT,LTCUSDT,TRXUSDT,DOTUSDT",12,-19.614,15300.6,89.72,-36.56,1.418,1.864,213,69.38,87.05,69.43,49.9826
