model,label,start_ts,end_ts,bars,days,years,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,avg_exposure
phase27_lag2_gt_3pct,Balanced Override v2,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,3023.2951117582643,49.344318867994154,-27.331201945985473,1.3681587797064145,1.0192160972831716,0.23295908050870004
phase20_btc_3d_neg_k05,BTC 3D Negative x0.50,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,1995.0880996465526,42.55375617520434,-29.96416580605632,1.3385847285615025,0.9132155580241283,0.23295908050870004
always_daily,Always Daily,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,2986.787334369976,49.13981315558009,-35.407137398124675,1.2614084971983677,0.911496729354042,0.23295908050870004
