variant,breakout_w,accel_w,near_high_w,hot_penalty_w,min_dv_rank_bonus,min_breadth_bonus,robust_score,median_window_sharpe,median_window_sortino,median_window_cagr_pct,median_window_return_pct,worst_window_dd_pct,positive_window_ratio,available_spike_days,captured_spike_days,spike_capture_ratio,avg_captured_spike_ret_pct,full_total_return_pct,full_cagr_pct,full_max_drawdown_pct,full_sharpe,full_sortino,full_trade_count
bw=0.1_aw=0.05_nh=0.05_hp=0.05_dv=0.5_br=0.55,0.1,0.05,0.05,0.05,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3779.39,59.19,-36.56,1.14,1.328,182
bw=0.15_aw=0.05_nh=0.05_hp=0.05_dv=0.5_br=0.55,0.15,0.05,0.05,0.05,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3779.39,59.19,-36.56,1.14,1.328,182
bw=0.15_aw=0.05_nh=0.05_hp=0.1_dv=0.5_br=0.55,0.15,0.05,0.05,0.1,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3779.39,59.19,-36.56,1.14,1.328,182
bw=0.1_aw=0.05_nh=0.05_hp=0.05_dv=0.3_br=0.55,0.1,0.05,0.05,0.05,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3767.16,59.12,-36.56,1.139,1.328,180
bw=0.15_aw=0.05_nh=0.05_hp=0.05_dv=0.3_br=0.55,0.15,0.05,0.05,0.05,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3767.16,59.12,-36.56,1.139,1.328,180
bw=0.15_aw=0.05_nh=0.05_hp=0.1_dv=0.3_br=0.55,0.15,0.05,0.05,0.1,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3767.16,59.12,-36.56,1.139,1.328,180
bw=0.1_aw=0.1_nh=0.05_hp=0.05_dv=0.5_br=0.55,0.1,0.1,0.05,0.05,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3747.69,59.02,-36.56,1.138,1.327,181
bw=0.1_aw=0.1_nh=0.05_hp=0.05_dv=0.3_br=0.55,0.1,0.1,0.05,0.05,0.3,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3735.56,58.96,-36.56,1.137,1.326,179
bw=0.15_aw=0.1_nh=0.05_hp=0.05_dv=0.5_br=0.55,0.15,0.1,0.05,0.05,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3728.36,58.92,-36.56,1.137,1.325,183
bw=0.15_aw=0.1_nh=0.05_hp=0.1_dv=0.5_br=0.55,0.15,0.1,0.05,0.1,0.5,0.55,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3728.36,58.92,-36.56,1.137,1.325,183
bw=0.05_aw=0.1_nh=0.05_hp=0.05_dv=0.5_br=0.35,0.05,0.1,0.05,0.05,0.5,0.35,1.424,0.75,0.349,20.01,9.23,-28.79,0.625,444,14,0.032,19.09,3731.48,58.94,-36.56,1.135,1.33,184
