cost_bps,window,train_start,train_end,test_start,test_end,chosen_model,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count
20.0,1,2018-05-04,2020-04-22,2020-04-23,2020-10-19,base,46.07,69.98,-21.07,1.352,1.551,19
20.0,2,2018-10-31,2020-10-19,2020-10-20,2021-04-17,rs,165.89,293.17,-16.62,3.415,4.361,19
20.0,3,2019-04-29,2021-04-17,2021-04-18,2021-10-14,rs,-11.81,-16.14,-29.01,-0.383,-0.206,9
20.0,4,2019-10-26,2021-10-14,2021-10-15,2022-04-12,rs,18.33,26.57,-18.62,0.898,0.839,8
20.0,5,2020-04-23,2022-04-12,2022-04-13,2022-10-09,rs,0.0,0.0,0.0,0.0,0.0,0
20.0,6,2020-10-20,2022-10-09,2022-10-10,2023-04-07,rs,-15.04,-20.41,-22.38,-0.852,-0.784,9
20.0,7,2021-04-18,2023-04-07,2023-04-08,2023-10-04,rs,-2.33,-3.25,-10.89,-0.204,-0.059,7
20.0,8,2021-10-15,2023-10-04,2023-10-05,2024-04-01,rs,39.29,59.03,-16.68,1.28,2.397,38
20.0,9,2022-04-13,2024-04-01,2024-04-02,2024-09-28,rs,-6.56,-9.06,-6.56,-2.773,-0.908,7
20.0,10,2022-10-10,2024-09-28,2024-09-29,2025-03-27,rs,146.44,253.5,-19.21,1.45,6.318,24
20.0,11,2023-04-08,2025-03-27,2025-03-28,2025-09-23,rs,70.18,110.51,-15.65,2.181,2.598,12
