ts,selected,gross_exposure,raw_strategy_ret,cost,strategy_ret,btc_ret,equity,abs_strategy_ret
2024-12-02,TRXUSDT,0.0,0.9610859728506786,0.0,0.9610859728506786,-0.01383503122595442,11.609734285044306,0.9610859728506786
2023-12-07,ADAUSDT,0.0,0.1973655323819978,0.003,0.1943655323819978,-0.011186469570312108,4.433920726208568,0.1943655323819978
2025-01-14,XRPUSDT,0.0,0.178307651932666,0.0,0.178307651932666,0.021417849900725594,13.148320136440814,0.178307651932666
2025-08-21,ETHUSDT,0.0,0.143604004449388,0.0,0.143604004449388,-0.01550031311465605,18.324503030272954,0.143604004449388
2020-07-07,LINKUSDT,0.0,0.1351837618781441,0.0,0.1351837618781441,-0.009290254917489027,1.109758754558865,0.1351837618781441
2020-09-02,ETHUSDT,0.0,-0.1321956769055745,0.0,-0.1321956769055745,-0.044743444246210906,1.4591303523560055,0.1321956769055745
2021-05-11,BTCUSDT,0.0,-0.1242050029274738,0.0015,-0.1257050029274738,0.01529808403089139,3.166100462876297,0.1257050029274738
2021-09-06,ETHUSDT,0.0,-0.1253447489921741,0.0,-0.1253447489921741,0.017524626677651423,3.1650543108299294,0.1253447489921741
2020-07-31,ETHUSDT,0.0,0.1174313516010741,0.0,0.1174313516010741,0.021248494316466804,1.6560416584957274,0.1174313516010741
2021-08-31,ETHUSDT,0.0,0.1159512422722501,0.0,0.1159512422722501,0.0025111258540604364,3.5265238844368256,0.1159512422722501
2025-09-17,AVAXUSDT,0.0,0.1059082338152104,0.0,0.1059082338152104,-0.0029229646363835293,21.053787398103104,0.1059082338152104
2020-06-10,LINKUSDT,0.0,-0.1053702656868287,0.0,-0.1053702656868287,0.011519141093873309,0.9195477350456163,0.1053702656868287
2021-03-18,TRXUSDT,0.0,0.100018765246763,0.0015,0.098518765246763,-0.021469126407987926,3.42479291175358,0.098518765246763
2021-01-01,BTCUSDT,0.0,0.0970499824592447,0.0,0.0970499824592447,0.014108187665241134,3.0445819618791736,0.0970499824592447
2020-12-15,BTCUSDT,0.0,0.098272816981813,0.0015,0.096772816981813,0.007953556088940328,2.0186796312708686,0.096772816981813
2020-08-31,ETHUSDT,0.0,0.0959219899029484,0.0,0.0959219899029484,-0.005264209523223928,1.818748215810291,0.0959219899029484
2020-07-24,ETHUSDT,0.0,0.093533942324915,0.0,0.093533942324915,-0.006817469466129933,1.3062616968279217,0.093533942324915
2021-10-27,ETHUSDT,0.0,0.0928148903620602,0.0,0.0928148903620602,-0.03174884437468595,3.608786124553583,0.0928148903620602
2020-11-25,ETHUSDT,0.0,-0.0872168568920104,0.0,-0.0872168568920104,-0.023011470244535204,1.6441117298603498,0.0872168568920104
2025-08-11,ETHUSDT,0.0,0.0869715525120642,0.0,0.0869715525120642,-0.005096735368355865,17.408480765081755,0.0869715525120642
2023-12-26,BNBUSDT,0.0,0.0886798790728922,0.003,0.0856798790728922,-0.024490472192000512,5.005624397977575,0.0856798790728922
2025-08-24,ETHUSDT,0.0,-0.0845099003169355,0.0,-0.0845099003169355,-0.01684418612407268,16.595646104261718,0.0845099003169355
2021-11-04,BNBUSDT,0.0,0.0869876499015569,0.003,0.0839876499015569,-0.023872083143603562,4.136679274487415,0.0839876499015569
2020-11-29,BTCUSDT,0.0,0.0830839060125958,0.0,0.0830839060125958,0.02624965786956457,1.883759027527064,0.0830839060125958
2023-04-18,ETHUSDT,0.0,-0.0807083432374613,0.0,-0.0807083432374613,0.03227085582293321,3.6077906939120594,0.0807083432374613
2024-03-09,BNBUSDT,0.0,0.0831456072086831,0.003,0.0801456072086831,0.002775519239201163,5.91828066375217,0.0801456072086831
2021-11-17,BNBUSDT,0.0,-0.0799307958477509,0.0,-0.0799307958477509,0.004761994356537125,3.6224041465048713,0.0799307958477509
2020-08-29,ETHUSDT,0.0,0.0759814373510598,0.0,0.0759814373510598,-0.005298037375150777,1.6410051739370344,0.0759814373510598
2023-12-10,DOGEUSDT,0.0,-0.0758884743765953,0.0,-0.0758884743765953,0.0017365305076681992,4.487798600767601,0.0758884743765953
2021-04-12,ETHUSDT,0.0,0.0755488401031019,0.0,0.0755488401031019,-0.002373737196976866,4.108884466081983,0.0755488401031019
2020-09-01,ETHUSDT,0.0,-0.0755153554901135,0.0,-0.0755153554901135,0.023388108169356325,1.6814047977463673,0.0755153554901135
2021-10-14,BTCUSDT,0.0,0.0754077653007239,0.0,0.0754077653007239,-0.00033224676207577186,3.541598634471071,0.0754077653007239
2024-03-05,ETHUSDT,0.0,0.0745543314620178,0.0,0.0745543314620178,-0.0662561793261438,5.357619805047922,0.0745543314620178
2025-07-15,ETHUSDT,0.0,0.0744003135865183,0.0,0.0744003135865183,-0.01738208852749945,13.966381364581238,0.0744003135865183
2020-07-21,ETHUSDT,0.0,0.0739036605724989,0.0,0.0739036605724989,0.02502188678256645,1.128590250676132,0.0739036605724989
2024-12-08,ETHUSDT,0.0,-0.0729618021302898,0.0,-0.0729618021302898,0.012797501081567075,11.889182697949302,0.0729618021302898
2020-10-11,BNBUSDT,0.0,0.074427474226262,0.0015,0.072927474226262,0.006711991796848116,1.5775438879963497,0.072927474226262
2023-02-08,LTCUSDT,0.0,-0.0722636565208627,0.0,-0.0722636565208627,-0.011938662143520351,4.05998009977129,0.0722636565208627
2020-12-25,BTCUSDT,0.0,0.0720656413543445,0.0,0.0720656413543445,0.04143713230955948,2.5066961928425147,0.0720656413543445
2021-11-18,ETHUSDT,0.0,0.0745227551352298,0.003,0.0715227551352298,-0.05722524549311314,3.8814884712761804,0.0715227551352298
