variant,base_rank_weight,xs20_weight,xs90_weight,xs_persist_weight,accel_weight,ret5_weight,score,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,missed_leader_pct_of_in_market,pain_bar_pct_of_in_market,sum_leader_gap_ret
br1p00_x200p45_x900p10_xp0p10_ac0p30_r50p20,1.0,0.45,0.1,0.1,0.3,0.2,-24.677,11166.71,82.33,-40.8,1.344,1.71,216,69.38,87.27,69.2,50.2852
br1p00_x200p45_x900p05_xp0p15_ac0p25_r50p20,1.0,0.45,0.05,0.15,0.25,0.2,-24.684,11299.72,82.6,-40.98,1.347,1.707,216,69.38,87.16,69.2,50.2721
br1p00_x200p35_x900p10_xp0p10_ac0p25_r50p20,1.0,0.35,0.1,0.1,0.25,0.2,-24.73,11144.76,82.28,-40.87,1.343,1.706,222,69.38,87.16,69.32,50.2655
br1p00_x200p45_x900p10_xp0p10_ac0p25_r50p20,1.0,0.45,0.1,0.1,0.25,0.2,-24.842,11019.8,82.02,-40.9,1.341,1.706,221,69.38,87.39,69.32,50.2822
br0p80_x200p35_x900p10_xp0p15_ac0p30_r50p20,0.8,0.35,0.1,0.15,0.3,0.2,-24.88,11270.0,82.54,-41.28,1.346,1.707,222,69.38,87.16,69.2,50.2558
br0p80_x200p35_x900p05_xp0p15_ac0p25_r50p20,0.8,0.35,0.05,0.15,0.25,0.2,-24.923,10967.27,81.91,-40.98,1.339,1.698,222,69.38,87.16,69.2,50.283
br0p80_x200p45_x900p10_xp0p10_ac0p30_r50p20,0.8,0.45,0.1,0.1,0.3,0.2,-24.959,11160.26,82.31,-41.28,1.344,1.704,219,69.38,87.16,69.2,50.2753
br0p80_x200p45_x900p05_xp0p15_ac0p30_r50p20,0.8,0.45,0.05,0.15,0.3,0.2,-25.009,11301.23,82.6,-41.47,1.345,1.698,215,69.38,87.27,69.32,50.271
br0p80_x200p35_x900p05_xp0p15_ac0p20_r50p20,0.8,0.35,0.05,0.15,0.2,0.2,-25.346,11945.47,83.88,-42.85,1.361,1.779,224,69.38,87.16,69.2,50.1996
br1p00_x200p35_x900p10_xp0p15_ac0p25_r50p20,1.0,0.35,0.1,0.15,0.25,0.2,-25.439,10916.28,81.81,-41.8,1.34,1.744,225,69.38,87.27,69.55,50.2853
br0p80_x200p35_x900p10_xp0p15_ac0p25_r50p20,0.8,0.35,0.1,0.15,0.25,0.2,-25.622,11578.13,83.16,-42.85,1.351,1.717,223,69.38,87.16,69.2,50.2243
br0p80_x200p45_x900p05_xp0p10_ac0p30_r50p20,0.8,0.45,0.05,0.1,0.3,0.2,-25.915,10065.62,79.96,-41.47,1.319,1.667,218,69.38,87.5,69.43,50.3784
br0p80_x200p35_x900p05_xp0p15_ac0p20_r50p10,0.8,0.35,0.05,0.15,0.2,0.1,-25.929,10927.41,81.83,-42.59,1.34,1.703,210,69.38,87.39,69.32,50.3279
br0p80_x200p45_x900p05_xp0p10_ac0p25_r50p20,0.8,0.45,0.05,0.1,0.25,0.2,-25.995,9963.67,79.73,-41.47,1.316,1.663,220,69.38,87.39,69.43,50.3826
br1p00_x200p45_x900p05_xp0p10_ac0p25_r50p20,1.0,0.45,0.05,0.1,0.25,0.2,-25.995,9963.67,79.73,-41.47,1.316,1.663,220,69.38,87.39,69.43,50.3826
br0p80_x200p45_x900p10_xp0p10_ac0p25_r50p20,0.8,0.45,0.1,0.1,0.25,0.2,-26.11,10800.48,81.56,-42.75,1.336,1.696,220,69.38,87.27,69.32,50.3047
br0p80_x200p45_x900p10_xp0p10_ac0p20_r50p20,0.8,0.45,0.1,0.1,0.2,0.2,-26.129,10865.85,81.7,-42.85,1.337,1.696,224,69.38,87.39,69.43,50.286
br1p00_x200p45_x900p05_xp0p15_ac0p25_r50p15,1.0,0.45,0.05,0.15,0.25,0.15,-26.142,11026.74,82.04,-43.07,1.342,1.707,212,69.38,87.39,69.32,50.3115
br1p00_x200p45_x900p05_xp0p15_ac0p20_r50p20,1.0,0.45,0.05,0.15,0.2,0.2,-26.168,10812.92,81.59,-42.85,1.336,1.696,222,69.38,87.39,69.43,50.2966
br0p80_x200p35_x900p05_xp0p15_ac0p25_r50p15,0.8,0.35,0.05,0.15,0.25,0.15,-26.208,10938.47,81.85,-43.07,1.34,1.704,212,69.38,87.39,69.32,50.3195
br0p80_x200p35_x900p05_xp0p10_ac0p25_r50p20,0.8,0.35,0.05,0.1,0.25,0.2,-26.215,9612.4,78.92,-41.38,1.308,1.653,224,69.38,87.5,69.43,50.4058
br0p80_x200p35_x900p10_xp0p10_ac0p25_r50p20,0.8,0.35,0.1,0.1,0.25,0.2,-26.313,10608.24,81.15,-42.85,1.331,1.691,225,69.38,87.27,69.32,50.3067
br0p80_x200p35_x900p05_xp0p10_ac0p20_r50p10,0.8,0.35,0.05,0.1,0.2,0.1,-26.413,10648.19,81.24,-43.07,1.334,1.696,214,69.38,87.39,69.32,50.3415
br1p00_x200p45_x900p05_xp0p15_ac0p30_r50p15,1.0,0.45,0.05,0.15,0.3,0.15,-26.448,10617.85,81.17,-43.07,1.333,1.697,214,69.38,87.5,69.43,50.3429
br1p00_x200p35_x900p05_xp0p10_ac0p25_r50p10,1.0,0.35,0.05,0.1,0.25,0.1,-26.479,10562.93,81.05,-43.07,1.332,1.693,214,69.38,87.39,69.32,50.3494
br1p00_x200p35_x900p10_xp0p10_ac0p30_r50p10,1.0,0.35,0.1,0.1,0.3,0.1,-26.479,10562.93,81.05,-43.07,1.332,1.693,214,69.38,87.39,69.32,50.3494
br0p80_x200p35_x900p10_xp0p10_ac0p30_r50p20,0.8,0.35,0.1,0.1,0.3,0.2,-26.506,10269.14,80.41,-42.75,1.324,1.681,222,69.38,87.27,69.32,50.3486
br0p80_x200p35_x900p05_xp0p15_ac0p30_r50p15,0.8,0.35,0.05,0.15,0.3,0.15,-26.512,10532.83,80.99,-43.07,1.331,1.694,214,69.38,87.5,69.43,50.3508
br1p00_x200p45_x900p05_xp0p10_ac0p20_r50p10,1.0,0.45,0.05,0.1,0.2,0.1,-26.52,10508.15,80.94,-43.07,1.331,1.691,214,69.38,87.39,69.43,50.3555
br1p00_x200p45_x900p05_xp0p10_ac0p20_r50p20,1.0,0.45,0.05,0.1,0.2,0.2,-26.523,10340.24,80.57,-42.85,1.325,1.675,224,69.38,87.39,69.43,50.3334
br0p80_x200p35_x900p05_xp0p10_ac0p20_r50p20,0.8,0.35,0.05,0.1,0.2,0.2,-26.649,10194.99,80.25,-42.85,1.321,1.67,224,69.38,87.5,69.55,50.3467
br0p80_x200p35_x900p05_xp0p10_ac0p25_r50p10,0.8,0.35,0.05,0.1,0.25,0.1,-26.717,10253.21,80.38,-43.07,1.325,1.686,216,69.38,87.5,69.43,50.3728
br0p80_x200p35_x900p05_xp0p10_ac0p30_r50p10,0.8,0.35,0.05,0.1,0.3,0.1,-26.717,10253.21,80.38,-43.07,1.325,1.686,216,69.38,87.5,69.43,50.3728
br1p00_x200p45_x900p05_xp0p10_ac0p25_r50p10,1.0,0.45,0.05,0.1,0.25,0.1,-26.717,10253.21,80.38,-43.07,1.325,1.686,216,69.38,87.5,69.43,50.3728
br1p00_x200p45_x900p05_xp0p10_ac0p30_r50p10,1.0,0.45,0.05,0.1,0.3,0.1,-26.717,10253.21,80.38,-43.07,1.325,1.686,216,69.38,87.5,69.43,50.3728
br1p00_x200p45_x900p10_xp0p10_ac0p30_r50p10,1.0,0.45,0.1,0.1,0.3,0.1,-26.717,10253.21,80.38,-43.07,1.325,1.686,216,69.38,87.5,69.43,50.3728
br0p80_x200p35_x900p10_xp0p15_ac0p30_r50p10,0.8,0.35,0.1,0.15,0.3,0.1,-26.76,10190.35,80.24,-43.07,1.324,1.684,216,69.38,87.5,69.43,50.3789
br0p80_x200p35_x900p05_xp0p15_ac0p25_r50p10,0.8,0.35,0.05,0.15,0.25,0.1,-26.783,10171.09,80.19,-43.07,1.323,1.683,216,69.38,87.5,69.43,50.3808
br0p80_x200p35_x900p05_xp0p15_ac0p30_r50p10,0.8,0.35,0.05,0.15,0.3,0.1,-26.783,10171.09,80.19,-43.07,1.323,1.683,216,69.38,87.5,69.43,50.3808
br0p80_x200p35_x900p10_xp0p10_ac0p30_r50p10,0.8,0.35,0.1,0.1,0.3,0.1,-26.783,10171.09,80.19,-43.07,1.323,1.683,216,69.38,87.5,69.43,50.3808
br1p00_x200p35_x900p05_xp0p10_ac0p30_r50p10,1.0,0.35,0.05,0.1,0.3,0.1,-26.783,10171.09,80.19,-43.07,1.323,1.683,216,69.38,87.5,69.43,50.3808
br1p00_x200p35_x900p05_xp0p15_ac0p25_r50p10,1.0,0.35,0.05,0.15,0.25,0.1,-26.783,10171.09,80.19,-43.07,1.323,1.683,216,69.38,87.5,69.43,50.3808
br1p00_x200p35_x900p05_xp0p15_ac0p30_r50p10,1.0,0.35,0.05,0.15,0.3,0.1,-26.783,10171.09,80.19,-43.07,1.323,1.683,216,69.38,87.5,69.43,50.3808
br1p00_x200p35_x900p10_xp0p15_ac0p30_r50p10,1.0,0.35,0.1,0.15,0.3,0.1,-26.783,10171.09,80.19,-43.07,1.323,1.683,216,69.38,87.5,69.43,50.3808
br0p80_x200p45_x900p05_xp0p10_ac0p30_r50p10,0.8,0.45,0.05,0.1,0.3,0.1,-26.842,10098.0,80.03,-43.07,1.322,1.681,214,69.38,87.61,69.55,50.3958
br0p80_x200p45_x900p05_xp0p15_ac0p30_r50p10,0.8,0.45,0.05,0.15,0.3,0.1,-26.863,10065.1,79.96,-43.07,1.322,1.68,214,69.38,87.73,69.55,50.3989
br1p00_x200p35_x900p10_xp0p15_ac0p25_r50p15,1.0,0.35,0.1,0.15,0.25,0.15,-26.871,11047.51,82.08,-44.32,1.343,1.708,213,69.38,87.39,69.32,50.3079
br0p80_x200p45_x900p05_xp0p10_ac0p20_r50p20,0.8,0.45,0.05,0.1,0.2,0.2,-26.871,9907.37,79.6,-42.85,1.315,1.663,221,69.38,87.5,69.55,50.3853
br1p00_x200p35_x900p10_xp0p10_ac0p25_r50p10,1.0,0.35,0.1,0.1,0.25,0.1,-26.908,10778.24,81.51,-44.03,1.337,1.702,209,69.38,87.5,69.43,50.3439
br1p00_x200p35_x900p05_xp0p15_ac0p20_r50p10,1.0,0.35,0.05,0.15,0.2,0.1,-26.988,10668.19,81.28,-44.03,1.335,1.704,209,69.38,87.5,69.55,50.3563
br1p00_x200p35_x900p10_xp0p15_ac0p30_r50p15,1.0,0.35,0.1,0.15,0.3,0.15,-27.066,10558.95,81.05,-44.03,1.332,1.695,212,69.38,87.5,69.43,50.3552
br1p00_x200p45_x900p05_xp0p15_ac0p20_r50p10,1.0,0.45,0.05,0.15,0.2,0.1,-27.068,9799.94,79.35,-43.07,1.316,1.671,212,69.38,87.5,69.66,50.4336
br1p00_x200p35_x900p10_xp0p15_ac0p25_r50p10,1.0,0.35,0.1,0.15,0.25,0.1,-27.099,10526.08,80.97,-44.03,1.332,1.702,207,69.38,87.5,69.66,50.3754
br1p00_x200p45_x900p05_xp0p15_ac0p25_r50p10,1.0,0.45,0.05,0.15,0.25,0.1,-27.154,9691.24,79.1,-43.07,1.313,1.668,216,69.38,87.61,69.55,50.4318
br1p00_x200p45_x900p05_xp0p15_ac0p30_r50p10,1.0,0.45,0.05,0.15,0.3,0.1,-27.154,9691.24,79.1,-43.07,1.313,1.668,216,69.38,87.61,69.55,50.4318
br1p00_x200p35_x900p05_xp0p15_ac0p25_r50p15,1.0,0.35,0.05,0.15,0.25,0.15,-27.206,10772.39,81.5,-44.57,1.337,1.694,217,69.38,87.27,69.2,50.3197
br1p00_x200p35_x900p10_xp0p15_ac0p20_r50p10,1.0,0.35,0.1,0.15,0.2,0.1,-27.253,10514.48,80.95,-44.32,1.334,1.748,212,69.38,87.5,69.77,50.3694
br1p00_x200p35_x900p05_xp0p10_ac0p20_r50p10,1.0,0.35,0.05,0.1,0.2,0.1,-27.451,10418.69,80.74,-44.5,1.329,1.692,213,69.38,87.5,69.43,50.3655
br1p00_x200p45_x900p10_xp0p15_ac0p30_r50p10,1.0,0.45,0.1,0.15,0.3,0.1,-27.456,9322.64,78.23,-43.07,1.304,1.655,218,69.38,87.61,69.66,50.4649
br1p00_x200p35_x900p10_xp0p10_ac0p20_r50p10,1.0,0.35,0.1,0.1,0.2,0.1,-27.477,10239.52,80.35,-44.32,1.326,1.694,211,69.38,87.5,69.66,50.391
br1p00_x200p45_x900p05_xp0p10_ac0p25_r50p15,1.0,0.45,0.05,0.1,0.25,0.15,-27.608,10642.51,81.23,-45.04,1.333,1.693,214,69.38,87.39,69.32,50.3397
br1p00_x200p35_x900p05_xp0p15_ac0p20_r50p15,1.0,0.35,0.05,0.15,0.2,0.15,-27.616,11360.61,82.72,-45.97,1.352,1.766,212,69.38,87.39,69.32,50.2913
br0p80_x200p35_x900p05_xp0p10_ac0p25_r50p15,0.8,0.35,0.05,0.1,0.25,0.15,-27.761,10405.13,80.71,-45.04,1.329,1.686,216,69.38,87.27,69.2,50.3584
br1p00_x200p35_x900p05_xp0p15_ac0p30_r50p15,1.0,0.35,0.05,0.15,0.3,0.15,-27.931,10194.72,80.25,-45.04,1.324,1.68,216,69.38,87.39,69.32,50.3776
br1p00_x200p35_x900p05_xp0p10_ac0p25_r50p15,1.0,0.35,0.05,0.1,0.25,0.15,-28.108,9974.11,79.75,-45.04,1.318,1.674,220,69.38,87.39,69.32,50.3873
br1p00_x200p45_x900p05_xp0p10_ac0p30_r50p15,1.0,0.45,0.05,0.1,0.3,0.15,-28.208,9890.21,79.56,-45.04,1.315,1.664,215,69.38,87.61,69.55,50.4072
br1p00_x200p35_x900p05_xp0p10_ac0p30_r50p15,1.0,0.35,0.05,0.1,0.3,0.15,-28.297,9731.55,79.19,-45.04,1.313,1.668,217,69.38,87.39,69.32,50.4213
br1p00_x200p35_x900p10_xp0p10_ac0p25_r50p15,1.0,0.35,0.1,0.1,0.25,0.15,-28.359,10581.89,81.09,-46.24,1.333,1.692,215,69.38,87.39,69.32,50.3439
br0p80_x200p35_x900p05_xp0p10_ac0p30_r50p15,0.8,0.35,0.05,0.1,0.3,0.15,-28.769,9183.13,77.89,-45.04,1.299,1.643,217,69.38,87.61,69.55,50.4767
br1p00_x200p35_x900p10_xp0p10_ac0p30_r50p15,1.0,0.35,0.1,0.1,0.3,0.15,-28.773,10062.1,79.95,-46.24,1.32,1.678,216,69.38,87.5,69.43,50.3902
br1p00_x200p35_x900p05_xp0p10_ac0p20_r50p15,1.0,0.35,0.05,0.1,0.2,0.15,-29.048,9705.17,79.13,-46.24,1.312,1.668,218,69.38,87.5,69.43,50.4203
br1p00_x200p35_x900p10_xp0p15_ac0p30_r50p20,1.0,0.35,0.1,0.15,0.3,0.2,-29.308,9992.93,79.79,-47.06,1.318,1.673,221,69.38,87.27,69.43,50.3811
br1p00_x200p35_x900p05_xp0p15_ac0p30_r50p20,1.0,0.35,0.05,0.15,0.3,0.2,-29.419,9680.37,79.08,-46.85,1.311,1.662,222,69.38,87.27,69.32,50.4098
br1p00_x200p35_x900p05_xp0p10_ac0p20_r50p20,1.0,0.35,0.05,0.1,0.2,0.2,-29.49,10537.79,81.0,-48.1,1.333,1.739,223,69.38,87.39,69.43,50.3317
br1p00_x200p45_x900p05_xp0p15_ac0p30_r50p20,1.0,0.45,0.05,0.15,0.3,0.2,-29.529,9564.03,78.8,-46.85,1.308,1.649,219,69.38,87.39,69.43,50.4296
br0p80_x200p35_x900p05_xp0p15_ac0p30_r50p20,0.8,0.35,0.05,0.15,0.3,0.2,-29.632,9429.32,78.49,-46.85,1.305,1.645,220,69.38,87.39,69.43,50.4408
br1p00_x200p35_x900p10_xp0p10_ac0p30_r50p20,1.0,0.35,0.1,0.1,0.3,0.2,-29.634,9634.45,78.97,-47.15,1.31,1.663,225,69.38,87.27,69.43,50.4049
br1p00_x200p35_x900p05_xp0p15_ac0p20_r50p20,1.0,0.35,0.05,0.15,0.2,0.2,-29.838,10070.83,79.97,-48.1,1.323,1.727,223,69.38,87.39,69.43,50.3766
br1p00_x200p45_x900p05_xp0p10_ac0p30_r50p20,1.0,0.45,0.05,0.1,0.3,0.2,-29.969,9045.44,77.55,-46.85,1.295,1.635,220,69.38,87.5,69.55,50.4817
br1p00_x200p35_x900p05_xp0p10_ac0p30_r50p20,1.0,0.35,0.05,0.1,0.3,0.2,-30.088,8917.28,77.24,-46.85,1.291,1.632,221,69.38,87.61,69.55,50.4919
br1p00_x200p35_x900p05_xp0p15_ac0p25_r50p20,1.0,0.35,0.05,0.15,0.25,0.2,-30.222,9431.26,78.49,-47.84,1.305,1.656,223,69.38,87.39,69.43,50.4326
br0p80_x200p35_x900p05_xp0p10_ac0p30_r50p20,0.8,0.35,0.05,0.1,0.3,0.2,-30.566,8589.69,76.4,-47.17,1.282,1.621,224,69.38,87.5,69.55,50.5205
br1p00_x200p35_x900p05_xp0p10_ac0p25_r50p20,1.0,0.35,0.05,0.1,0.25,0.2,-30.765,8986.72,77.41,-48.1,1.293,1.634,226,69.38,87.5,69.55,50.4692
