variant,base_rank_weight,xs20_weight,xs90_weight,xs_persist_weight,accel_weight,ret5_weight,score,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,missed_leader_pct_of_in_market,pain_bar_pct_of_in_market,sum_leader_gap_ret
br0p80_x200p45_x900p20_xp0p15_ac0p20_r50p10,0.8,0.45,0.2,0.15,0.2,0.1,-22.86,11553.25,83.11,-38.17,1.352,1.715,213,69.38,87.5,69.77,50.2592
br0p80_x200p45_x900p10_xp0p10_ac0p30_r50p10,0.8,0.45,0.1,0.1,0.3,0.1,-22.87,10768.37,81.49,-37.31,1.337,1.699,216,69.38,87.5,69.43,50.324
br0p80_x200p45_x900p10_xp0p10_ac0p25_r50p15,0.8,0.45,0.1,0.1,0.25,0.15,-22.908,11920.1,83.83,-38.68,1.359,1.732,211,69.38,87.39,69.32,50.2342
br1p00_x200p45_x900p10_xp0p10_ac0p25_r50p15,1.0,0.45,0.1,0.1,0.25,0.15,-22.908,11920.1,83.83,-38.68,1.359,1.732,211,69.38,87.39,69.32,50.2342
br1p00_x200p35_x900p20_xp0p10_ac0p20_r50p20,1.0,0.35,0.2,0.1,0.2,0.2,-22.908,11648.0,83.3,-38.45,1.355,1.783,225,69.38,87.16,69.32,50.2208
br0p80_x200p45_x900p10_xp0p15_ac0p30_r50p10,0.8,0.45,0.1,0.15,0.3,0.1,-22.911,10713.03,81.38,-37.31,1.336,1.698,216,69.38,87.61,69.43,50.329
br1p00_x200p45_x900p20_xp0p10_ac0p25_r50p10,1.0,0.45,0.2,0.1,0.25,0.1,-22.947,11413.44,82.83,-38.17,1.349,1.712,215,69.38,87.39,69.66,50.2647
br1p00_x200p45_x900p20_xp0p10_ac0p30_r50p15,1.0,0.45,0.2,0.1,0.3,0.15,-22.958,11103.13,82.2,-37.81,1.342,1.706,213,69.38,87.39,69.66,50.2978
br1p00_x200p45_x900p20_xp0p15_ac0p25_r50p10,1.0,0.45,0.2,0.15,0.25,0.1,-22.996,12142.93,84.26,-39.05,1.363,1.737,211,69.38,87.39,69.66,50.2149
br1p00_x200p45_x900p10_xp0p15_ac0p25_r50p15,1.0,0.45,0.1,0.15,0.25,0.15,-23.011,11477.59,82.96,-38.37,1.351,1.72,211,69.38,87.39,69.32,50.2731
br1p00_x200p35_x900p20_xp0p10_ac0p30_r50p20,1.0,0.35,0.2,0.1,0.3,0.2,-23.08,11450.77,82.9,-38.45,1.347,1.712,224,69.38,87.05,69.2,50.2285
br1p00_x200p35_x900p20_xp0p10_ac0p25_r50p20,1.0,0.35,0.2,0.1,0.25,0.2,-23.126,11355.08,82.71,-38.45,1.348,1.763,222,69.38,87.16,69.32,50.2528
br1p00_x200p45_x900p10_xp0p15_ac0p20_r50p15,1.0,0.45,0.1,0.15,0.2,0.15,-23.19,11476.06,82.96,-38.68,1.351,1.72,215,69.38,87.27,69.43,50.2613
br0p80_x200p45_x900p20_xp0p10_ac0p30_r50p15,0.8,0.45,0.2,0.1,0.3,0.15,-23.225,11429.89,82.86,-38.68,1.35,1.719,215,69.38,87.39,69.32,50.2651
