ts,selected,gross_exposure,raw_strategy_ret,cost,strategy_ret,btc_ret,equity
2020-09-02,ETHUSDT,0.0,-0.1321956769055745,0.0,-0.1321956769055745,-0.044743444246210906,1.4591303523560055
2021-05-11,BTCUSDT,0.0,-0.1242050029274738,0.0015,-0.1257050029274738,0.01529808403089139,3.166100462876297
2021-09-06,ETHUSDT,0.0,-0.1253447489921741,0.0,-0.1253447489921741,0.017524626677651423,3.1650543108299294
2020-06-10,LINKUSDT,0.0,-0.1053702656868287,0.0,-0.1053702656868287,0.011519141093873309,0.9195477350456163
2020-11-25,ETHUSDT,0.0,-0.0872168568920104,0.0,-0.0872168568920104,-0.023011470244535204,1.6441117298603498
2025-08-24,ETHUSDT,0.0,-0.0845099003169355,0.0,-0.0845099003169355,-0.01684418612407268,16.595646104261718
2023-04-18,ETHUSDT,0.0,-0.0807083432374613,0.0,-0.0807083432374613,0.03227085582293321,3.6077906939120594
2021-11-17,BNBUSDT,0.0,-0.0799307958477509,0.0,-0.0799307958477509,0.004761994356537125,3.6224041465048713
2023-12-10,DOGEUSDT,0.0,-0.0758884743765953,0.0,-0.0758884743765953,0.0017365305076681992,4.487798600767601
2020-09-01,ETHUSDT,0.0,-0.0755153554901135,0.0,-0.0755153554901135,0.023388108169356325,1.6814047977463673
2024-12-08,ETHUSDT,0.0,-0.0729618021302898,0.0,-0.0729618021302898,0.012797501081567075,11.889182697949302
2023-02-08,LTCUSDT,0.0,-0.0722636565208627,0.0,-0.0722636565208627,-0.011938662143520351,4.05998009977129
2021-11-15,BNBUSDT,0.0,-0.0711580940359734,0.0,-0.0711580940359734,-0.029187824619080538,4.009983680044035
2021-04-06,ETHUSDT,0.0,-0.070419134461062,0.0,-0.070419134461062,-0.019259938992041037,3.508918959554448
2020-07-08,LINKUSDT,0.0,-0.0641205164109746,0.0,-0.0641205164109746,0.019300256335749166,1.0386004501249506
2020-08-24,ETHUSDT,0.0,-0.0607093799058084,0.0,-0.0607093799058084,0.008591078567976362,1.4649837069420162
2024-03-15,BTCUSDT,0.0,-0.0604205620587671,0.0,-0.0604205620587671,-0.026461942143979122,5.169530338769287
2024-12-17,BTCUSDT,0.0,-0.0558703575319216,0.003,-0.0588703575319216,0.0007079101319968917,11.734889514452908
2020-11-24,ETHUSDT,0.0,-0.0586310064961899,0.0,-0.0586310064961899,0.043119011324041834,1.8012073757872171
2021-10-20,BTCUSDT,0.0,-0.0576996764160038,0.0,-0.0576996764160038,0.026770445013028166,3.5715020606205257
