min_lt_score_long,min_st_score_long,max_yz_vol_entry,max_atr_pct_entry,exit_on_transition,robust_score,median_fold_sharpe,median_fold_sortino,median_fold_cagr_pct,median_fold_return_pct,worst_fold_dd_pct,positive_fold_ratio,median_asset_sharpe,median_asset_return_pct
20.0,-10.0,0.5,70.0,True,-10.731,0.0,0.0,0.0,0.0,-20.94,0.333,0.0,0.0
20.0,-10.0,0.5,85.0,True,-10.731,0.0,0.0,0.0,0.0,-20.94,0.333,0.0,0.0
10.0,0.0,0.5,85.0,True,-10.731,0.0,0.0,0.0,0.0,-20.94,0.333,0.0,0.0
10.0,0.0,0.5,70.0,True,-10.731,0.0,0.0,0.0,0.0,-20.94,0.333,0.0,0.0
10.0,-10.0,0.5,85.0,True,-10.731,0.0,0.0,0.0,0.0,-20.94,0.333,0.0,0.0
10.0,-10.0,0.5,70.0,True,-10.731,0.0,0.0,0.0,0.0,-20.94,0.333,0.0,0.0
0.0,0.0,0.5,85.0,True,-10.731,0.0,0.0,0.0,0.0,-20.94,0.333,0.0,0.0
0.0,0.0,0.5,70.0,True,-10.731,0.0,0.0,0.0,0.0,-20.94,0.333,0.0,0.0
10.0,0.0,0.9,70.0,True,-17.159,0.085,0.033,0.11,0.43,-39.7,0.533,0.064,-0.46
10.0,0.0,0.9,85.0,True,-17.159,0.085,0.033,0.11,0.43,-39.7,0.533,0.064,-0.46
10.0,-10.0,0.9,70.0,True,-17.159,0.085,0.033,0.11,0.43,-39.7,0.533,0.064,-0.46
10.0,-10.0,0.9,85.0,True,-17.159,0.085,0.033,0.11,0.43,-39.7,0.533,0.064,-0.46
20.0,0.0,0.9,70.0,True,-17.159,0.085,0.033,0.11,0.43,-39.7,0.533,0.064,-0.46
20.0,0.0,0.9,85.0,True,-17.159,0.085,0.033,0.11,0.43,-39.7,0.533,0.064,-0.46
20.0,-10.0,0.9,70.0,True,-17.159,0.085,0.033,0.11,0.43,-39.7,0.533,0.064,-0.46
20.0,-10.0,0.9,85.0,True,-17.159,0.085,0.033,0.11,0.43,-39.7,0.533,0.064,-0.46
0.0,0.0,0.9,70.0,True,-17.159,0.085,0.033,0.11,0.43,-39.7,0.533,0.064,-0.46
0.0,0.0,0.9,85.0,True,-17.159,0.085,0.033,0.11,0.43,-39.7,0.533,0.064,-0.46
0.0,-10.0,0.9,70.0,True,-17.159,0.085,0.033,0.11,0.43,-39.7,0.533,0.064,-0.46
0.0,-10.0,0.9,85.0,True,-17.159,0.085,0.033,0.11,0.43,-39.7,0.533,0.064,-0.46
20.0,0.0,0.9,70.0,False,-29.249,0.47,0.36,10.63,39.0,-55.32,0.667,0.591,337.2
20.0,0.0,0.9,85.0,False,-29.249,0.47,0.36,10.63,39.0,-55.32,0.667,0.591,337.2
20.0,-10.0,0.9,70.0,False,-29.249,0.47,0.36,10.63,39.0,-55.32,0.667,0.591,337.2
20.0,-10.0,0.9,85.0,False,-29.249,0.47,0.36,10.63,39.0,-55.32,0.667,0.591,337.2
0.0,0.0,0.9,70.0,False,-29.249,0.47,0.36,10.63,39.0,-55.32,0.667,0.591,337.2
0.0,0.0,0.9,85.0,False,-29.249,0.47,0.36,10.63,39.0,-55.32,0.667,0.591,337.2
0.0,-10.0,0.9,70.0,False,-29.249,0.47,0.36,10.63,39.0,-55.32,0.667,0.591,337.2
0.0,-10.0,0.9,85.0,False,-29.249,0.47,0.36,10.63,39.0,-55.32,0.667,0.591,337.2
10.0,0.0,0.9,70.0,False,-29.249,0.47,0.36,10.63,39.0,-55.32,0.667,0.591,337.2
10.0,0.0,0.9,85.0,False,-29.249,0.47,0.36,10.63,39.0,-55.32,0.667,0.591,337.2
10.0,-10.0,0.9,70.0,False,-29.249,0.47,0.36,10.63,39.0,-55.32,0.667,0.591,337.2
10.0,-10.0,0.9,85.0,False,-29.249,0.47,0.36,10.63,39.0,-55.32,0.667,0.591,337.2
20.0,0.0,0.7,85.0,False,-30.563,0.467,0.345,9.05,23.83,-55.32,0.733,0.393,74.49
20.0,0.0,0.7,70.0,False,-30.563,0.467,0.345,9.05,23.83,-55.32,0.733,0.393,74.49
0.0,-10.0,0.7,85.0,False,-30.563,0.467,0.345,9.05,23.83,-55.32,0.733,0.393,74.49
0.0,-10.0,0.7,70.0,False,-30.563,0.467,0.345,9.05,23.83,-55.32,0.733,0.393,74.49
0.0,0.0,0.7,85.0,False,-30.563,0.467,0.345,9.05,23.83,-55.32,0.733,0.393,74.49
0.0,0.0,0.7,70.0,False,-30.563,0.467,0.345,9.05,23.83,-55.32,0.733,0.393,74.49
10.0,-10.0,0.7,70.0,False,-30.563,0.467,0.345,9.05,23.83,-55.32,0.733,0.393,74.49
10.0,-10.0,0.7,85.0,False,-30.563,0.467,0.345,9.05,23.83,-55.32,0.733,0.393,74.49
10.0,0.0,0.7,85.0,False,-30.563,0.467,0.345,9.05,23.83,-55.32,0.733,0.393,74.49
10.0,0.0,0.7,70.0,False,-30.563,0.467,0.345,9.05,23.83,-55.32,0.733,0.393,74.49
20.0,-10.0,0.7,85.0,False,-30.563,0.467,0.345,9.05,23.83,-55.32,0.733,0.393,74.49
20.0,-10.0,0.7,70.0,False,-30.563,0.467,0.345,9.05,23.83,-55.32,0.733,0.393,74.49
0.0,-10.0,0.5,70.0,False,-41.769,0.0,0.0,0.0,0.0,-51.21,0.467,0.675,209.56
0.0,-10.0,0.5,85.0,False,-41.769,0.0,0.0,0.0,0.0,-51.21,0.467,0.675,209.56
0.0,0.0,0.5,85.0,False,-41.769,0.0,0.0,0.0,0.0,-51.21,0.467,0.675,209.56
0.0,0.0,0.5,70.0,False,-41.769,0.0,0.0,0.0,0.0,-51.21,0.467,0.675,209.56
10.0,0.0,0.5,85.0,False,-41.769,0.0,0.0,0.0,0.0,-51.21,0.467,0.675,209.56
10.0,0.0,0.5,70.0,False,-41.769,0.0,0.0,0.0,0.0,-51.21,0.467,0.675,209.56
10.0,-10.0,0.5,85.0,False,-41.769,0.0,0.0,0.0,0.0,-51.21,0.467,0.675,209.56
10.0,-10.0,0.5,70.0,False,-41.769,0.0,0.0,0.0,0.0,-51.21,0.467,0.675,209.56
20.0,-10.0,0.5,70.0,False,-41.769,0.0,0.0,0.0,0.0,-51.21,0.467,0.675,209.56
20.0,-10.0,0.5,85.0,False,-41.769,0.0,0.0,0.0,0.0,-51.21,0.467,0.675,209.56
20.0,0.0,0.5,85.0,False,-41.769,0.0,0.0,0.0,0.0,-51.21,0.467,0.675,209.56
20.0,0.0,0.5,70.0,False,-41.769,0.0,0.0,0.0,0.0,-51.21,0.467,0.675,209.56
