model,overlay_mode,kill_multiplier,kill_day_pct,start_ts,end_ts,bars,days,years,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,avg_exposure
phase20_btc_3d_neg_k05,btc_3d_neg,0.5,46.730462519936204,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,1995.0880996465526,42.55375617520434,-29.96416580605632,1.3385847285615025,0.9132155580241283,0.23295908050870004
phase20_btc_3d_neg_k025,btc_3d_neg,0.25,46.730462519936204,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,1549.8724133108667,38.63949371103224,-30.14066725723775,1.31755086023462,0.8504829170433039,0.23295908050870004
phase20_btc_3d_neg_k075,btc_3d_neg,0.75,46.730462519936204,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,2480.585446947348,46.058820208311026,-30.242535767643552,1.3118614321977897,0.9295949566905655,0.23295908050870004
always_daily,none,1.0,0.0,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,2986.787334369976,49.13981315558009,-35.407137398124675,1.2614084971983677,0.911496729354042,0.23295908050870004
soft_kill_4h,reference,,,2017-08-17 04:00:00,2026-03-17 20:00:00,18793,3134,8.580424366872005,891.2865733396909,30.647587104893436,-22.389511599050305,1.2356563257953401,0.832850368898091,0.23295908050870004
