ts,selected,n_selected,raw_strategy_ret,turnover,cost,strategy_ret,equity,window,model
2020-04-23,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-04-24,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-04-25,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-04-26,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-04-27,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-04-28,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-04-29,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-04-30,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-01,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-02,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-03,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-04,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-05,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-06,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-07,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-08,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-09,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-10,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-11,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-12,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-13,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-14,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-15,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-16,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-17,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-18,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-19,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-20,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-21,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-22,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-23,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-24,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-25,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-26,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-27,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-28,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-29,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-30,,0,0.0,0.0,0.0,0.0,1.0,1,base
2020-05-31,ETHUSDT,1,0.07194368873342838,1.0,0.002,0.06994368873342838,1.0699436887334284,1,base
2020-06-01,ETHUSDT,1,-0.04238005075937634,0.0,0.0,-0.04238005075937634,1.0245994208952314,1,base
2020-06-02,LINKUSDT,1,0.020829543387302252,2.0,0.004,0.01682954338730225,1.0418429613037925,1,base
2020-06-03,LINKUSDT,1,-0.014456918827408183,0.0,0.0,-0.014456918827408183,1.026781122181317,1,base
2020-06-04,LINKUSDT,1,-0.014985421422597955,0.0,0.0,-0.014985421422597955,1.011394374356662,1,base
2020-06-05,LINKUSDT,1,-0.0015603487838455887,0.0,0.0,-0.0015603487838455887,1.0098162463746463,1,base
2020-06-06,LINKUSDT,1,-0.0010801617944476982,0.0,0.0,-0.0010801617944476982,1.0087254814459,1,base
2020-06-07,LINKUSDT,1,0.02910387668238812,0.0,0.0,0.02910387668238812,1.038083303464284,1,base
2020-06-08,LINKUSDT,1,-0.008495416946121215,0.0,0.0,-0.008495416946121215,1.029264352976548,1,base
2020-06-09,LINKUSDT,1,-0.002818489289740489,0.0,0.0,-0.002818489289740489,1.0263633824213718,1,base
2020-06-10,LINKUSDT,1,-0.10537026568682872,0.0,0.0,-0.10537026568682872,0.9182152001243997,1,base
2020-06-11,ETHUSDT,1,0.03054097436119907,2.0,0.004,0.02654097436119907,0.9425855262089646,1,base
2020-06-12,ETHUSDT,1,0.0023573984424332117,0.0,0.0,0.0023573984424332117,0.9448075758603097,1,base
2020-06-13,ETHUSDT,1,-0.02662634916635165,0.0,0.0,-0.02662634916635165,0.9196507994504388,1,base
2020-06-14,ETHUSDT,1,-0.003926306251887612,0.0,0.0,-0.003926306251887612,0.9160399687670031,1,base
2020-06-15,,0,0.0,1.0,0.002,-0.002,0.9142078888294691,1,base
2020-06-16,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-06-17,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-06-18,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-06-19,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-06-20,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-06-21,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-06-22,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-06-23,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-06-24,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-06-25,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-06-26,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-06-27,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-06-28,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-06-29,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-06-30,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-07-01,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-07-02,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-07-03,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-07-04,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-07-05,,0,0.0,0.0,0.0,0.0,0.9142078888294691,1,base
2020-07-06,LINKUSDT,1,0.06772105861946764,1.0,0.002,0.06572105861946764,0.9742905990816104,1,base
2020-07-07,LINKUSDT,1,0.13518376187814418,0.0,0.0,0.13518376187814418,1.1059988674279733,1,base
2020-07-08,LINKUSDT,1,-0.0641205164109746,0.0,0.0,-0.0641205164109746,1.0350816488985386,1,base
2020-07-09,ETHUSDT,1,-0.0029754525167369206,2.0,0.004,-0.006975452516736921,1.0278614860057012,1,base
2020-07-10,ETHUSDT,1,-0.00857995523501609,0.0,0.0,-0.00857995523501609,1.0190424804679752,1,base
2020-07-11,ETHUSDT,1,0.015050796437978242,0.0,0.0,0.015050796437978242,1.034379881403151,1,base
2020-07-12,ETHUSDT,1,-0.01355080522262031,0.0,0.0,-0.01355080522262031,1.02036320110406,1,base
2020-07-13,ETHUSDT,1,0.003924843423799507,0.0,0.0,0.003924843423799507,1.0243679669038002,1,base
2020-07-14,ETHUSDT,1,-0.007611046414905953,0.0,0.0,-0.007611046414905953,1.0165714547617526,1,base
2020-07-15,ETHUSDT,1,-0.02112233351494075,0.0,0.0,-0.02112233351494075,0.9950990934525064,1,base
2020-07-16,ETHUSDT,1,-0.003853234576358333,0.0,0.0,-0.003853234576358333,0.9912647432187123,1,base
2020-07-17,ETHUSDT,1,0.012893798083122077,0.0,0.0,0.012893798083122077,1.0040459106646922,1,base
2020-07-18,ETHUSDT,1,0.014596681800823186,0.0,0.0,0.014596681800823186,1.0187016493360825,1,base
2020-07-19,ETHUSDT,1,-0.012964744259964078,0.0,0.0,-0.012964744259964078,1.0054944429752366,1,base
2020-07-20,ETHUSDT,1,0.04059150036015424,0.0,0.0,0.04059150036015424,1.046308971019399,1,base
2020-07-21,ETHUSDT,1,0.07390366057249897,0.0,0.0,0.07390366057249897,1.1236350340675771,1,base
2020-07-22,ETHUSDT,1,0.04383104572685226,0.0,0.0,0.04383104572685226,1.1728851326260863,1,base
2020-07-23,ETHUSDT,1,0.013984743915728126,0.0,0.0,0.013984743915728126,1.189287630848427,1,base
2020-07-24,ETHUSDT,1,0.09353394232491508,0.0,0.0,0.09353394232491508,1.3005263915199388,1,base
2020-07-25,ETHUSDT,1,0.018803642796304754,0.0,0.0,0.018803642796304754,1.3249810252332468,1,base
2020-07-26,ETHUSDT,1,0.03514469453376212,0.0,0.0,0.03514469453376212,1.3715470786281,1,base
2020-07-27,ETHUSDT,1,-0.016028329139875175,0.0,0.0,-0.016028329139875175,1.3495634706210147,1,base
2020-07-28,ETHUSDT,1,0.0029674527259526684,0.0,0.0,0.0029674527259526684,1.353568236420755,1,base
2020-07-29,ETHUSDT,1,0.054011519939567654,0.0,0.0,0.054011519939567654,1.4266765142117601,1,base
2020-07-30,ETHUSDT,1,0.03422223549437087,0.0,0.0,0.03422223549437087,1.475500573855403,1,base
2020-07-31,ETHUSDT,1,0.1174313516010741,0.0,0.0,0.1174313516010741,1.6487706005314033,1,base
2020-08-01,ETHUSDT,1,-0.03767441860465115,0.0,0.0,-0.03767441860465115,1.5866541267439411,1,base
2020-08-02,BTCUSDT,1,0.013409385485961378,2.0,0.004,0.009409385485961378,1.6015835670553662,1,base
2020-08-03,BNBUSDT,1,0.010494140695860521,2.0,0.004,0.006494140695860521,1.6119844760760018,1,base
2020-08-04,BNBUSDT,1,0.04447576048613655,0.0,0.0,0.04447576048613655,1.6836787115413283,1,base
2020-08-05,BNBUSDT,1,-0.022519851500464094,0.0,0.0,-0.022519851500464094,1.6457625169829249,1,base
2020-08-06,BNBUSDT,1,-0.018304342665734774,0.0,0.0,-0.018304342665734774,1.6156379159256473,1,base
2020-08-07,BNBUSDT,1,0.026468388835901413,0.0,0.0,0.026468388835901413,1.6584012485023927,1,base
2020-08-08,BNBUSDT,1,-0.02187284608740414,0.0,0.0,-0.02187284608740414,1.622127293242741,1,base
2020-08-09,BNBUSDT,1,0.009584336812059613,0.0,0.0,0.009584336812059613,1.637674307573214,1,base
2020-08-10,BTCUSDT,1,-0.04211245009635989,2.0,0.004,-0.04611245009635989,1.5621571327911534,1,base
2020-08-11,BTCUSDT,1,0.015120153650606483,0.0,0.0,0.015120153650606483,1.5857771886653464,1,base
2020-08-12,BTCUSDT,1,0.0186495888650704,0.0,0.0,0.0186495888650704,1.6153512812655624,1,base
2020-08-13,BTCUSDT,1,-0.0016519524617996106,0.0,0.0,-0.0016519524617996106,1.6126827977398046,1,base
2020-08-14,BTCUSDT,1,0.007810865827589497,0.0,0.0,0.007810865827589497,1.6252792466954118,1,base
2020-08-15,BTCUSDT,1,0.004944146333232036,0.0,0.0,0.004944146333232036,1.633314865123439,1,base
2020-08-16,BNBUSDT,1,-0.00139827446980334,2.0,0.004,-0.00539827446980334,1.6244977831858929,1,base
2020-08-17,BTCUSDT,1,-0.02736881703882288,2.0,0.004,-0.03136881703882288,1.5735392094451612,1,base
2020-08-18,BTCUSDT,1,-0.015941384728853314,0.0,0.0,-0.015941384728853314,1.5484548155214601,1,base
2020-08-19,BTCUSDT,1,0.008418838938661244,0.0,0.0,0.008418838938661244,1.5614910072171297,1,base
2020-08-20,BNBUSDT,1,-0.04287793215758284,2.0,0.004,-0.04687793215758285,1.4882915377161294,1,base
2020-08-21,BTCUSDT,1,0.01141411145625737,2.0,0.004,0.00741411145625737,1.4993258970561614,1,base
2020-08-22,ETHUSDT,1,-0.011461390547515493,2.0,0.004,-0.015461390547515493,1.476144233803772,1,base
2020-08-23,ETHUSDT,1,0.04343374881625772,0.0,0.0,0.04343374881625772,1.5402587116713722,1,base
2020-08-24,ETHUSDT,1,-0.06070937990580849,0.0,0.0,-0.06070937990580849,1.4467505603912838,1,base
2020-08-25,ETHUSDT,1,0.0075209568328415966,0.0,0.0,0.0075209568328415966,1.457631508903876,1,base
2020-08-26,ETHUSDT,1,-0.006583551489074968,0.0,0.0,-0.006583551489074968,1.4480351168129093,1,base
2020-08-27,ETHUSDT,1,0.030892060427375023,0.0,0.0,0.030892060427375023,1.4927679051424547,1,base
2020-08-28,ETHUSDT,1,0.008959530257396597,0.0,0.0,0.008959530257396597,1.5061424043558491,1,base
2020-08-29,ETHUSDT,1,0.07598143735105989,0.0,0.0,0.07598143735105989,1.6205812690941879,1,base
2020-08-30,ETHUSDT,1,0.01130694269594823,0.0,0.0,0.01130694269594823,1.6389050886379628,1,base
2020-08-31,ETHUSDT,1,0.09592198990294842,0.0,0.0,0.09592198990294842,1.7961121260021842,1,base
2020-09-01,ETHUSDT,1,-0.07551535549011357,0.0,0.0,-0.07551535549011357,1.6604780803070256,1,base
2020-09-02,ETHUSDT,1,-0.13219567690557454,0.0,0.0,-0.13219567690557454,1.4409700564939694,1,base
2020-09-03,BTCUSDT,1,0.03011581869369917,2.0,0.004,0.02611581869369917,1.4786021692324154,1,base
2020-09-04,BTCUSDT,1,-0.02676175661122404,0.0,0.0,-0.02676175661122404,1.4390321778545896,1,base
2020-09-05,BTCUSDT,1,0.008804242088624736,0.0,0.0,0.008804242088624736,1.4517017655217423,1,base
2020-09-06,BTCUSDT,1,0.011431134338253823,0.0,0.0,0.011431134338253823,1.4682963634225017,1,base
2020-09-07,BTCUSDT,1,-0.02379056513557709,0.0,0.0,-0.02379056513557709,1.4333647631501676,1,base
2020-09-08,BTCUSDT,1,0.009139251381256486,0.0,0.0,0.009139251381256486,1.4464646440416322,1,base
2020-09-09,BTCUSDT,1,0.011514599968686312,0.0,0.0,0.011514599968686312,1.4631201057866199,1,base
2020-09-10,BTCUSDT,1,0.004935730061420784,0.0,0.0,0.004935730061420784,1.47034167167622,1,base
2020-09-11,BTCUSDT,1,0.005104982821342974,0.0,0.0,0.005104982821342974,1.477847740651632,1,base
2020-09-12,BTCUSDT,1,-0.01035253598341912,0.0,0.0,-0.01035253598341912,1.4625482687385212,1,base
2020-09-13,BTCUSDT,1,0.03280224294796308,0.0,0.0,0.03280224294796308,1.510523132372805,1,base
2020-09-14,BTCUSDT,1,0.010639284767194113,0.0,0.0,0.010639284767194113,1.5265940181255533,1,base
