month,always_daily,phase20_btc_3d_neg_k05,phase27_lag2_gt_3pct
2017-08,0.0,0.0,0.0
2017-09,0.0,0.0,0.0
2017-10,0.0,0.0,0.0
2017-11,0.0,0.0,0.0
2017-12,0.0,0.0,0.0
2018-01,0.0,0.0,0.0
2018-02,0.0,0.0,0.0
2018-03,0.0,0.0,0.0
2018-04,0.0,0.0,0.0
2018-05,0.0,0.0,0.0
2018-06,0.0,0.0,0.0
2018-07,0.0,0.0,0.0
2018-08,0.0,0.0,0.0
2018-09,0.0,0.0,0.0
2018-10,0.0,0.0,0.0
2018-11,0.0,0.0,0.0
2018-12,0.0,0.0,0.0
2019-01,0.0,0.0,0.0
2019-02,0.0,0.0,0.0
2019-03,3.833395894352143,3.833395894352143,3.833395894352143
2019-04,-1.480858661159845,-4.1659315752644925,-4.1659315752644925
2019-05,37.414970227801916,38.42643247879454,38.46676026929936
2019-06,18.418876881300285,16.658677712481907,16.658677712481907
2019-07,-1.1101608186369516,-1.1101608186369516,-1.1101608186369516
2019-08,-0.42395938847926695,-0.42395938847926695,-0.42395938847926695
2019-09,0.0,0.0,0.0
2019-10,0.0,0.0,0.0
2019-11,0.0,0.0,0.0
2019-12,0.0,0.0,0.0
2020-01,0.0,0.0,0.0
2020-02,4.833114182796749,9.470911903170865,9.470911903170865
2020-03,0.0,0.0,0.0
2020-04,0.0,0.0,0.0
2020-05,0.0,0.0,0.0
2020-06,-2.683871994426068,-3.7167393644985225,-3.907176103464338
2020-07,56.5796023100281,56.284145174472975,56.284145174472975
2020-08,15.553864665714134,9.085307760419226,9.643505989976319
2020-09,-12.768930406848899,-4.656271527143641,-4.656271527143641
2020-10,8.71561293870835,11.036204997674947,10.68470246868658
2020-11,11.554591847948114,7.980826141153097,7.402115622315963
2020-12,51.34987817821779,47.54656173944256,47.74127319901045
2021-01,14.264789947538148,14.264789947538148,14.264789947538148
2021-02,0.0,0.0,0.0
2021-03,27.552086721809978,27.783138031615493,27.200723593424737
2021-04,-7.329286142928804,-0.3481762659480969,2.3154775894799196
2021-05,-12.893845389739479,-6.555410628357327,-6.555410628357327
2021-06,0.0,0.0,0.0
2021-07,0.0,0.0,0.0
2021-08,4.848315045186191,0.6770428394273331,0.992542727027601
2021-09,-0.49316502767147163,-4.72440333569204,-4.096784255516961
2021-10,12.270188478990152,6.322329305614827,8.864613659825938
2021-11,19.251444947371542,12.734553042328333,17.286151810562878
2021-12,-8.83235614772272,-4.542282187071811,-4.542282187071811
2022-01,0.0,0.0,0.0
2022-02,0.0,0.0,0.0
2022-03,0.0,0.0,0.0
2022-04,0.0,0.0,0.0
2022-05,0.0,0.0,0.0
2022-06,0.0,0.0,0.0
2022-07,0.0,0.0,0.0
2022-08,0.0,0.0,0.0
2022-09,0.0,0.0,0.0
2022-10,0.0,0.0,0.0
2022-11,0.0,0.0,0.0
2022-12,0.0,0.0,0.0
2023-01,1.2059975121750943,-0.8462793753991837,-1.2422370711080544
2023-02,-16.17283884908621,-12.324426057538219,-11.88041588185108
2023-03,4.360811208787374,1.8161405102402384,2.078654637315891
2023-04,-5.424925809699355,-5.363255193371574,-5.363255193371574
2023-05,0.0,0.0,0.0
2023-06,0.0,0.0,0.0
2023-07,-1.0858911195144594,-1.011594092313295,-1.011594092313295
2023-08,0.0,0.0,0.0
2023-09,0.0,0.0,0.0
2023-10,2.8895904822664242,2.8895904822664242,2.8895904822664242
2023-11,-6.353074819353832,-8.706149006574893,-8.706149006574893
2023-12,45.201750094844975,35.84520554279593,37.414392007866645
2024-01,-16.316007030700707,-15.739802320333196,-16.008232386212974
2024-02,7.569909031471522,7.93912507740715,7.93912507740715
2024-03,11.381705666671982,13.14742595851297,13.14742595851297
2024-04,0.0,0.0,0.0
2024-05,-5.095767397419648,-4.29003998351718,-4.29003998351718
2024-06,0.0,0.0,0.0
2024-07,0.0,0.0,0.0
2024-08,0.0,0.0,0.0
2024-09,0.0,0.0,0.0
2024-10,0.0,0.0,0.0
2024-11,8.707839642004146,7.468792478821307,7.0417559561394505
2024-12,76.71923412889576,32.040495516189374,71.48059918559251
2025-01,16.99355113072778,9.259320302018015,12.129122017772564
2025-02,-10.802270622031285,-6.9423946082189385,-6.9423946082189385
2025-03,0.0,0.0,0.0
2025-04,0.0,0.0,0.0
2025-05,0.0,0.0,0.0
2025-06,0.0,0.0,0.0
2025-07,25.453036647196758,20.02172055339646,19.452450958423896
2025-08,4.80777570700015,4.601968255176758,5.367143362565785
2025-09,30.489190851305658,29.637799555776724,31.022842432126808
2025-10,12.133375464018314,19.638054117916347,19.638054117916347
2025-11,0.0,0.0,0.0
2025-12,0.0,0.0,0.0
2026-01,0.0,0.0,0.0
2026-02,0.0,0.0,0.0
2026-03,0.0,0.0,0.0
