ts,selected,n_selected,raw_strategy_ret,turnover,cost,strategy_ret,equity,dd_now,cooldown_left,window,model
2020-04-23,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-04-24,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-04-25,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-04-26,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-04-27,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-04-28,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-04-29,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-04-30,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-01,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-02,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-03,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-04,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-05,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-06,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-07,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-08,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-09,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-10,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-11,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-12,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-13,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-14,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-15,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-16,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-17,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-18,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-19,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-20,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-21,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-22,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-23,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-24,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-25,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-26,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-27,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-28,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-29,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-30,,0,0.0,0.0,0.0,0.0,1.0,-0.10929103521855377,0,1,base
2020-05-31,ETHUSDT,1,0.05328993098789924,0.7407172460304814,0.0007407172460304814,0.05254921374186876,1.0525492137418688,-0.062484979446454814,0,1,base
2020-06-01,ETHUSDT,1,-0.02717293893104897,0.09954437237513036,9.954437237513036e-05,-0.027272483303424102,1.0238435828840615,-0.08805334219121075,0,1,base
2020-06-02,ETHUSDT,1,0.016749238949146626,0.05652359456553746,5.6523594565537464e-05,0.016692715354581087,1.0409343123807595,-0.07283047621384708,0,1,base
2020-06-03,ETHUSDT,1,-0.002858951450031562,0.051007440493087364,5.100744049308737e-05,-0.0029099588905246495,1.037905236323995,-0.07552850141261225,0,1,base
2020-06-04,ETHUSDT,1,-0.0072037601704724764,0.017309894441201346,1.7309894441201345e-05,-0.007221070064913678,1.0304104498917586,-0.08220417487692744,0,1,base
2020-06-05,ETHUSDT,1,0.0044411166101256,0.007164088914136557,7.164088914136557e-06,0.004433952521211463,1.0349792409039387,-0.07813471176416575,0,1,base
2020-06-06,ETHUSDT,1,0.0056635324846880135,0.0351253451026714,3.51253451026714e-05,0.005628407139585342,1.040804525452765,-0.07294607859412328,0,1,base
2020-06-07,ETHUSDT,1,0.0033330721508737335,0.07998171314413544,7.998171314413544e-05,0.003253090437729598,1.0441903567020612,-0.0699302883471381,0,1,base
2020-06-08,ETHUSDT,1,-0.004347381535360295,0.031010759738804017,3.1010759738804016e-05,-0.004378392295099099,1.03961848168966,-0.07400249840654394,0,1,base
2020-06-09,ETHUSDT,1,0.0072325278882736915,0.03103975964186878,3.103975964186878e-05,0.007201488128631823,1.0471052818438544,-0.06733393839167601,0,1,base
2020-06-10,ETHUSDT,1,-0.03961203639551906,0.12529288943636274,0.00012529288943636274,-0.03973732928495542,1.005496114463209,-0.10439559679470845,0,1,base
2020-06-11,,0,0.0,0.5683306530446848,0.0005683306530446848,-0.0005683306530446848,1.0049246601998423,-0.10490459623005188,0,1,base
2020-06-12,ETHUSDT,1,0.0012836124046495345,0.5445037977223067,0.0005445037977223067,0.0007391086069272278,1.0056674086655095,-0.10424302351310444,0,1,base
2020-06-13,ETHUSDT,1,-0.014791592654283819,0.011020827973517444,1.1020827973517445e-05,-0.014802613482257336,0.9907809027233306,-0.1175025678100754,0,1,base
2020-06-14,,0,0.0,0.5555246256958242,0.0005555246256958242,-0.0005555246256958242,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-15,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-16,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-17,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-18,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-19,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-20,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-21,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-22,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-23,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-24,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-25,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-26,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-27,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-28,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-29,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-06-30,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-07-01,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-07-02,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-07-03,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-07-04,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-07-05,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-07-06,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-07-07,,0,0.0,0.0,0.0,0.0,0.9902304995331986,-0.11799281686577034,0,1,base
2020-07-08,ETHUSDT,1,-0.011002162407991612,0.5466768625057395,0.0005466768625057395,-0.011548839270497352,0.9787944866533455,-0.12817897605921158,0,1,base
2020-07-09,,0,0.0,0.5466768625057395,0.0005466768625057395,-0.0005466768625057395,0.9782594023543438,-0.12865558044124614,0,1,base
2020-07-10,,0,0.0,0.0,0.0,0.0,0.9782594023543438,-0.12865558044124614,0,1,base
2020-07-11,,0,0.0,0.0,0.0,0.0,0.9782594023543438,-0.12865558044124614,0,1,base
2020-07-12,ETHUSDT,1,-0.0074200413314901145,0.5475719862834325,0.0005475719862834325,-0.007967613317773547,0.9704650097119082,-0.13559811584289005,0,1,base
2020-07-13,ETHUSDT,1,0.002356616173723964,0.05286373031965297,5.286373031965297e-05,0.002303752443404311,0.9727007208492705,-0.1336067478901798,0,1,base
2020-07-14,ETHUSDT,1,-0.004505612221495467,0.008452436528562202,8.452436528562202e-06,-0.004514064658024029,0.9683098869024502,-0.1375177030494793,0,1,base
2020-07-15,ETHUSDT,1,-0.013096273757204265,0.028036934450576312,2.8036934450576312e-05,-0.013124310691654841,0.9556014871009413,-0.14883718868071005,0,1,base
2020-07-16,ETHUSDT,1,-0.0028059461714524236,0.10818517132615713,0.00010818517132615713,-0.0029141313427785806,0.9528167388561746,-0.1513175889069832,0,1,base
2020-07-17,ETHUSDT,1,0.010861378881264441,0.11416695558333867,0.00011416695558333867,0.010747211925681103,0.9630568622749982,-0.14219661917736848,0,1,base
2020-07-18,ETHUSDT,1,0.012191304508133745,0.007161663111374561,7.1616631113745615e-06,0.01218414284502237,0.9747908846528359,-0.13174502025248225,0,1,base
2020-07-19,ETHUSDT,1,-0.010655638523300492,0.013317217901810618,1.3317217901810619e-05,-0.010668955741202302,0.9643908838475473,-0.1410083942034871,0,1,base
2020-07-20,ETHUSDT,1,0.03288191659222264,0.011824448424493372,1.1824448424493373e-05,0.03287009214379815,0.9960905010622552,-0.11277326097020657,0,1,base
2020-07-21,ETHUSDT,1,0.05243216885728975,0.10060254645081368,0.00010060254645081369,0.052331566310838934,1.0482174771701915,-0.06634329604391942,0,1,base
2020-07-22,ETHUSDT,1,0.031149561705937634,0.0012070123365941487,1.2070123365941488e-06,0.03114835469360104,1.0808677269451203,-0.037261425867036846,0,1,base
2020-07-23,ETHUSDT,1,0.009760181229007901,0.01275714220843549,1.2757142208435491e-05,0.009747424086799466,1.0914034030613893,-0.027877204700242353,0,1,base
2020-07-24,ETHUSDT,1,0.06334112891442623,0.020716943239866947,2.0716943239866946e-05,0.06332041197118636,1.1605115161699913,0.0,0,1,base
2020-07-25,ETHUSDT,1,0.012536510100770918,0.010492933660642634,1.0492933660642633e-05,0.012526017167110276,1.1750481033441658,0.0,0,1,base
2020-07-26,ETHUSDT,1,0.023157031127051832,0.007800998525526515,7.800998525526515e-06,0.023149230128526307,1.2022495623005682,0.0,0,1,base
2020-07-27,ETHUSDT,1,-0.0104066124456788,0.009641750047185704,9.641750047185705e-06,-0.010416254195725986,1.1897266252529453,-0.010416254195726005,0,1,base
2020-07-28,ETHUSDT,1,0.0018915288447746827,0.011838612159274953,1.1838612159274952e-05,0.0018796902326154077,1.1919629427699159,-0.008556143294382701,0,1,base
2020-07-29,ETHUSDT,1,0.03462038769787492,0.003556450646569176,3.556450646569176e-06,0.03461683124722835,1.2332249228127319,0.0,0,1,base
2020-07-30,ETHUSDT,1,0.021562521515028868,0.010908112411045057,1.0908112411045056e-05,0.021551613402617822,1.2598029095876653,0.0,0,1,base
2020-07-31,ETHUSDT,1,0.07340592753180075,0.004976930693601944,4.976930693601944e-06,0.07340095060110716,1.3522736407214404,0.0,0,1,base
