ts,selected,gross_exposure,raw_strategy_ret,cost,strategy_ret,btc_ret,equity,abs_strategy_ret
2020-06-10,LINKUSDT,0.0,-0.1053702656868287,0.0,-0.1053702656868287,0.011519141093873309,0.9195477350456163,0.1053702656868287
2020-07-07,LINKUSDT,0.0,0.1351837618781441,0.0,0.1351837618781441,-0.009290254917489027,1.109758754558865,0.1351837618781441
2020-07-31,ETHUSDT,0.0,0.1174313516010741,0.0,0.1174313516010741,0.021248494316466804,1.6560416584957274,0.1174313516010741
2020-09-02,ETHUSDT,0.0,-0.1321956769055745,0.0,-0.1321956769055745,-0.044743444246210906,1.4591303523560055,0.1321956769055745
2021-05-11,BTCUSDT,0.0,-0.1242050029274738,0.0015,-0.1257050029274738,0.01529808403089139,3.166100462876297,0.1257050029274738
2021-08-31,ETHUSDT,0.0,0.1159512422722501,0.0,0.1159512422722501,0.0025111258540604364,3.5265238844368256,0.1159512422722501
2021-09-06,ETHUSDT,0.0,-0.1253447489921741,0.0,-0.1253447489921741,0.017524626677651423,3.1650543108299294,0.1253447489921741
2023-12-07,ADAUSDT,0.0,0.1973655323819978,0.003,0.1943655323819978,-0.011186469570312108,4.433920726208568,0.1943655323819978
2024-12-02,TRXUSDT,0.0,0.9610859728506786,0.0,0.9610859728506786,-0.01383503122595442,11.609734285044306,0.9610859728506786
2025-01-14,XRPUSDT,0.0,0.178307651932666,0.0,0.178307651932666,0.021417849900725594,13.148320136440814,0.178307651932666
2025-08-21,ETHUSDT,0.0,0.143604004449388,0.0,0.143604004449388,-0.01550031311465605,18.324503030272954,0.143604004449388
2025-09-17,AVAXUSDT,0.0,0.1059082338152104,0.0,0.1059082338152104,-0.0029229646363835293,21.053787398103104,0.1059082338152104
