variant,market_threshold,conf_min,yz_cap,score,aggr_total_return_pct,aggr_cagr_pct,aggr_max_drawdown_pct,aggr_sharpe,aggr_sortino,aggr_trade_count,aggr_cash_days_pct,bal_total_return_pct,bal_cagr_pct,bal_max_drawdown_pct,bal_sharpe,bal_sortino,bal_trade_count,bal_cash_days_pct
m0_c35_yz0p70,0.0,35.0,0.7,11.481,8743.92,76.8,-36.64,1.32,1.605,198,69.45,5330.98,66.17,-39.53,1.244,1.681,408,69.45
m10_c35_yz0p70,10.0,35.0,0.7,9.505,6227.5,69.43,-36.64,1.255,1.413,170,74.6,4323.2,61.89,-39.25,1.202,1.507,341,74.6
m5_c35_yz0p70,5.0,35.0,0.7,9.075,7094.07,72.22,-36.64,1.278,1.502,189,72.34,4543.24,62.89,-40.94,1.209,1.587,379,72.34
m0_c35_yz0p90,0.0,35.0,0.9,6.774,8634.06,76.52,-44.12,1.198,1.433,226,63.26,5971.95,68.55,-46.44,1.184,1.587,468,63.26
m0_c30_yz0p70,0.0,30.0,0.7,4.382,8074.91,75.04,-41.87,1.296,1.562,180,68.86,4541.35,62.89,-49.09,1.199,1.585,396,68.86
m10_c35_yz0p90,10.0,35.0,0.9,4.022,5493.86,66.8,-44.2,1.12,1.237,206,69.55,4039.76,60.53,-45.23,1.11,1.382,407,69.55
m0_c30_yz0p90,0.0,30.0,0.9,3.435,8046.99,74.96,-48.57,1.182,1.395,203,62.98,5843.02,68.09,-51.51,1.178,1.571,449,62.98
m10_c30_yz0p70,10.0,30.0,0.7,3.191,5953.68,68.48,-42.32,1.239,1.383,156,74.11,3877.22,59.72,-48.23,1.169,1.436,332,74.11
m5_c30_yz0p70,5.0,30.0,0.7,2.442,6560.63,70.54,-42.09,1.253,1.462,173,71.78,3913.6,59.9,-49.86,1.166,1.499,368,71.78
m10_c30_yz0p90,10.0,30.0,0.9,1.251,5338.88,66.2,-46.84,1.113,1.21,186,69.38,4156.27,61.1,-50.07,1.116,1.381,389,69.38
m10_c35_yz0p80,10.0,35.0,0.8,-0.814,2594.69,52.01,-51.13,0.999,1.079,206,71.36,2237.49,49.28,-45.33,1.006,1.244,388,71.36
m5_c35_yz0p90,5.0,35.0,0.9,-1.584,5351.43,66.25,-49.78,1.105,1.28,221,66.42,3839.93,59.53,-53.83,1.089,1.418,441,66.42
m10_c30_yz0p80,10.0,30.0,0.8,-3.8,2850.58,53.77,-53.55,1.019,1.103,188,71.16,2157.97,48.63,-50.16,0.995,1.208,375,71.16
m5_c30_yz0p90,5.0,30.0,0.9,-4.196,4993.24,64.82,-54.56,1.089,1.245,200,66.18,3800.46,59.32,-57.84,1.086,1.407,423,66.18
m0_c35_yz0p80,0.0,35.0,0.8,-4.779,3204.07,56.0,-57.32,1.032,1.206,229,65.62,2558.77,51.75,-53.98,1.025,1.361,452,65.62
m5_c35_yz0p80,5.0,35.0,0.8,-6.625,2471.55,51.11,-56.12,0.98,1.106,219,68.62,2065.42,47.84,-53.91,0.978,1.261,421,68.62
m0_c30_yz0p80,0.0,30.0,0.8,-7.851,3395.35,57.12,-61.33,1.043,1.222,208,65.31,2353.63,50.21,-58.33,1.003,1.309,438,65.31
m5_c30_yz0p80,5.0,30.0,0.8,-9.399,2624.83,52.22,-60.3,0.992,1.123,200,68.34,1921.23,46.55,-57.91,0.959,1.216,408,68.34
