start_ts,end_ts,selected_mode,bars,days,avg_overlay_multiplier,sum_aggressive_ret,sum_balanced_ret,sum_ret_gap,compound_aggressive_ret,compound_balanced_ret,compound_gap_approx,turnover_sum,cost_sum
2024-12-03 00:00:00,2024-12-03 16:00:00,TRXUSDT,5,1,0.5,0.7446836564933732,0.3723418282466866,0.3723418282466866,0.928793947485536,0.41644668387721273,0.5123472636083233,0.0,0.0
2025-09-22 16:00:00,2025-09-23 08:00:00,BNBUSDT,5,2,0.5,0.1489955512055402,0.0744977756027701,0.0744977756027701,0.15631039509906297,0.0763078344501289,0.08000256064893407,2.0,0.003
2021-08-31 12:00:00,2021-09-01 16:00:00,ETHUSDT,8,2,0.5,0.1237148291932476,0.0618574145966238,0.0618574145966238,0.12997876945518083,0.0634035632223211,0.06657520623285973,0.0,0.0
2025-08-22 08:00:00,2025-08-22 12:00:00,ETHUSDT,2,1,0.5,0.1268881956735525,0.06344409783677625,0.06344409783677625,0.13064268603084273,0.06438272042609894,0.06625996560474379,0.0,0.0
2025-01-14 04:00:00,2025-01-14 20:00:00,XRPUSDT,5,1,0.5,0.1208364782191094,0.0604182391095547,0.0604182391095547,0.1254869226488593,0.06157328227330239,0.06391364037555691,0.0,0.0
2023-12-27 00:00:00,2023-12-27 20:00:00,BNBUSDT,6,1,0.5,0.1164808755353666,0.0582404377676833,0.0582404377676833,0.12080232394034884,0.05931357442466245,0.06148874951568639,2.0,0.003
2024-12-20 08:00:00,2024-12-20 12:00:00,ETHUSDT,2,1,0.5,0.11802261181679699,0.059011305908398495,0.059011305908398495,0.12072242121266785,0.05968625825736629,0.061036162955301565,0.0,0.0
2021-04-18 08:00:00,2021-04-19 00:00:00,ETHUSDT,5,2,0.5,0.1028383117091541,0.05141915585457705,0.05141915585457705,0.10663842911514854,0.052361691925375986,0.05427673718977255,2.0,0.003
2021-11-06 08:00:00,2021-11-07 04:00:00,BNBUSDT,6,2,0.5,0.0938877040174384,0.0469438520087192,0.0469438520087192,0.09753270409008064,0.04784617312876849,0.04968653096131215,0.0,0.0
2024-12-11 04:00:00,2024-12-11 20:00:00,ETHUSDT,5,1,0.5,0.07520026191213651,0.037600130956068255,0.037600130956068255,0.07732068839012429,0.038126902297690446,0.03919378609243385,0.0,0.0
2020-08-04 16:00:00,2020-08-05 04:00:00,BNBUSDT,4,2,0.5,0.0701004052711651,0.03505020263558255,0.03505020263558255,0.0718423837676081,0.03548355588575447,0.03635882788185363,0.0,0.0
2021-11-19 00:00:00,2021-11-19 16:00:00,ETHUSDT,5,1,0.5,0.0660205056082879,0.03301025280414395,0.03301025280414395,0.06766167727068795,0.033418305572499474,0.034243371698188474,2.0,0.003
