ts,market_score,n_selected,selected,raw_strategy_ret,turnover,cost,strategy_ret,equity
2018-05-04,15.764928830347563,0,,0.0,0.0,0.0,0.0,1.0
2018-05-05,19.60755111810539,0,,0.0,0.0,0.0,0.0,1.0
2018-05-06,14.996869339598925,0,,0.0,0.0,0.0,0.0,1.0
2018-05-07,7.762620658741388,0,,0.0,0.0,0.0,0.0,1.0
2018-05-08,2.2785570900340044,0,,0.0,0.0,0.0,0.0,1.0
2018-05-09,0.9773495421441103,0,,0.0,0.0,0.0,0.0,1.0
2018-05-10,-9.380750322860717,0,,0.0,0.0,0.0,0.0,1.0
2018-05-11,-20.155462640002327,0,,0.0,0.0,0.0,0.0,1.0
2018-05-12,-20.024007540324337,0,,0.0,0.0,0.0,0.0,1.0
2018-05-13,-15.098308385704714,0,,0.0,0.0,0.0,0.0,1.0
2018-05-14,-15.427197538902794,0,,0.0,0.0,0.0,0.0,1.0
2018-05-15,-19.102621927199365,0,,0.0,0.0,0.0,0.0,1.0
2018-05-16,-20.825649464769747,0,,0.0,0.0,0.0,0.0,1.0
2018-05-17,-26.817127919844054,0,,0.0,0.0,0.0,0.0,1.0
2018-05-18,-23.668400905311103,0,,0.0,0.0,0.0,0.0,1.0
2018-05-19,-24.0056329282364,0,,0.0,0.0,0.0,0.0,1.0
2018-05-20,-19.936371030233886,0,,0.0,0.0,0.0,0.0,1.0
2018-05-21,-23.95917654799851,0,,0.0,0.0,0.0,0.0,1.0
2018-05-22,-30.985268616555825,0,,0.0,0.0,0.0,0.0,1.0
2018-05-23,-32.44491525480868,0,,0.0,0.0,0.0,0.0,1.0
2018-05-24,-29.938051778551323,0,,0.0,0.0,0.0,0.0,1.0
2018-05-25,-31.224204791454554,0,,0.0,0.0,0.0,0.0,1.0
2018-05-26,-32.82505891981829,0,,0.0,0.0,0.0,0.0,1.0
2018-05-27,-33.65199805007004,0,,0.0,0.0,0.0,0.0,1.0
2018-05-28,-37.5648655625413,0,,0.0,0.0,0.0,0.0,1.0
2018-05-29,-31.57030581660759,0,,0.0,0.0,0.0,0.0,1.0
2018-05-30,-33.124040478940614,0,,0.0,0.0,0.0,0.0,1.0
2018-05-31,-32.01249127031038,0,,0.0,0.0,0.0,0.0,1.0
2018-06-01,-31.011968893573012,0,,0.0,0.0,0.0,0.0,1.0
2018-06-02,-27.18165997634459,0,,0.0,0.0,0.0,0.0,1.0
2018-06-03,-23.619389620282433,0,,0.0,0.0,0.0,0.0,1.0
2018-06-04,-26.04683766187491,0,,0.0,0.0,0.0,0.0,1.0
2018-06-05,-22.508956138421425,0,,0.0,0.0,0.0,0.0,1.0
2018-06-06,-22.74190536246806,0,,0.0,0.0,0.0,0.0,1.0
2018-06-07,-20.34486403587534,0,,0.0,0.0,0.0,0.0,1.0
2018-06-08,-20.161843665607083,0,,0.0,0.0,0.0,0.0,1.0
2018-06-09,-19.5896310464594,0,,0.0,0.0,0.0,0.0,1.0
2018-06-10,-27.296533921700693,0,,0.0,0.0,0.0,0.0,1.0
2018-06-11,-25.04146560731866,0,,0.0,0.0,0.0,0.0,1.0
2018-06-12,-31.662662764848545,0,,0.0,0.0,0.0,0.0,1.0
2018-06-13,-31.542633178094057,0,,0.0,0.0,0.0,0.0,1.0
2018-06-14,-28.218449722790105,0,,0.0,0.0,0.0,0.0,1.0
2018-06-15,-34.123550261754,0,,0.0,0.0,0.0,0.0,1.0
2018-06-16,-33.89996066028649,0,,0.0,0.0,0.0,0.0,1.0
2018-06-17,-36.0898837014193,0,,0.0,0.0,0.0,0.0,1.0
2018-06-18,-33.12000098539057,0,,0.0,0.0,0.0,0.0,1.0
2018-06-19,-31.773587789205813,0,,0.0,0.0,0.0,0.0,1.0
2018-06-20,-31.924552551196783,0,,0.0,0.0,0.0,0.0,1.0
2018-06-21,-33.119775038461725,0,,0.0,0.0,0.0,0.0,1.0
2018-06-22,-40.30286230736963,0,,0.0,0.0,0.0,0.0,1.0
2018-06-23,-39.629857461711936,0,,0.0,0.0,0.0,0.0,1.0
2018-06-24,-39.456984150030195,0,,0.0,0.0,0.0,0.0,1.0
2018-06-25,-39.06385316564055,0,,0.0,0.0,0.0,0.0,1.0
2018-06-26,-41.283706429767136,0,,0.0,0.0,0.0,0.0,1.0
2018-06-27,-40.81354015463929,0,,0.0,0.0,0.0,0.0,1.0
2018-06-28,-43.38809547603203,0,,0.0,0.0,0.0,0.0,1.0
2018-06-29,-42.29149543180097,0,,0.0,0.0,0.0,0.0,1.0
2018-06-30,-40.50540457429416,0,,0.0,0.0,0.0,0.0,1.0
2018-07-01,-40.73112396711975,0,,0.0,0.0,0.0,0.0,1.0
2018-07-02,-38.24143030750933,0,,0.0,0.0,0.0,0.0,1.0
2018-07-03,-40.943697912529736,0,,0.0,0.0,0.0,0.0,1.0
2018-07-04,-39.882469809507114,0,,0.0,0.0,0.0,0.0,1.0
2018-07-05,-41.79403344458463,0,,0.0,0.0,0.0,0.0,1.0
2018-07-06,-41.26484660672375,0,,0.0,0.0,0.0,0.0,1.0
2018-07-07,-37.98311127441258,0,,0.0,0.0,0.0,0.0,1.0
2018-07-08,-38.895737513625946,0,,0.0,0.0,0.0,0.0,1.0
2018-07-09,-39.68057572356447,0,,0.0,0.0,0.0,0.0,1.0
2018-07-10,-45.15256954916882,0,,0.0,0.0,0.0,0.0,1.0
2018-07-11,-42.702547971909425,0,,0.0,0.0,0.0,0.0,1.0
2018-07-12,-46.02331255867158,0,,0.0,0.0,0.0,0.0,1.0
2018-07-13,-47.26609118169923,0,,0.0,0.0,0.0,0.0,1.0
2018-07-14,-47.087530346480264,0,,0.0,0.0,0.0,0.0,1.0
2018-07-15,-45.265256963630435,0,,0.0,0.0,0.0,0.0,1.0
2018-07-16,-33.49308958711159,0,,0.0,0.0,0.0,0.0,1.0
2018-07-17,-27.4313056316387,0,,0.0,0.0,0.0,0.0,1.0
2018-07-18,-27.385545331052988,0,,0.0,0.0,0.0,0.0,1.0
2018-07-19,-30.043149631308324,0,,0.0,0.0,0.0,0.0,1.0
2018-07-20,-35.91782331799579,0,,0.0,0.0,0.0,0.0,1.0
2018-07-21,-32.900056474421376,0,,0.0,0.0,0.0,0.0,1.0
2018-07-22,-33.57349305920883,0,,0.0,0.0,0.0,0.0,1.0
2018-07-23,-30.967156140528658,0,,0.0,0.0,0.0,0.0,1.0
2018-07-24,-18.913350046352466,0,,0.0,0.0,0.0,0.0,1.0
2018-07-25,-18.369389701841342,0,,0.0,0.0,0.0,0.0,1.0
2018-07-26,-19.392042895774985,0,,0.0,0.0,0.0,0.0,1.0
2018-07-27,-13.569128535045024,0,,0.0,0.0,0.0,0.0,1.0
2018-07-28,-10.147526745146001,0,,0.0,0.0,0.0,0.0,1.0
2018-07-29,-12.317600305438633,0,,0.0,0.0,0.0,0.0,1.0
2018-07-30,-13.918310973513442,0,,0.0,0.0,0.0,0.0,1.0
2018-07-31,-16.65960392620357,0,,0.0,0.0,0.0,0.0,1.0
2018-08-01,-18.829844746715693,0,,0.0,0.0,0.0,0.0,1.0
2018-08-02,-16.643316896229017,0,,0.0,0.0,0.0,0.0,1.0
2018-08-03,-17.525200815953564,0,,0.0,0.0,0.0,0.0,1.0
2018-08-04,-23.527296562744684,0,,0.0,0.0,0.0,0.0,1.0
2018-08-05,-25.830361988006956,0,,0.0,0.0,0.0,0.0,1.0
2018-08-06,-27.172488539798184,0,,0.0,0.0,0.0,0.0,1.0
2018-08-07,-30.811900892918217,0,,0.0,0.0,0.0,0.0,1.0
2018-08-08,-35.09327213405092,0,,0.0,0.0,0.0,0.0,1.0
2018-08-09,-33.092892358511904,0,,0.0,0.0,0.0,0.0,1.0
2018-08-10,-38.528887572294536,0,,0.0,0.0,0.0,0.0,1.0
2018-08-11,-40.86423332664902,0,,0.0,0.0,0.0,0.0,1.0
2018-08-12,-40.51777687359132,0,,0.0,0.0,0.0,0.0,1.0
2018-08-13,-42.91865462902348,0,,0.0,0.0,0.0,0.0,1.0
2018-08-14,-43.85475027633637,0,,0.0,0.0,0.0,0.0,1.0
2018-08-15,-44.09995390395098,0,,0.0,0.0,0.0,0.0,1.0
2018-08-16,-43.327884884326615,0,,0.0,0.0,0.0,0.0,1.0
2018-08-17,-39.17831565144166,0,,0.0,0.0,0.0,0.0,1.0
2018-08-18,-43.326706760447905,0,,0.0,0.0,0.0,0.0,1.0
2018-08-19,-42.61915613089252,0,,0.0,0.0,0.0,0.0,1.0
2018-08-20,-45.17409617295931,0,,0.0,0.0,0.0,0.0,1.0
2018-08-21,-43.52081394025097,0,,0.0,0.0,0.0,0.0,1.0
2018-08-22,-44.68775455518071,0,,0.0,0.0,0.0,0.0,1.0
2018-08-23,-42.789670431128904,0,,0.0,0.0,0.0,0.0,1.0
2018-08-24,-40.10157819139261,0,,0.0,0.0,0.0,0.0,1.0
2018-08-25,-39.38237544199475,0,,0.0,0.0,0.0,0.0,1.0
2018-08-26,-38.357759925226325,0,,0.0,0.0,0.0,0.0,1.0
2018-08-27,-31.5796861987666,0,,0.0,0.0,0.0,0.0,1.0
2018-08-28,-28.383313011546267,0,,0.0,0.0,0.0,0.0,1.0
2018-08-29,-27.600264662650186,0,,0.0,0.0,0.0,0.0,1.0
2018-08-30,-27.440864022200333,0,,0.0,0.0,0.0,0.0,1.0
2018-08-31,-25.746430198792364,0,,0.0,0.0,0.0,0.0,1.0
2018-09-01,-21.161949577410375,0,,0.0,0.0,0.0,0.0,1.0
2018-09-02,-18.61162183359198,0,,0.0,0.0,0.0,0.0,1.0
2018-09-03,-18.65494371928844,0,,0.0,0.0,0.0,0.0,1.0
2018-09-04,-18.139895667151894,0,,0.0,0.0,0.0,0.0,1.0
2018-09-05,-36.4231969770024,0,,0.0,0.0,0.0,0.0,1.0
2018-09-06,-36.477241124968884,0,,0.0,0.0,0.0,0.0,1.0
2018-09-07,-40.766064380590436,0,,0.0,0.0,0.0,0.0,1.0
2018-09-08,-43.58727862558919,0,,0.0,0.0,0.0,0.0,1.0
2018-09-09,-44.38963252580779,0,,0.0,0.0,0.0,0.0,1.0
2018-09-10,-43.90013311483381,0,,0.0,0.0,0.0,0.0,1.0
2018-09-11,-45.80217760464791,0,,0.0,0.0,0.0,0.0,1.0
2018-09-12,-46.407662405046814,0,,0.0,0.0,0.0,0.0,1.0
2018-09-13,-43.55564448022931,0,,0.0,0.0,0.0,0.0,1.0
2018-09-14,-42.7063963138635,0,,0.0,0.0,0.0,0.0,1.0
2018-09-15,-42.098844270061754,0,,0.0,0.0,0.0,0.0,1.0
2018-09-16,-41.17384785801937,0,,0.0,0.0,0.0,0.0,1.0
2018-09-17,-44.64080570639083,0,,0.0,0.0,0.0,0.0,1.0
2018-09-18,-43.23598177884998,0,,0.0,0.0,0.0,0.0,1.0
2018-09-19,-42.631708217573966,0,,0.0,0.0,0.0,0.0,1.0
2018-09-20,-39.616388330814736,0,,0.0,0.0,0.0,0.0,1.0
2018-09-21,-34.77113266135073,0,,0.0,0.0,0.0,0.0,1.0
2018-09-22,-34.70059081048634,0,,0.0,0.0,0.0,0.0,1.0
