cost_bps,window,train_start,train_end,test_start,test_end,chosen_model,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count
15.0,1,2018-05-04,2020-04-22,2020-04-23,2020-10-19,base,48.35,73.7,-20.91,1.397,1.602,19
15.0,2,2018-10-31,2020-10-19,2020-10-20,2021-04-17,rs,169.32,300.29,-16.5,3.454,4.399,19
15.0,3,2019-04-29,2021-04-17,2021-04-18,2021-10-14,rs,-11.36,-15.53,-28.79,-0.362,-0.195,9
15.0,4,2019-10-26,2021-10-14,2021-10-15,2022-04-12,rs,18.97,27.53,-18.62,0.92,0.858,8
15.0,5,2020-04-23,2022-04-12,2022-04-13,2022-10-09,rs,0.0,0.0,0.0,0.0,0.0,0
15.0,6,2020-10-20,2022-10-09,2022-10-10,2023-04-07,rs,-14.65,-19.9,-22.15,-0.827,-0.759,9
15.0,7,2021-04-18,2023-04-07,2023-04-08,2023-10-04,rs,-1.89,-2.64,-10.75,-0.152,-0.044,7
15.0,8,2021-10-15,2023-10-04,2023-10-05,2024-04-01,rs,44.5,67.42,-16.18,1.396,2.623,38
15.0,9,2022-04-13,2024-04-01,2024-04-02,2024-09-28,rs,-6.18,-8.55,-6.18,-2.72,-0.868,7
15.0,10,2022-10-10,2024-09-28,2024-09-29,2025-03-27,rs,151.92,264.56,-18.3,1.476,6.429,24
15.0,11,2023-04-08,2025-03-27,2025-03-28,2025-09-23,rs,71.98,113.63,-15.31,2.221,2.644,12
