ts,daily_selected,selected,gross_exposure,raw_strategy_ret,turnover,cost,strategy_ret,selected_ret_next,best_available_next,kill_day,equity
2017-08-17 04:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0177724546493212,0,1.0
2017-08-17 08:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,-0.006117494740249141,0,1.0
2017-08-17 12:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,-0.00622883322534562,0,1.0
2017-08-17 16:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0013262599469494596,0,1.0
2017-08-17 20:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0017059191426997966,0,1.0
2017-08-18 00:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.016058394160584077,0,1.0
2017-08-18 04:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.009315737457124662,0,1.0
2017-08-18 08:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,-0.0238277911024789,0,1.0
2017-08-18 12:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,-0.016633199464524906,0,1.0
2017-08-18 16:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.00044243269917987327,0,1.0
2017-08-18 20:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.00734597906225587,0,1.0
2017-08-19 00:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,-0.010435850214855713,0,1.0
2017-08-19 04:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,-0.018810106434410057,0,1.0
2017-08-19 08:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.02144525444122025,0,1.0
2017-08-19 12:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.026200576528492725,0,1.0
2017-08-19 16:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.015666859660657506,0,1.0
2017-08-19 20:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.005156233886769002,0,1.0
2017-08-20 00:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.014958653061822647,0,1.0
2017-08-20 04:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.009997261024377035,0,1.0
2017-08-20 08:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.004497714615502746,0,1.0
2017-08-20 12:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.009600000000000053,0,1.0
2017-08-20 16:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.004095608970055231,0,1.0
2017-08-20 20:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0025075225677031465,0,1.0
2017-08-21 00:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.06219776554944123,1,1.0
2017-08-21 04:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.04091051805337509,1,1.0
2017-08-21 08:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.010285645341296501,1,1.0
2017-08-21 12:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0012555942317256097,1,1.0
2017-08-21 16:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027439440781713564,1,1.0
2017-08-21 20:00:00,CASH,CASH,0.0,0.0,0.0,0.0,0.0,0.0,-0.03824950199203192,1,1.0
