variant,enter_short,enter_long,exit_long,alt_open_th,alt_close_th,reserve_mode,score,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,reserve_days_pct,alt_gate_days_pct,missed_leader_pct_of_in_market,pain_bar_pct_of_in_market,sum_leader_gap_ret
es7_el28_xl21_ao65_ac35_btc_eth,7,28,21,0.65,0.35,btc_eth,-44.971,5801.77,67.94,-48.81,1.186,1.647,278,56.23,32.46,11.31,89.59,68.76,72.3428
es7_el28_xl21_ao65_ac45_btc_eth,7,28,21,0.65,0.45,btc_eth,-45.137,5685.85,67.51,-48.81,1.181,1.641,277,56.23,33.61,10.16,89.75,68.84,72.3659
es14_el28_xl35_ao55_ac45_btc,14,28,35,0.55,0.45,btc,-45.681,9521.73,78.7,-47.07,1.285,1.798,271,52.78,32.85,14.37,90.49,68.53,82.68
es7_el28_xl35_ao65_ac45_btc,7,28,35,0.65,0.45,btc,-45.767,9229.94,78.01,-46.55,1.286,1.809,254,52.4,36.29,11.31,90.35,68.86,83.238
es7_el28_xl21_ao65_ac35_btc,7,28,21,0.65,0.35,btc,-45.802,5346.86,66.23,-49.22,1.172,1.627,257,56.23,32.46,11.31,89.51,68.68,72.5046
es7_el28_xl35_ao65_ac35_btc,7,28,35,0.65,0.35,btc,-45.845,9166.94,77.85,-46.55,1.283,1.803,250,52.4,34.93,12.67,90.35,69.01,83.2503
es14_el21_xl35_ao65_ac45_btc,14,21,35,0.65,0.45,btc,-46.123,7549.58,73.57,-43.97,1.242,1.784,355,51.18,37.3,11.52,90.02,68.42,84.3408
es14_el21_xl35_ao65_ac35_btc,14,21,35,0.65,0.35,btc,-46.2,7497.93,73.42,-43.97,1.239,1.777,351,51.18,35.94,12.87,90.02,68.57,84.3532
es14_el28_xl21_ao55_ac35_btc_eth,14,28,21,0.55,0.35,btc_eth,-46.338,5415.13,66.5,-50.22,1.16,1.608,291,55.78,29.19,15.03,89.38,68.21,72.2619
es7_el28_xl21_ao65_ac45_btc,7,28,21,0.65,0.45,btc,-46.359,4947.96,64.63,-49.22,1.156,1.603,258,56.23,33.61,10.16,89.59,68.76,72.5827
es7_el21_xl35_ao55_ac35_btc_eth,7,21,35,0.55,0.35,btc_eth,-46.703,14071.63,87.72,-52.74,1.354,1.983,379,50.94,32.64,16.42,89.65,68.37,83.3724
es14_el28_xl35_ao65_ac45_btc,14,28,35,0.65,0.45,btc,-46.727,8558.56,76.32,-47.58,1.27,1.771,256,52.78,35.87,11.34,90.27,68.68,82.8571
es14_el28_xl35_ao65_ac35_btc,14,28,35,0.65,0.35,btc,-46.816,8500.09,76.17,-47.58,1.266,1.764,252,52.78,34.52,12.7,90.27,68.83,82.8695
es14_el28_xl21_ao55_ac35_btc,14,28,21,0.55,0.35,btc,-47.191,4820.28,64.1,-50.22,1.137,1.566,275,55.78,29.19,15.03,89.54,68.29,72.4379
es7_el21_xl35_ao55_ac45_btc_eth,7,21,35,0.55,0.45,btc_eth,-47.332,12489.08,84.92,-52.27,1.33,1.944,385,50.94,34.41,14.65,89.86,68.37,83.48
es14_el28_xl21_ao55_ac45_btc_eth,14,28,21,0.55,0.45,btc_eth,-47.375,4694.2,63.56,-50.22,1.13,1.561,291,55.78,30.79,13.43,89.69,68.29,72.4103
es14_el28_xl21_ao55_ac45_btc,14,28,21,0.55,0.45,btc,-48.065,4261.9,61.61,-50.22,1.112,1.526,275,55.78,30.79,13.43,89.77,68.37,72.5679
es7_el21_xl35_ao65_ac45_btc_eth,7,21,35,0.65,0.45,btc_eth,-48.416,10785.37,81.53,-52.27,1.305,1.894,377,50.94,37.65,11.41,89.93,68.65,83.6709
es14_el28_xl21_ao65_ac35_btc_eth,14,28,21,0.65,0.35,btc_eth,-48.808,4084.07,60.75,-50.99,1.104,1.513,281,55.78,32.99,11.24,89.61,68.53,72.5963
es14_el28_xl21_ao65_ac45_btc_eth,14,28,21,0.65,0.45,btc_eth,-48.821,4081.47,60.74,-50.99,1.104,1.513,280,55.78,34.1,10.13,89.77,68.61,72.6004
es7_el21_xl35_ao65_ac35_btc_eth,7,21,35,0.65,0.35,btc_eth,-48.986,10409.85,80.72,-52.74,1.296,1.88,376,50.94,36.29,12.77,89.86,68.72,83.7079
es7_el21_xl35_ao55_ac35_btc,7,21,35,0.55,0.35,btc,-49.164,10209.52,80.28,-52.74,1.291,1.887,357,50.94,32.64,16.42,89.86,68.44,83.7845
es7_el21_xl21_ao55_ac35_btc_eth,7,21,21,0.55,0.35,btc_eth,-49.172,7872.36,74.48,-57.19,1.236,1.792,282,52.61,31.25,16.14,88.69,67.47,74.8728
es7_el21_xl35_ao55_ac45_btc,7,21,35,0.55,0.45,btc,-49.267,9248.43,78.05,-51.72,1.273,1.862,360,50.94,34.41,14.65,90.0,68.3,83.8873
es14_el28_xl21_ao65_ac45_btc,14,28,21,0.65,0.45,btc,-49.64,3749.98,59.06,-51.39,1.09,1.489,259,55.78,34.1,10.13,89.61,68.53,72.7693
es14_el28_xl21_ao65_ac35_btc,14,28,21,0.65,0.35,btc,-49.778,3677.49,58.68,-51.39,1.085,1.482,260,55.78,32.99,11.24,89.54,68.45,72.7836
es7_el21_xl21_ao55_ac45_btc_eth,7,21,21,0.55,0.45,btc_eth,-50.237,6830.22,71.4,-57.19,1.206,1.744,282,52.61,33.05,14.34,88.99,67.55,75.0211
es7_el21_xl21_ao65_ac35_btc_eth,7,21,21,0.65,0.35,btc_eth,-50.36,6740.68,71.12,-57.27,1.207,1.733,268,52.61,35.66,11.73,88.91,67.55,75.0892
es7_el21_xl21_ao65_ac45_btc_eth,7,21,21,0.65,0.45,btc_eth,-50.513,6606.31,70.69,-57.27,1.203,1.728,267,52.61,36.74,10.65,89.06,67.62,75.1123
es7_el21_xl35_ao65_ac45_btc,7,21,35,0.65,0.45,btc,-50.923,7362.02,73.02,-51.72,1.232,1.792,343,50.94,37.65,11.41,89.93,68.51,84.1971
es7_el21_xl21_ao55_ac35_btc,7,21,21,0.55,0.35,btc,-50.979,6773.57,71.22,-58.33,1.206,1.739,268,52.61,31.25,16.14,88.84,67.55,75.0772
es7_el21_xl35_ao65_ac35_btc,7,21,35,0.65,0.35,btc,-51.624,7311.63,72.87,-52.74,1.228,1.785,339,50.94,36.29,12.77,89.93,68.65,84.2095
es7_el21_xl21_ao55_ac45_btc,7,21,21,0.55,0.45,btc,-51.875,5993.52,68.62,-58.33,1.181,1.698,268,52.61,33.05,14.34,89.06,67.62,75.2072
es14_el21_xl21_ao55_ac35_btc_eth,14,21,21,0.55,0.35,btc_eth,-52.516,7223.09,72.61,-61.18,1.217,1.767,281,52.37,31.56,16.08,88.97,67.35,75.5664
es7_el21_xl21_ao65_ac45_btc,7,21,21,0.65,0.45,btc,-53.163,5511.68,66.87,-59.52,1.169,1.673,248,52.61,36.74,10.65,88.99,67.62,75.3733
es7_el21_xl21_ao65_ac35_btc,7,21,21,0.65,0.35,btc,-53.168,5512.84,66.87,-59.52,1.168,1.671,249,52.61,35.66,11.73,88.91,67.55,75.3686
es14_el21_xl21_ao55_ac45_btc_eth,14,21,21,0.55,0.45,btc_eth,-53.573,6265.82,69.56,-61.18,1.187,1.719,281,52.37,33.37,14.27,89.26,67.42,75.7148
es14_el21_xl21_ao65_ac35_btc_eth,14,21,21,0.65,0.35,btc_eth,-53.811,6183.58,69.28,-61.45,1.188,1.708,267,52.37,35.91,11.73,89.19,67.42,75.7828
es14_el21_xl21_ao65_ac45_btc_eth,14,21,21,0.65,0.45,btc_eth,-53.974,6060.15,68.86,-61.45,1.183,1.703,266,52.37,36.99,10.65,89.34,67.49,75.8059
es14_el21_xl21_ao55_ac35_btc,14,21,21,0.55,0.35,btc,-54.13,6414.13,70.06,-62.4,1.194,1.724,266,52.37,31.56,16.08,89.12,67.42,75.7424
es14_el21_xl21_ao55_ac45_btc,14,21,21,0.55,0.45,btc,-55.024,5674.87,67.47,-62.4,1.169,1.683,266,52.37,33.37,14.27,89.34,67.49,75.8723
es14_el21_xl21_ao65_ac35_btc,14,21,21,0.65,0.35,btc,-56.218,5238.3,65.81,-63.48,1.157,1.657,247,52.37,35.91,11.73,89.19,67.42,76.0304
es14_el21_xl21_ao65_ac45_btc,14,21,21,0.65,0.45,btc,-56.228,5237.19,65.8,-63.48,1.157,1.658,246,52.37,36.99,10.65,89.26,67.49,76.035
