variant,kill_multiplier,restore_threshold,score,aggr_total_return_pct,aggr_cagr_pct,aggr_max_drawdown_pct,aggr_sharpe,bal_total_return_pct,bal_cagr_pct,bal_max_drawdown_pct,bal_sharpe,bal_sortino,bal_trade_count,bal_cash_days_pct,bal_kill_days_pct
k0p75_r0p02,0.75,0.02,9.493,9031.72,77.52,-36.64,1.328,7665.03,73.9,-35.98,1.313,1.702,396,69.38,47.25
k0p75_r0p03,0.75,0.03,8.971,9031.72,77.52,-36.64,1.328,7132.63,72.34,-35.98,1.298,1.685,410,69.38,47.25
k0p60_r0p02,0.6,0.02,8.593,9031.72,77.52,-36.64,1.328,6879.22,71.56,-36.35,1.298,1.73,396,69.38,47.25
k0p75_r0p04,0.75,0.04,8.421,9031.72,77.52,-36.64,1.328,6885.91,71.58,-36.48,1.291,1.672,414,69.38,47.25
k0p50_r0p02,0.5,0.02,7.937,9031.72,77.52,-36.64,1.328,6374.88,69.93,-36.62,1.286,1.734,396,69.38,47.25
k0p60_r0p03,0.6,0.03,6.701,9031.72,77.52,-36.64,1.328,6124.18,69.08,-38.07,1.272,1.7,410,69.38,47.25
k0p60_r0p04,0.6,0.04,5.825,9031.72,77.52,-36.64,1.328,5783.86,67.87,-38.87,1.261,1.679,414,69.38,47.25
k0p50_r0p03,0.5,0.03,5.099,9031.72,77.52,-36.64,1.328,5507.45,66.85,-39.53,1.252,1.694,410,69.38,47.25
k0p50_r0p04,0.5,0.04,4.021,9031.72,77.52,-36.64,1.328,5123.78,65.35,-40.5,1.238,1.667,414,69.38,47.25
