enter_conf,hold_conf,long_mr_floor,exit_long_bias,robust_score,median_fold_sharpe,median_fold_sortino,median_fold_cagr_pct,median_fold_return_pct,worst_fold_dd_pct,positive_fold_ratio,median_asset_sharpe,median_asset_return_pct
40.0,30.0,-90.0,0.0,4.247,0.47,0.36,10.63,39.0,-55.32,0.667,0.591,337.2
50.0,30.0,-90.0,0.0,3.147,0.422,0.317,7.67,32.01,-51.3,0.667,0.564,288.71
40.0,35.0,-90.0,0.0,1.973,0.336,0.225,5.69,21.06,-49.35,0.8,0.574,266.47
45.0,30.0,-90.0,0.0,1.787,0.438,0.327,7.58,30.03,-55.32,0.667,0.522,240.39
40.0,35.0,-90.0,-10.0,1.725,0.351,0.257,6.08,21.06,-49.35,0.733,0.544,266.47
40.0,25.0,-90.0,0.0,1.288,0.467,0.345,10.63,26.9,-57.73,0.667,0.603,336.27
50.0,35.0,-90.0,0.0,0.85,0.333,0.217,5.69,21.06,-47.7,0.667,0.541,200.85
45.0,35.0,-90.0,0.0,0.133,0.334,0.198,5.69,21.06,-49.35,0.667,0.462,150.45
40.0,30.0,-90.0,-10.0,0.116,0.467,0.345,10.63,27.39,-63.36,0.667,0.567,308.03
50.0,35.0,-90.0,-10.0,-0.194,0.333,0.142,5.69,21.06,-48.97,0.667,0.541,200.85
45.0,35.0,-90.0,-10.0,-0.689,0.334,0.198,5.62,21.06,-49.35,0.6,0.462,150.45
45.0,25.0,-90.0,0.0,-0.902,0.438,0.327,7.47,18.5,-57.47,0.667,0.545,272.58
50.0,30.0,-90.0,-10.0,-1.189,0.405,0.263,7.26,26.9,-60.06,0.667,0.54,262.78
45.0,30.0,-90.0,-10.0,-1.258,0.401,0.344,8.45,28.19,-63.36,0.667,0.498,217.67
40.0,30.0,-70.0,0.0,-2.176,0.332,0.212,5.29,21.64,-56.02,0.667,0.425,142.35
40.0,25.0,-90.0,-10.0,-2.233,0.467,0.345,10.63,26.9,-63.36,0.6,0.587,346.62
45.0,30.0,-70.0,0.0,-3.195,0.32,0.225,5.14,20.3,-56.02,0.6,0.357,94.55
40.0,35.0,-90.0,-20.0,-3.319,0.333,0.211,5.69,21.06,-57.19,0.6,0.484,210.94
50.0,30.0,-70.0,0.0,-3.405,0.324,0.227,5.3,16.21,-55.77,0.6,0.349,89.61
45.0,25.0,-90.0,-10.0,-3.687,0.401,0.344,8.45,26.9,-63.36,0.6,0.521,247.72
50.0,35.0,-90.0,-20.0,-4.689,0.333,0.144,5.47,13.38,-57.19,0.6,0.479,195.14
45.0,35.0,-90.0,-20.0,-4.711,0.333,0.137,5.69,21.06,-57.19,0.533,0.453,150.45
40.0,35.0,-70.0,-10.0,-4.955,0.248,0.217,3.09,12.27,-52.06,0.533,0.406,105.62
50.0,30.0,-90.0,-20.0,-5.438,0.316,0.344,5.13,20.95,-60.76,0.533,0.532,256.38
50.0,25.0,-90.0,-10.0,-5.802,0.358,0.239,6.07,14.9,-60.06,0.6,0.562,297.09
50.0,25.0,-90.0,0.0,-6.104,0.258,0.246,3.12,12.37,-56.69,0.667,0.586,325.48
40.0,30.0,-70.0,-10.0,-6.245,0.317,0.208,4.9,19.92,-63.93,0.6,0.401,126.18
40.0,35.0,-70.0,0.0,-7.12,0.14,0.098,0.91,2.16,-49.35,0.6,0.406,105.62
40.0,30.0,-90.0,-20.0,-7.197,0.3,0.337,4.62,18.75,-64.01,0.533,0.56,300.84
45.0,30.0,-90.0,-20.0,-7.197,0.3,0.337,4.62,18.75,-64.01,0.533,0.491,212.08
45.0,35.0,-70.0,0.0,-8.273,0.131,0.081,0.61,2.12,-51.68,0.6,0.291,53.79
50.0,35.0,-50.0,0.0,-8.502,0.0,0.0,0.0,0.0,-38.15,0.467,0.063,0.0
50.0,35.0,-70.0,-10.0,-8.83,0.134,0.082,0.4,1.48,-50.75,0.533,0.281,49.89
50.0,35.0,-70.0,0.0,-9.056,0.11,0.036,0.4,1.48,-49.52,0.533,0.281,49.89
50.0,35.0,-50.0,-10.0,-9.252,0.0,0.0,0.0,0.0,-38.15,0.467,0.08,-3.35
45.0,35.0,-50.0,-10.0,-10.766,0.0,0.0,0.0,0.0,-46.76,0.467,0.088,-0.66
45.0,35.0,-50.0,0.0,-10.766,0.0,0.0,0.0,0.0,-46.76,0.467,0.088,2.12
45.0,35.0,-70.0,-10.0,-10.776,0.131,0.081,0.24,0.9,-55.88,0.533,0.291,53.79
40.0,35.0,-50.0,0.0,-10.794,0.0,0.0,0.0,0.0,-46.84,0.467,0.124,6.62
50.0,25.0,-70.0,0.0,-11.504,0.176,0.114,0.77,1.82,-56.69,0.533,0.377,107.55
40.0,30.0,-70.0,-20.0,-11.648,0.201,0.224,1.59,6.2,-64.57,0.533,0.395,122.19
40.0,25.0,-70.0,0.0,-11.853,0.157,0.105,0.13,0.3,-57.99,0.533,0.451,165.27
40.0,30.0,-50.0,0.0,-11.914,0.099,0.058,0.0,0.0,-54.76,0.467,0.229,33.92
50.0,25.0,-50.0,0.0,-12.161,0.0,0.0,0.0,0.0,-46.46,0.467,0.191,22.27
50.0,30.0,-50.0,0.0,-12.161,0.0,0.0,0.0,0.0,-46.46,0.467,0.158,11.58
50.0,30.0,-70.0,-10.0,-12.18,0.18,0.144,0.77,1.82,-63.73,0.533,0.325,76.96
40.0,35.0,-50.0,-10.0,-12.39,0.0,0.0,0.0,0.0,-51.4,0.467,0.124,6.62
50.0,25.0,-90.0,-20.0,-12.418,0.168,0.067,1.33,4.99,-61.48,0.533,0.534,290.1
50.0,25.0,-50.0,-10.0,-12.595,0.0,0.0,0.0,0.0,-47.7,0.467,0.225,32.93
50.0,30.0,-50.0,-10.0,-12.595,0.0,0.0,0.0,0.0,-47.7,0.467,0.225,19.75
45.0,30.0,-70.0,-10.0,-12.598,0.179,0.145,0.13,0.3,-63.93,0.533,0.333,81.57
45.0,25.0,-90.0,-20.0,-12.891,0.182,0.073,1.62,6.09,-64.01,0.533,0.506,241.6
40.0,25.0,-90.0,-20.0,-12.891,0.182,0.073,1.62,6.09,-64.01,0.533,0.504,239.72
50.0,25.0,-50.0,-20.0,-13.398,0.0,0.0,0.0,0.0,-47.71,0.4,0.185,18.65
45.0,30.0,-50.0,0.0,-13.414,0.099,0.058,0.0,0.0,-54.76,0.467,0.229,33.92
50.0,35.0,-50.0,-20.0,-13.456,0.0,0.0,0.0,0.0,-50.16,0.467,0.014,-11.96
45.0,35.0,-50.0,-20.0,-13.476,0.0,0.0,0.0,0.0,-52.36,0.467,0.088,-0.66
45.0,25.0,-70.0,0.0,-14.065,0.157,0.105,0.13,0.3,-64.31,0.533,0.384,112.95
40.0,25.0,-70.0,-10.0,-14.682,0.157,0.105,0.13,0.3,-63.93,0.533,0.427,147.57
50.0,30.0,-70.0,-20.0,-14.972,0.17,0.141,-0.69,-2.53,-64.37,0.467,0.319,73.84
40.0,35.0,-50.0,-20.0,-15.13,0.0,0.0,0.0,0.0,-59.23,0.467,0.124,6.62
45.0,30.0,-70.0,-20.0,-15.157,0.169,0.141,-0.85,-3.09,-64.57,0.467,0.327,78.37
50.0,25.0,-70.0,-10.0,-15.322,0.176,0.114,-0.21,-0.78,-63.73,0.467,0.353,93.7
40.0,30.0,-50.0,-10.0,-15.749,0.084,0.051,0.0,0.0,-62.9,0.467,0.23,20.71
50.0,35.0,-70.0,-20.0,-15.813,0.033,0.033,-2.49,-7.88,-58.68,0.467,0.281,49.89
40.0,35.0,-70.0,-20.0,-16.198,0.033,0.033,-2.49,-7.88,-59.78,0.467,0.406,105.62
45.0,30.0,-50.0,-10.0,-16.499,0.084,0.051,0.0,0.0,-62.9,0.467,0.23,20.71
50.0,30.0,-50.0,-20.0,-16.573,0.0,0.0,0.0,0.0,-56.78,0.4,0.15,5.25
45.0,25.0,-50.0,0.0,-16.676,0.0,0.0,0.0,0.0,-59.36,0.467,0.26,45.5
40.0,25.0,-50.0,0.0,-16.676,0.0,0.0,0.0,0.0,-59.36,0.467,0.26,45.5
45.0,35.0,-70.0,-20.0,-17.322,0.033,0.033,-2.49,-7.88,-62.99,0.467,0.291,53.79
45.0,30.0,-50.0,-20.0,-17.396,0.0,0.0,0.0,0.0,-63.56,0.467,0.155,7.88
