ts,selected,market_score,best_symbol_raw,best_score_raw,prev_selected,prev_score_raw
2018-08-17,CASH,-39.17831565144166,CASH,,CASH,
2018-08-18,CASH,-43.326706760447905,CASH,,CASH,
2018-08-19,CASH,-42.61915613089252,CASH,,CASH,
2018-08-20,CASH,-45.17409617295931,CASH,,CASH,
2018-08-21,CASH,-43.52081394025097,CASH,,CASH,
2018-08-22,CASH,-44.68775455518071,CASH,,CASH,
2018-08-23,CASH,-42.78967043112891,CASH,,CASH,
2018-08-24,CASH,-40.10157819139261,CASH,,CASH,
2018-08-25,CASH,-39.38237544199475,CASH,,CASH,
2018-08-26,CASH,-38.357759925226325,CASH,,CASH,
2018-08-27,CASH,-31.5796861987666,CASH,,CASH,
2018-08-28,CASH,-28.383313011546267,CASH,,CASH,
2018-08-29,CASH,-27.60026466265019,CASH,,CASH,
2018-08-30,CASH,-31.920648402986163,CASH,,CASH,
2018-08-31,CASH,-29.471300282055104,CASH,,CASH,
2018-09-01,CASH,-25.21904334035053,CASH,,CASH,
2018-09-02,CASH,-22.84679666129101,CASH,,CASH,
2018-09-03,CASH,-22.9096556123217,CASH,,CASH,
2018-09-04,CASH,-22.024899129635777,CASH,,CASH,
2018-09-05,CASH,-40.19549694726433,CASH,,CASH,
2018-09-06,CASH,-40.47479725014646,CASH,,CASH,
2018-09-07,CASH,-44.704266522599816,CASH,,CASH,
2018-09-08,CASH,-47.36712052634862,CASH,,CASH,
2018-09-09,CASH,-47.84637411071507,CASH,,CASH,
2018-09-10,CASH,-47.76765639188549,CASH,,CASH,
2018-09-11,CASH,-49.49148360241979,CASH,,CASH,
2018-09-12,CASH,-49.63668640579044,CASH,,CASH,
2018-09-13,CASH,-47.249855639618346,CASH,,CASH,
2018-09-14,CASH,-46.421156278826984,CASH,,CASH,
2018-09-15,CASH,-46.28000526366351,CASH,,CASH,
2018-09-16,CASH,-45.31794893274276,CASH,,CASH,
2018-09-17,CASH,-48.5110577220764,CASH,,CASH,
2018-09-18,CASH,-47.315577720169976,CASH,,CASH,
2018-09-19,CASH,-46.9454559662238,CASH,,CASH,
2018-09-20,CASH,-44.09335779649108,CASH,,CASH,
2018-09-21,CASH,-39.316199188257485,CASH,,CASH,
2018-09-22,CASH,-39.04967091042769,CASH,,CASH,
2018-09-23,CASH,-38.190612843169816,CASH,,CASH,
2018-09-24,CASH,-38.263719861569044,CASH,,CASH,
2018-09-25,CASH,-38.42451926751531,CASH,,CASH,
2018-09-26,CASH,-38.12731713636052,CASH,,CASH,
2018-09-27,CASH,-30.894445236324838,CASH,,CASH,
2018-09-28,CASH,-30.813217838944876,CASH,,CASH,
2018-09-29,CASH,-30.8086038797269,CASH,,CASH,
2018-09-30,CASH,-30.576631891233795,CASH,,CASH,
2018-10-01,CASH,-30.190012473035594,CASH,,CASH,
2018-10-02,CASH,-31.796881234992192,CASH,,CASH,
2018-10-03,CASH,-36.20416929684393,CASH,,CASH,
2018-10-04,CASH,-35.82620110454459,CASH,,CASH,
2018-10-05,CASH,-33.29745229840111,CASH,,CASH,
2018-10-06,CASH,-35.74162130584321,CASH,,CASH,
2018-10-07,CASH,-31.642959454620808,CASH,,CASH,
2018-10-08,CASH,-31.51524789611827,CASH,,CASH,
2018-10-09,CASH,-35.41301644626629,CASH,,CASH,
2018-10-10,CASH,-39.00832524958163,CASH,,CASH,
2018-10-11,CASH,-46.80068204838198,CASH,,CASH,
2018-10-12,CASH,-46.038760024579574,CASH,,CASH,
2018-10-13,CASH,-45.161077177074795,CASH,,CASH,
2018-10-14,CASH,-46.595423139478385,CASH,,CASH,
2018-10-15,CASH,-39.376060580750405,CASH,,CASH,
2018-10-16,CASH,-40.409144824774714,CASH,,CASH,
2018-10-17,CASH,-39.69501362746333,CASH,,CASH,
2018-10-18,CASH,-43.03560450423675,CASH,,CASH,
2018-10-19,CASH,-42.71063045291743,CASH,,CASH,
2018-10-20,CASH,-41.83669268531248,CASH,,CASH,
2018-10-21,CASH,-41.93848787786448,CASH,,CASH,
2018-10-22,CASH,-42.0203644417957,CASH,,CASH,
2018-10-23,CASH,-42.23143111643941,CASH,,CASH,
2018-10-24,CASH,-41.79513029471245,CASH,,CASH,
2018-10-25,CASH,-41.01985290108435,CASH,,CASH,
2018-10-26,CASH,-40.00933411419933,CASH,,CASH,
2018-10-27,CASH,-39.67824411117951,CASH,,CASH,
2018-10-28,CASH,-38.23764891091552,CASH,,CASH,
2018-10-29,CASH,-40.28173189229978,CASH,,CASH,
2018-10-30,CASH,-39.641554658320075,CASH,,CASH,
2018-10-31,CASH,-42.422952997183614,CASH,,CASH,
2018-11-01,CASH,-42.02133155501961,CASH,,CASH,
2018-11-02,CASH,-42.54128654532765,CASH,,CASH,
2018-11-03,CASH,-46.68519499774385,CASH,,CASH,
2018-11-04,CASH,-34.42824846216465,CASH,,CASH,
2018-11-05,CASH,-33.61857516625201,CASH,,CASH,
2018-11-06,CASH,-28.801985875613873,CASH,,CASH,
2018-11-07,CASH,-28.47260886356687,CASH,,CASH,
2018-11-08,CASH,-32.569493594451835,CASH,,CASH,
2018-11-09,CASH,-33.589220097707944,CASH,,CASH,
2018-11-10,CASH,-33.067954363672314,CASH,,CASH,
2018-11-11,CASH,-33.562270593281454,CASH,,CASH,
2018-11-12,CASH,-33.69704099689405,CASH,,CASH,
2018-11-13,CASH,-34.814530022659596,CASH,,CASH,
2018-11-14,CASH,-39.42880455935918,CASH,,CASH,
2018-11-15,CASH,-39.90780362006119,CASH,,CASH,
2018-11-16,CASH,-43.57449471323464,CASH,,CASH,
2018-11-17,CASH,-44.96234918064702,CASH,,CASH,
2018-11-18,CASH,-46.95231697515461,CASH,,CASH,
2018-11-19,CASH,-51.654662647819734,CASH,,CASH,
2018-11-20,CASH,-52.800357788750944,CASH,,CASH,
2018-11-21,CASH,-53.43662911611516,CASH,,CASH,
2018-11-22,CASH,-56.805469270549864,CASH,,CASH,
2018-11-23,CASH,-57.71229180759099,CASH,,CASH,
2018-11-24,CASH,-57.77468321628932,CASH,,CASH,
2018-11-25,CASH,-57.149279110189305,CASH,,CASH,
2018-11-26,CASH,-57.404590781800266,CASH,,CASH,
2018-11-27,CASH,-57.8075537855273,CASH,,CASH,
2018-11-28,CASH,-57.80922020705053,CASH,,CASH,
2018-11-29,CASH,-58.33249705241201,CASH,,CASH,
2018-11-30,CASH,-59.405311429829894,CASH,,CASH,
2018-12-01,CASH,-58.91445838013597,CASH,,CASH,
2018-12-02,CASH,-58.35177690358152,CASH,,CASH,
2018-12-03,CASH,-59.40153352103217,CASH,,CASH,
2018-12-04,CASH,-58.376017848377344,CASH,,CASH,
2018-12-05,CASH,-59.13528530841174,CASH,,CASH,
2018-12-06,CASH,-61.44202761716609,CASH,,CASH,
2018-12-07,CASH,-60.79412312297512,CASH,,CASH,
2018-12-08,CASH,-60.78923763661042,CASH,,CASH,
2018-12-09,CASH,-60.35936894053053,CASH,,CASH,
2018-12-10,CASH,-61.751410824742486,CASH,,CASH,
2018-12-11,CASH,-60.798383070724626,CASH,,CASH,
2018-12-12,CASH,-60.40561480367249,CASH,,CASH,
2018-12-13,CASH,-62.096652954872724,CASH,,CASH,
2018-12-14,CASH,-63.88780963255252,CASH,,CASH,
2018-12-15,CASH,-63.2488637194556,CASH,,CASH,
2018-12-16,CASH,-63.67740155849866,CASH,,CASH,
2018-12-17,CASH,-59.527629725632295,CASH,,CASH,
2018-12-18,CASH,-53.70029594344048,CASH,,CASH,
2018-12-19,CASH,-53.35521945402528,CASH,,CASH,
2018-12-20,CASH,-48.36771486759088,CASH,,CASH,
