year,always_daily,phase20_btc_3d_neg_k05,soft_kill_4h
2017,0.0,0.0,0.0
2018,0.0,0.0,0.0
2019,63.91518422194269,58.23391874638135,46.314825864472354
2020,195.55316364482823,203.0841245211546,88.12459202133178
2021,49.8216393880627,49.22104967777023,50.629085263474764
2022,0.0,0.0,0.0
2023,15.877788989222829,5.80487251401256,24.872875614914804
2024,82.80047821019572,39.7631547487094,13.960559890385827
2025,100.77047131096694,97.97532456503761,68.00948170288802
2026,0.0,0.0,0.0
