candidate,mode,breadth_threshold,kill_multiplier,cooldown_days,base_total_return_pct,base_cagr_pct,base_max_drawdown_pct,base_sharpe,overlay_total_return_pct,overlay_cagr_pct,overlay_max_drawdown_pct,overlay_sharpe,overlay_sortino,killed_days,killed_days_pct,killed_positive_days,killed_negative_days,killed_zero_days,killed_positive_days_pct_of_killed,killed_negative_days_pct_of_killed,sum_removed_ret,sum_removed_positive_ret,sum_removed_negative_ret,avg_removed_ret_per_killed_day
btc_3d_neg_b035_k0_cd0,btc_3d_neg,0.35,0.0,0,1072.2240619284594,56.68702459027814,-33.856156706275364,1.122786098057948,3643.59065070464,93.65769166234617,-15.660211401427171,2.3700850930693833,2.328215387256644,934,46.63005491762357,101,136,697,10.813704496788008,14.5610278372591,-0.8197902863789607,3.150600250791808,-3.970390537170769,-0.00087771979269696
btc_2d_neg_b035_k0_cd0,btc_2d_neg,0.35,0.0,0,1072.2240619284594,56.68702459027814,-33.856156706275364,1.122786098057948,3350.1416792243504,90.79496179488547,-16.775519504198822,2.362358024440675,2.138068958867059,955,47.67848227658512,105,141,709,10.99476439790576,14.764397905759164,-0.7300711071226619,3.177108448189101,-3.907179555311763,-0.0007644723634792271
combo_all_2d_b035_k0_cd0,combo_all_2d,0.35,0.0,0,1072.2240619284594,56.68702459027814,-33.856156706275364,1.122786098057948,8201.592874185602,123.94260180177947,-17.58020987039196,2.022876122138024,2.8699457682361076,769,38.39241138292561,69,105,595,8.972691807542263,13.654096228868662,-1.8189850797351523,1.5443478178820285,-3.3633328976171804,-0.0023653902207219145
combo_mixed_b035_k0_cd0,combo_mixed,0.35,0.0,0,1072.2240619284594,56.68702459027814,-33.856156706275364,1.122786098057948,8041.231625183441,123.14707079806224,-17.58020987039196,2.00650242671077,2.938971921032307,751,37.49375936095856,74,108,569,9.85352862849534,14.380825565912117,-1.803307699430793,1.6568854673786118,-3.460193166809405,-0.002401208654368566
