model,override_mode,kill_day_pct,override_used_pct,bars,days,years,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,avg_exposure
lag2_gt_3pct,lag2_gt_0.030,46.74080774756558,0.4842228489331134,18793,3134,8.580424366872005,3023.2951117582643,49.344318867994154,-27.331201945985473,1.3681587797064145,1.0192160972831716,0.23295908050870004
lag2_gt_2p5pct,lag2_gt_0.025,46.74080774756558,0.7077103176714734,18793,3134,8.580424366872005,2922.9262695295224,48.776888070220224,-28.448735871194973,1.3545821608989352,1.0096787690932192,0.23295908050870004
lag3_gt_4pct,lag3_gt_0.040,46.74080774756558,0.3884425051881019,18793,3134,8.580424366872005,2866.001931315395,48.44762907545659,-29.06977892132914,1.3519122782676392,1.0046597102488768,0.23295908050870004
lag3_gt_5pct,lag3_gt_0.050,46.74080774756558,0.23412972915447242,18793,3134,8.580424366872005,2816.6522223707943,48.157633472067516,-28.77544955504806,1.3473974616910784,0.9998646700017152,0.23295908050870004
lag2_gt_2pct,lag2_gt_0.020,46.74080774756558,1.0376203905709571,18793,3134,8.580424366872005,2894.5533066182857,48.61346575824985,-28.361542927451055,1.346846202086637,1.002920390301333,0.23295908050870004
lag2_gt_3p5pct,lag2_gt_0.035,46.74080774756558,0.3139466822753153,18793,3134,8.580424366872005,2778.7095223052697,47.9317066420744,-27.64190393168032,1.3434402447035287,0.9966599907765538,0.23295908050870004
lag3_gt_6pct,lag3_gt_0.060,46.74080774756558,0.14367051561751717,18793,3134,8.580424366872005,2743.7974234271087,47.72148919586514,-30.304705551389677,1.3394986122405252,0.9932486498222276,0.23295908050870004
phase20_btc_3d_neg_k05,none,46.74080774756558,0.0,18793,3134,8.580424366872005,1995.0880996465526,42.55375617520434,-29.96416580605632,1.3385847285615025,0.9132155580241283,0.23295908050870004
lag2_gt_4pct,lag2_gt_0.040,46.74080774756558,0.1915606874900229,18793,3134,8.580424366872005,2660.6673774724436,47.2116067770898,-28.78473818883318,1.329671592434796,0.9850918866977638,0.23295908050870004
always_daily,none,0.0,0.0,18793,3134,8.580424366872005,2986.787334369976,49.13981315558009,-35.407137398124675,1.2614084971983677,0.911496729354042,0.23295908050870004
