model,target_leverage,annual_borrow_cost_pct,cagr_pct,max_drawdown_pct,calmar,since2023_cagr_pct,since2025_cagr_pct,worst_day_pct,borrow_cost_total_pct,eligible_days,eligible_days_pct,leverage_active_days,leverage_active_days_pct,switch_days_forced_1x,entry_buffer_days_forced_1x,trend_block_days,stress_block_days,selection_count,switch_count,unique_selected_assets,held_asset_now,latest_available_date
phase68c_66g_1p00x_realistic_baseline,1.0,12.0,112.99,-23.6,4.7878,134.24,113.55,-13.47,0.0,65,2.25,0,0.0,45,45,92,23,270,90,4,CASH,2026-03-30
phase68c_realistic_1p25x_candidate,1.25,12.0,120.0,-24.24,4.9501,142.88,113.55,-13.47,0.5339,65,2.25,65,2.25,45,45,92,23,270,90,4,CASH,2026-03-30
phase68c_realistic_1p50x_candidate,1.5,12.0,127.01,-25.06,5.068,151.62,113.55,-13.47,1.0678,65,2.25,65,2.25,45,45,92,23,270,90,4,CASH,2026-03-30
