model,mode,target_leverage,annual_borrow_cost_pct,tradable_transition_slippage_bps,trend_activation_threshold,dynamic_mid_threshold,dynamic_mid_leverage,dynamic_high_leverage,stress_off_threshold,stress_on_threshold,cagr_pct,max_drawdown_pct,calmar,since2023_cagr_pct,since2025_cagr_pct,worst_day_pct,borrow_cost_total_pct,tradable_slippage_cost_total_pct,governance_switch_count,exposure_days,asset_transition_count,tradable_transition_count,eligible_days,leverage_active_days,leverage_1p00_days,leverage_1p25_days,leverage_1p50_days,trend_block_days,stress_block_days,held_asset_now,latest_available_date,scenario_id,scenario_borrow_cost_pct,scenario_slippage_bps
phase68i_66g_1p00x_baseline,static,1.0,18.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,112.83,-23.75,4.7503,133.95,113.55,-13.47,0.0,0.6,3,2888,90,3,516,0,2888,0,0,2000,229,BASELINE_RISK,2026-03-30,bc18_sl20,18.0,20.0
phase68i_66g_1p25x_static,static,1.25,18.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,149.9,-25.77,5.816,177.13,170.49,-13.47,6.3573,0.6,3,2888,90,3,516,516,2372,516,0,2000,229,BASELINE_RISK,2026-03-30,bc18_sl20,18.0,20.0
phase68i_66g_1p50x_static,static,1.5,18.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,191.99,-28.09,6.8348,226.86,240.29,-13.47,12.7146,0.6,3,2888,90,3,516,516,2372,0,516,2000,229,BASELINE_RISK,2026-03-30,bc18_sl20,18.0,20.0
phase68i_dynamic_ladder_candidate,dynamic,,18.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,187.64,-27.29,6.8746,216.87,221.7,-13.47,11.5318,0.6,3,2888,90,3,516,516,2372,96,420,2000,229,BASELINE_RISK,2026-03-30,bc18_sl20,18.0,20.0
phase68i_66g_1p00x_baseline,static,1.0,18.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,112.75,-23.83,4.7317,133.81,113.55,-13.47,0.0,0.9,3,2888,90,3,516,0,2888,0,0,2000,229,BASELINE_RISK,2026-03-30,bc18_sl30,18.0,30.0
phase68i_66g_1p25x_static,static,1.25,18.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,149.81,-25.77,5.8124,176.96,170.49,-13.47,6.3573,0.9,3,2888,90,3,516,516,2372,516,0,2000,229,BASELINE_RISK,2026-03-30,bc18_sl30,18.0,30.0
phase68i_66g_1p50x_static,static,1.5,18.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,191.88,-28.09,6.8308,226.66,240.29,-13.47,12.7146,0.9,3,2888,90,3,516,516,2372,0,516,2000,229,BASELINE_RISK,2026-03-30,bc18_sl30,18.0,30.0
phase68i_dynamic_ladder_candidate,dynamic,,18.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,187.53,-27.29,6.8706,216.67,221.7,-13.47,11.5318,0.9,3,2888,90,3,516,516,2372,96,420,2000,229,BASELINE_RISK,2026-03-30,bc18_sl30,18.0,30.0
phase68i_66g_1p00x_baseline,static,1.0,24.0,10.0,0.1,0.5,1.25,1.5,-0.08,-0.04,112.91,-23.68,4.769,134.1,113.55,-13.47,0.0,0.3,3,2888,90,3,516,0,2888,0,0,2000,229,BASELINE_RISK,2026-03-30,bc24_sl10,24.0,10.0
phase68i_66g_1p25x_static,static,1.25,24.0,10.0,0.1,0.5,1.25,1.5,-0.08,-0.04,149.34,-25.81,5.7865,176.61,169.82,-13.47,8.4764,0.3,3,2888,90,3,516,516,2372,516,0,2000,229,BASELINE_RISK,2026-03-30,bc24_sl10,24.0,10.0
phase68i_66g_1p50x_static,static,1.5,24.0,10.0,0.1,0.5,1.25,1.5,-0.08,-0.04,190.56,-28.16,6.768,225.43,238.62,-13.47,16.9528,0.3,3,2888,90,3,516,516,2372,0,516,2000,229,BASELINE_RISK,2026-03-30,bc24_sl10,24.0,10.0
phase68i_dynamic_ladder_candidate,dynamic,,24.0,10.0,0.1,0.5,1.25,1.5,-0.08,-0.04,186.38,-27.35,6.8139,215.66,220.21,-13.47,15.3758,0.3,3,2888,90,3,516,516,2372,96,420,2000,229,BASELINE_RISK,2026-03-30,bc24_sl10,24.0,10.0
phase68i_66g_1p00x_baseline,static,1.0,24.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,112.83,-23.75,4.7503,133.95,113.55,-13.47,0.0,0.6,3,2888,90,3,516,0,2888,0,0,2000,229,BASELINE_RISK,2026-03-30,bc24_sl20,24.0,20.0
phase68i_66g_1p25x_static,static,1.25,24.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,149.24,-25.81,5.7828,176.44,169.82,-13.47,8.4764,0.6,3,2888,90,3,516,516,2372,516,0,2000,229,BASELINE_RISK,2026-03-30,bc24_sl20,24.0,20.0
phase68i_66g_1p50x_static,static,1.5,24.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,190.45,-28.16,6.7641,225.23,238.62,-13.47,16.9528,0.6,3,2888,90,3,516,516,2372,0,516,2000,229,BASELINE_RISK,2026-03-30,bc24_sl20,24.0,20.0
phase68i_dynamic_ladder_candidate,dynamic,,24.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,186.27,-27.35,6.8099,215.46,220.21,-13.47,15.3758,0.6,3,2888,90,3,516,516,2372,96,420,2000,229,BASELINE_RISK,2026-03-30,bc24_sl20,24.0,20.0
phase68i_66g_1p00x_baseline,static,1.0,24.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,112.75,-23.83,4.7317,133.81,113.55,-13.47,0.0,0.9,3,2888,90,3,516,0,2888,0,0,2000,229,BASELINE_RISK,2026-03-30,bc24_sl30,24.0,30.0
phase68i_66g_1p25x_static,static,1.25,24.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,149.15,-25.81,5.7791,176.27,169.82,-13.47,8.4764,0.9,3,2888,90,3,516,516,2372,516,0,2000,229,BASELINE_RISK,2026-03-30,bc24_sl30,24.0,30.0
phase68i_66g_1p50x_static,static,1.5,24.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,190.34,-28.16,6.7601,225.03,238.62,-13.47,16.9528,0.9,3,2888,90,3,516,516,2372,0,516,2000,229,BASELINE_RISK,2026-03-30,bc24_sl30,24.0,30.0
phase68i_dynamic_ladder_candidate,dynamic,,24.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,186.16,-27.35,6.8059,215.27,220.21,-13.47,15.3758,0.9,3,2888,90,3,516,516,2372,96,420,2000,229,BASELINE_RISK,2026-03-30,bc24_sl30,24.0,30.0
