model,mode,target_leverage,annual_borrow_cost_pct,tradable_transition_slippage_bps,trend_activation_threshold,dynamic_mid_threshold,dynamic_mid_leverage,dynamic_high_leverage,stress_off_threshold,stress_on_threshold,cagr_pct,max_drawdown_pct,calmar,since2023_cagr_pct,since2025_cagr_pct,worst_day_pct,borrow_cost_total_pct,tradable_slippage_cost_total_pct,governance_switch_count,exposure_days,asset_transition_count,tradable_transition_count,eligible_days,leverage_active_days,leverage_1p00_days,leverage_1p25_days,leverage_1p50_days,trend_block_days,stress_block_days,held_asset_now,latest_available_date,scenario_id,scenario_borrow_cost_pct,scenario_slippage_bps,delta_vs_1p00x_cagr_pct,delta_vs_1p00x_max_drawdown_pct,delta_vs_1p00x_calmar,delta_vs_1p00x_since2023_cagr_pct,delta_vs_1p00x_since2025_cagr_pct,delta_vs_1p00x_worst_day_pct,delta_vs_1p00x_borrow_cost_total_pct,delta_vs_1p00x_tradable_slippage_cost_total_pct,is_scenario_raw_winner,is_scenario_deployment_winner
phase68i_66g_1p25x_static,static,1.25,18.0,10.0,0.1,0.5,1.25,1.5,-0.08,-0.04,150.0,-25.77,5.8197,177.31,170.49,-13.47,6.3573,0.3,3,2888,90,3,516,516,2372,516,0,2000,229,BASELINE_RISK,2026-03-30,bc18_sl10,18.0,10.0,37.09,-2.09,1.0507,43.21000000000001,56.94000000000001,0.0,6.3573,0.0,False,False
phase68i_66g_1p50x_static,static,1.5,18.0,10.0,0.1,0.5,1.25,1.5,-0.08,-0.04,192.1,-28.09,6.8387,227.06,240.29,-13.47,12.7146,0.3,3,2888,90,3,516,516,2372,0,516,2000,229,BASELINE_RISK,2026-03-30,bc18_sl10,18.0,10.0,79.19,-4.41,2.0697,92.96000000000001,126.74,0.0,12.7146,0.0,True,False
phase68i_dynamic_ladder_candidate,dynamic,,18.0,10.0,0.1,0.5,1.25,1.5,-0.08,-0.04,187.75,-27.29,6.8786,217.06,221.7,-13.47,11.5318,0.3,3,2888,90,3,516,516,2372,96,420,2000,229,BASELINE_RISK,2026-03-30,bc18_sl10,18.0,10.0,74.84,-3.6099999999999994,2.1095999999999995,82.96000000000001,108.14999999999999,0.0,11.5318,0.0,False,True
phase68i_66g_1p00x_baseline,static,1.0,18.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,112.83,-23.75,4.7503,133.95,113.55,-13.47,0.0,0.6,3,2888,90,3,516,0,2888,0,0,2000,229,BASELINE_RISK,2026-03-30,bc18_sl20,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
phase68i_66g_1p25x_static,static,1.25,18.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,149.9,-25.77,5.816,177.13,170.49,-13.47,6.3573,0.6,3,2888,90,3,516,516,2372,516,0,2000,229,BASELINE_RISK,2026-03-30,bc18_sl20,18.0,20.0,37.07000000000001,-2.0199999999999996,1.0656999999999996,43.18000000000001,56.94000000000001,0.0,6.3573,0.0,False,False
phase68i_66g_1p50x_static,static,1.5,18.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,191.99,-28.09,6.8348,226.86,240.29,-13.47,12.7146,0.6,3,2888,90,3,516,516,2372,0,516,2000,229,BASELINE_RISK,2026-03-30,bc18_sl20,18.0,20.0,79.16000000000001,-4.34,2.0845000000000002,92.91000000000003,126.74,0.0,12.7146,0.0,True,False
phase68i_dynamic_ladder_candidate,dynamic,,18.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,187.64,-27.29,6.8746,216.87,221.7,-13.47,11.5318,0.6,3,2888,90,3,516,516,2372,96,420,2000,229,BASELINE_RISK,2026-03-30,bc18_sl20,18.0,20.0,74.80999999999999,-3.539999999999999,2.1243,82.92000000000002,108.14999999999999,0.0,11.5318,0.0,False,True
phase68i_66g_1p00x_baseline,static,1.0,18.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,112.75,-23.83,4.7317,133.81,113.55,-13.47,0.0,0.9,3,2888,90,3,516,0,2888,0,0,2000,229,BASELINE_RISK,2026-03-30,bc18_sl30,18.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
phase68i_66g_1p25x_static,static,1.25,18.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,149.81,-25.77,5.8124,176.96,170.49,-13.47,6.3573,0.9,3,2888,90,3,516,516,2372,516,0,2000,229,BASELINE_RISK,2026-03-30,bc18_sl30,18.0,30.0,37.06,-1.9400000000000013,1.0807000000000002,43.150000000000006,56.94000000000001,0.0,6.3573,0.0,False,False
phase68i_66g_1p50x_static,static,1.5,18.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,191.88,-28.09,6.8308,226.66,240.29,-13.47,12.7146,0.9,3,2888,90,3,516,516,2372,0,516,2000,229,BASELINE_RISK,2026-03-30,bc18_sl30,18.0,30.0,79.13,-4.260000000000002,2.0991,92.85,126.74,0.0,12.7146,0.0,True,False
phase68i_dynamic_ladder_candidate,dynamic,,18.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,187.53,-27.29,6.8706,216.67,221.7,-13.47,11.5318,0.9,3,2888,90,3,516,516,2372,96,420,2000,229,BASELINE_RISK,2026-03-30,bc18_sl30,18.0,30.0,74.78,-3.460000000000001,2.1388999999999996,82.85999999999999,108.14999999999999,0.0,11.5318,0.0,False,True
phase68i_66g_1p00x_baseline,static,1.0,24.0,10.0,0.1,0.5,1.25,1.5,-0.08,-0.04,112.91,-23.68,4.769,134.1,113.55,-13.47,0.0,0.3,3,2888,90,3,516,0,2888,0,0,2000,229,BASELINE_RISK,2026-03-30,bc24_sl10,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
phase68i_66g_1p25x_static,static,1.25,24.0,10.0,0.1,0.5,1.25,1.5,-0.08,-0.04,149.34,-25.81,5.7865,176.61,169.82,-13.47,8.4764,0.3,3,2888,90,3,516,516,2372,516,0,2000,229,BASELINE_RISK,2026-03-30,bc24_sl10,24.0,10.0,36.43000000000001,-2.129999999999999,1.0175,42.51000000000002,56.269999999999996,0.0,8.4764,0.0,False,False
phase68i_66g_1p50x_static,static,1.5,24.0,10.0,0.1,0.5,1.25,1.5,-0.08,-0.04,190.56,-28.16,6.768,225.43,238.62,-13.47,16.9528,0.3,3,2888,90,3,516,516,2372,0,516,2000,229,BASELINE_RISK,2026-03-30,bc24_sl10,24.0,10.0,77.65,-4.48,1.9989999999999997,91.33000000000001,125.07000000000001,0.0,16.9528,0.0,True,False
phase68i_dynamic_ladder_candidate,dynamic,,24.0,10.0,0.1,0.5,1.25,1.5,-0.08,-0.04,186.38,-27.35,6.8139,215.66,220.21,-13.47,15.3758,0.3,3,2888,90,3,516,516,2372,96,420,2000,229,BASELINE_RISK,2026-03-30,bc24_sl10,24.0,10.0,73.47,-3.6700000000000017,2.0449,81.56,106.66000000000001,0.0,15.3758,0.0,False,True
phase68i_66g_1p00x_baseline,static,1.0,24.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,112.83,-23.75,4.7503,133.95,113.55,-13.47,0.0,0.6,3,2888,90,3,516,0,2888,0,0,2000,229,BASELINE_RISK,2026-03-30,bc24_sl20,24.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
phase68i_66g_1p25x_static,static,1.25,24.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,149.24,-25.81,5.7828,176.44,169.82,-13.47,8.4764,0.6,3,2888,90,3,516,516,2372,516,0,2000,229,BASELINE_RISK,2026-03-30,bc24_sl20,24.0,20.0,36.41000000000001,-2.0599999999999987,1.0324999999999998,42.49000000000001,56.269999999999996,0.0,8.4764,0.0,False,False
phase68i_66g_1p50x_static,static,1.5,24.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,190.45,-28.16,6.7641,225.23,238.62,-13.47,16.9528,0.6,3,2888,90,3,516,516,2372,0,516,2000,229,BASELINE_RISK,2026-03-30,bc24_sl20,24.0,20.0,77.61999999999999,-4.41,2.0138,91.28,125.07000000000001,0.0,16.9528,0.0,True,False
phase68i_dynamic_ladder_candidate,dynamic,,24.0,20.0,0.1,0.5,1.25,1.5,-0.08,-0.04,186.27,-27.35,6.8099,215.46,220.21,-13.47,15.3758,0.6,3,2888,90,3,516,516,2372,96,420,2000,229,BASELINE_RISK,2026-03-30,bc24_sl20,24.0,20.0,73.44000000000001,-3.6000000000000014,2.0595999999999997,81.51000000000002,106.66000000000001,0.0,15.3758,0.0,False,True
phase68i_66g_1p00x_baseline,static,1.0,24.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,112.75,-23.83,4.7317,133.81,113.55,-13.47,0.0,0.9,3,2888,90,3,516,0,2888,0,0,2000,229,BASELINE_RISK,2026-03-30,bc24_sl30,24.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
phase68i_66g_1p25x_static,static,1.25,24.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,149.15,-25.81,5.7791,176.27,169.82,-13.47,8.4764,0.9,3,2888,90,3,516,516,2372,516,0,2000,229,BASELINE_RISK,2026-03-30,bc24_sl30,24.0,30.0,36.400000000000006,-1.9800000000000004,1.0473999999999997,42.46000000000001,56.269999999999996,0.0,8.4764,0.0,False,False
phase68i_66g_1p50x_static,static,1.5,24.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,190.34,-28.16,6.7601,225.03,238.62,-13.47,16.9528,0.9,3,2888,90,3,516,516,2372,0,516,2000,229,BASELINE_RISK,2026-03-30,bc24_sl30,24.0,30.0,77.59,-4.330000000000002,2.0284000000000004,91.22,125.07000000000001,0.0,16.9528,0.0,True,False
phase68i_dynamic_ladder_candidate,dynamic,,24.0,30.0,0.1,0.5,1.25,1.5,-0.08,-0.04,186.16,-27.35,6.8059,215.27,220.21,-13.47,15.3758,0.9,3,2888,90,3,516,516,2372,96,420,2000,229,BASELINE_RISK,2026-03-30,bc24_sl30,24.0,30.0,73.41,-3.520000000000003,2.0742000000000003,81.46000000000001,106.66000000000001,0.0,15.3758,0.0,False,True
