model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,candidate_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,asset,asset_file,signal_days_pct,trigger_days,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,raw_rows,daily_rows,history_days,data_start,data_end,non_na_close_ratio,max_gap_days
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3,2874,24774.6433083277,101.59102257148795,-33.45815502995442,1.5257513002131136,2.012554224312254,41.8580375782881,8.455114822546973,49.68684759916493,0.0,844,1398.3394682810722,68.21964559766423,-33.45815502995444,1259.2456285609821,125.67852925530438,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,,C:\Users\benda\Desktop\market_regime_v1\outputs\phase63_btc_participation_overlay\phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3_paper.csv,0.0,0,,,,,,,,,,,,
add_DOGE,2874,38689.57104275464,113.30144006585398,-33.45815502995445,1.620023110191789,2.1780978548359835,41.8580375782881,8.1419624217119,48.67780097425191,1.3221990257480862,845,1965.0360178505484,78.91409852152115,-33.45815502995444,1773.3346077471087,149.42796298337674,-28.456440894775536,149.9093451554409,113.89699075216568,-20.80923724935961,DOGE,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\DOGEUSDT_1d.csv,1.3221990257480862,22,11.710417494366027,-2.842170943040401e-14,10.694452923856929,23.74943372807236,0.0,2448.0,2448.0,2448.0,2019-07-05,2026-03-17,100.0,1.0
add_SOL,2874,23585.64949596237,100.34007595469419,-37.734147515128136,1.5059336903895488,1.9944129723680541,41.8580375782881,8.037578288100208,48.816979819067505,1.2874043145441894,841,1326.7196932946918,66.64400190827891,-37.734147515128114,1194.2744600577282,122.25695899578338,-35.96673030648434,149.9093451554409,113.89699075216568,-20.80923724935961,SOL,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\SOLUSDT_1d.csv,1.2874043145441894,19,-1.2509466167937688,-4.275992485173717,-1.5756436893853163,-3.4215702595210047,0.0,2045.0,2045.0,2045.0,2020-08-11,2026-03-17,100.0,1.0
add_LTC,2874,19140.859931199266,95.11775734548225,-44.856711841371265,1.4475689873667015,1.8158234832791047,41.78844815588031,8.1419624217119,49.373695198329855,0.6958942240779402,841,1058.9850548301922,60.12065538186005,-44.85671184137128,1085.0753877886007,116.22963570417149,-35.01059682312534,149.9093451554409,113.89699075216568,-20.80923724935961,LTC,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\LTCUSDT_1d.csv,0.6958942240779402,10,-6.473265226005708,-11.398556811416846,-8.098990215804179,-9.448893551132898,0.0,3017.0,3017.0,3017.0,2017-12-13,2026-03-17,100.0,1.0
add_ADA,2874,34847.57702213097,110.49267223735603,-33.875222600314146,1.5821142367701926,2.1275972356397554,41.8580375782881,8.176757132915796,49.16492693110647,0.8002783576896312,835,1202.7528834028085,63.75886483442515,-33.87522260031408,1081.8157362509676,116.04394713585803,-30.172777076227142,149.9093451554409,113.89699075216568,-20.80923724935961,ADA,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\ADAUSDT_1d.csv,0.8002783576896312,12,8.901649665868078,-0.41706757035972686,-4.460780763239079,-9.63458211944635,0.0,2892.0,2892.0,2892.0,2018-04-17,2026-03-17,100.0,1.0
add_DOT,2874,20946.114500818803,97.35427434508688,-33.81966896842199,1.4853711216495074,1.9544373762020204,41.8580375782881,8.350730688935283,49.40848990953375,0.3827418232428671,839,1167.7256762906873,62.903552579439406,-33.81966896842206,1050.0401746004002,114.21509276119308,-25.866176348777437,149.9093451554409,113.89699075216568,-20.80923724935961,DOT,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\DOTUSDT_1d.csv,0.3827418232428671,5,-4.236748226401076,-0.3615139384675743,-5.316093018224819,-11.463436494111306,0.0,2038.0,2038.0,2038.0,2020-08-18,2026-03-17,100.0,1.0
add_XRP,2874,16005.333513311882,90.75620237106385,-41.49223752442764,1.4138823899818194,1.8406148821919992,41.75365344467641,8.350730688935283,48.643006263048015,1.2526096033402923,846,870.1146888303786,54.74048764246597,-41.492237524427665,848.8655576348787,101.74498210316459,-41.49223752442764,149.9093451554409,113.89699075216568,-20.80923724935961,XRP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv\XRPUSDT_1d.csv,1.2526096033402923,25,-10.834820200424105,-8.034082494473218,-13.479157955198254,-23.933547152139795,0.0,2875.0,2875.0,2875.0,2018-05-04,2026-03-17,100.0,1.0
