date,strategy_return,base_return,btc_return,equity,executed_regime,executed_position,base_strength_lb,baseline_is_weak,candidate_close,candidate_return,cand_fast_ma,cand_slow_ma,cand_risk_ma,cand_ret_lb,cand_vol,candidate_trend_ok,candidate_risk_off,candidate_signal_raw,candidate_signal,candidate_execute
2018-05-04,0.0,0.0,-0.0036933333333333,1.0,CASH,CASH,,False,0.8899,0.0,,,,,,False,False,False,False,False
2018-05-05,0.0,0.0,0.0154426759755774,1.0,BASE,0.0,,False,0.9028,0.014496010787728997,,,,,,False,False,False,False,False
2018-05-06,0.0,0.0,-0.0207816301703163,1.0,BASE,0.0,,False,0.86483,-0.04205804164820559,,,,,,False,False,False,False,False
2018-05-07,0.0,0.0,-0.0304389373238044,1.0,BASE,0.0,,False,0.8249,-0.04617092376536436,,,,,,False,False,False,False,False
2018-05-08,0.0,0.0,-0.0189471436198612,1.0,BASE,0.0,,False,0.80667,-0.02209964844223533,,,,,,False,False,False,False,False
2018-05-09,0.0,0.0,0.0133267156894758,1.0,BASE,0.0,,False,0.79481,-0.014702418585047172,,,,,,False,False,False,False,False
2018-05-10,0.0,0.0,-0.0330612244897958,1.0,BASE,0.0,,False,0.74558,-0.06193933141253882,,,,,,False,False,False,False,False
2018-05-11,0.0,0.0,-0.0668947590588967,1.0,BASE,0.0,,False,0.6761,-0.09318919498913592,,,,,,False,False,False,False,False
2018-05-12,0.0,0.0,0.0078500000000001,1.0,BASE,0.0,,False,0.68522,0.01348912882709663,,,,,,False,False,False,False,False
2018-05-13,0.0,0.0,0.0252505923736761,1.0,BASE,0.0,,False,0.72999,0.0653366801903037,,,,,,False,False,False,False,False
2018-05-14,0.0,0.0,-0.0018860077122391,1.0,BASE,0.0,,False,0.72694,-0.004178139426567529,,,,,,False,False,False,False,False
2018-05-15,0.0,0.0,-0.0232404592224245,1.0,BASE,0.0,,False,0.689,-0.05219137755523162,,,,,,False,False,False,False,False
2018-05-16,0.0,0.0,-0.0155991491373197,1.0,BASE,0.0,,False,0.70585,0.024455732946299102,,,,,,False,False,False,False,False
2018-05-17,0.0,0.0,-0.0346386554621849,1.0,BASE,0.0,,False,0.65849,-0.06709640858539345,,,,,,False,False,False,False,False
2018-05-18,0.0,0.0,0.0246659188754281,1.0,BASE,0.0,,False,0.67766,0.02911205940864714,,,,,,False,False,False,False,False
2018-05-19,0.0,0.0,-0.0007670079771256,1.0,BASE,0.0,,False,0.67339,-0.006301094944367369,,,,,,False,False,False,False,False
2018-05-20,0.0,0.0,0.0356458804225181,1.0,BASE,0.0,,False,0.6994,0.03862546221357599,,,,,,False,False,False,False,False
2018-05-21,0.0,0.0,-0.017091631503768,1.0,BASE,0.0,,False,0.67612,-0.033285673434372276,,,,,,False,False,False,False,False
2018-05-22,0.0,0.0,-0.0482184020502932,1.0,BASE,0.0,,False,0.63782,-0.056646749097793325,,,,,,False,False,False,False,False
2018-05-23,0.0,0.0,-0.0595654315911401,1.0,BASE,0.0,,False,0.59198,-0.07186980652848785,0.7328725,,,,,False,False,False,False,False
2018-05-24,0.0,0.0,0.0097388012450096,1.0,BASE,0.0,,False,0.62814,0.061083144700834646,0.7197845,,,,,False,False,False,False,False
2018-05-25,0.0,0.0,-0.0155788573216405,1.0,BASE,0.0,,False,0.60459,-0.037491641990639146,0.704874,,,,,False,False,False,False,False
2018-05-26,0.0,0.0,-0.016499932948907,1.0,BASE,0.0,,False,0.60852,0.006500272912221439,0.6920585,,,,,False,False,False,False,False
2018-05-27,0.0,0.0,0.0006858504818678,1.0,BASE,0.0,,False,0.60416,-0.007164924735423517,0.6810215,,,,,False,False,False,False,False
2018-05-28,0.0,0.0,-0.0327006849716378,1.0,BASE,0.0,,False,0.54689,-0.09479277012711873,0.6680325,,,,,False,False,False,False,False
2018-05-29,0.0,0.0,0.0510339484434427,1.0,BASE,0.0,,False,0.59998,0.09707619448152283,0.658291,,,,,False,False,False,False,False
2018-05-30,0.0,0.0,-0.0114363602004479,1.0,BASE,0.0,,False,0.60149,0.0025167505583518768,0.6510865,,,,,False,False,False,False,False
2018-05-31,0.0,0.0,0.0147845161850119,1.0,BASE,0.0,,False,0.6114,0.016475751882824463,0.6478515,,,,,False,False,False,False,False
2018-06-01,0.0,0.0,0.0048096128128085,1.0,BASE,0.0,,False,0.62151,0.016535819430814502,0.644666,,,,,False,False,False,False,False
2018-06-02,0.0,0.0,0.0158250022270944,1.0,BASE,0.0,0.0,True,0.64269,0.03407829318916833,0.640301,,,,0.04619214990840208,False,True,False,False,False
2018-06-03,0.0,0.0,0.0097159304348282,1.0,BASE,0.0,0.0,True,0.6901,0.07376806858672147,0.638459,,,-0.22451960894482526,0.04854716969552419,False,True,False,False,False
2018-06-04,0.0,0.0,-0.0294597278287224,1.0,BASE,0.0,0.0,True,0.65507,-0.05076075931024493,0.6367624999999999,,,-0.2744018608772707,0.04898388147219756,False,True,False,False,False
2018-06-05,0.0,0.0,0.0184319487110993,1.0,BASE,0.0,0.0,True,0.67464,0.029874669882608007,0.6352019999999999,,,-0.21991605286588112,0.04908847142694562,False,True,False,False,False
2018-06-06,0.0,0.0,0.0044380327868853,1.0,BASE,0.0,0.0,True,0.6741,-0.0008004268943436754,0.6359825,,,-0.18281003758031267,0.04855535679985005,False,True,False,False,False
2018-06-07,0.0,0.0,0.0042095147568039,1.0,BASE,0.0,0.0,True,0.67756,0.005132769618750865,0.6359775,,,-0.16005305763199318,0.04849141668255438,False,True,False,False,False
2018-06-08,0.0,0.0,-0.0113950186449758,1.0,BASE,0.0,0.0,True,0.6721,-0.008058326937835814,0.6359130000000001,,,-0.15438909928158928,0.04845998674098053,False,True,False,False,False
