model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,candidate_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,mode,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,delta_vs_phase66f_soft_filters_cagr_pct,delta_vs_phase66f_soft_filters_max_drawdown_pct,delta_vs_phase66f_soft_filters_since2021_cagr_pct,delta_vs_phase66f_soft_filters_since2023_cagr_pct,delta_vs_phase66f_soft_filters_since2025_cagr_pct,unique_selected_assets,selected_days_pct,decision_count,selection_count,switch_count,asset_suspensions_total,delta_vs_phase66g_core_cagr_pct,delta_vs_phase66g_core_max_drawdown_pct,delta_vs_phase66g_core_since2021_cagr_pct,delta_vs_phase66g_core_since2023_cagr_pct,delta_vs_phase66g_core_since2025_cagr_pct,weak_base_lb,weak_base_threshold,cooldown_days,candidate_risk_buffer,candidate_ret_min,candidate_assets_loaded,failed_assets_count,switch_count_change_pct,passes_success_rule
phase66g_production_soft_filters,2874,39296.1912742702,113.7225092735274,-23.60003299555694,1.6083883573961415,2.1563792516361047,41.8580375782881,8.350730688935283,48.8517745302714,0.9394572025052192,839,1982.7255932256917,79.20755577328669,-23.600032995556877,1478.713121197864,136.46465018842804,-23.600032995556894,149.9093451554409,113.89699075216568,-20.80923724935961,baseline_66g,12.131486702039451,9.858122034397478,10.98791017562246,10.786120933123655,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,4.0,9.394572025052192,359.0,45.0,14.0,444.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,False
phase66h_core_guardrail_A,2874,38355.650523778095,113.06719909508564,-41.946284182089556,1.5308710771543514,2.0610529179907724,41.823242867084204,7.933194154488518,46.207376478775224,4.036186499652053,790,2613.502128939887,88.5525229479603,-41.946284182089514,2077.358321722423,161.40722697095248,-34.14872810764038,149.9093451554409,113.89699075216568,-20.80923724935961,phase66h_core_guardrail_A,,,,,,,,,,,9.0,21.29436325678497,359.0,102.0,35.0,882.0,-0.6553101784417521,-18.346251186532616,9.344967174673613,24.94257678252444,0.0,7.0,0.12000000000000001,7.0,-0.03,0.12,9.0,0.0,150.0,False
phase66h_core_guardrail_B,2874,56478.041204623434,123.78328451492253,-37.427205516587414,1.601733344229565,2.236598263339119,41.61447459986082,8.002783576896313,45.26791927627001,5.11482254697286,777,3964.41350011416,103.77268315033628,-37.42720551658739,2331.170346830138,170.5538324435443,-26.138750665684906,149.9093451554409,113.89699075216568,-20.80923724935961,phase66h_core_guardrail_B,,,,,,,,,,,8.0,23.173277661795407,359.0,111.0,43.0,888.0,10.060775241395135,-13.827172521030473,24.565127377049592,34.08918225511627,0.0,7.0,0.12000000000000001,10.0,-0.03,0.12,9.0,0.0,207.14285714285717,False
phase66h_core_guardrail_C,2874,24455.941601322516,101.26092411903214,-47.05539497680535,1.465933593493686,1.9297427557245006,41.78844815588031,8.176757132915796,46.59011830201809,3.4446764091858038,790,1235.08660336309,64.53207090732798,-47.05539497680529,956.7258072275463,108.63494401488292,-37.29729822259142,149.9093451554409,113.89699075216568,-20.80923724935961,phase66h_core_guardrail_C,,,,,,,,,,,9.0,16.910229645093946,359.0,81.0,31.0,792.0,-12.461585154495253,-23.455361981248412,-14.675484865958708,-27.82970617354512,0.0,7.0,0.07,7.0,0.07,0.12,9.0,0.0,121.42857142857142,False
phase66h_core_guardrail_D,2874,24675.39789155611,101.48862592168646,-44.798360864440845,1.4734164671474468,1.9360162233628027,41.78844815588031,8.176757132915796,48.22546972860125,1.8093249826026443,822,1297.7172811885175,65.98772260645593,-44.79836086444078,1099.982220959644,117.07436518502408,-29.08810090140236,149.9093451554409,113.89699075216568,-20.80923724935961,phase66h_core_guardrail_D,,,,,,,,,,,9.0,16.075156576200417,359.0,77.0,39.0,702.0,-12.23388335184093,-21.198327868883904,-13.219833166830753,-19.39028500340396,0.0,7.0,0.07,7.0,0.07,0.16999999999999998,9.0,0.0,178.57142857142858,False
phase66h_core_guardrail_E,2874,22694.80028389981,99.36636330720287,-28.51657819771137,1.4916270526115776,1.98122801187808,41.8580375782881,7.933194154488518,47.42519137091163,2.783576896311761,805,1617.8030363765326,72.69608586622016,-28.51657819771143,1128.1557925463846,118.65136873954536,-28.516578197711418,149.9093451554409,113.89699075216568,-20.80923724935961,phase66h_core_guardrail_E,,,,,,,,,,,9.0,16.075156576200417,359.0,77.0,38.0,756.0,-14.356145966324519,-4.916545202154431,-6.511469907066527,-17.813281448882677,0.0,10.0,0.12000000000000001,10.0,0.07,0.16999999999999998,9.0,0.0,171.42857142857142,False
phase66h_core_guardrail_F,2874,20336.051828822227,96.6178759805752,-37.064113017246115,1.4762054387442982,1.9270885978689547,41.718858733472516,8.420320111343075,48.60821155184412,1.2526096033402923,827,1161.871306294811,62.758740375683345,-37.064113017246136,1233.7242887256373,124.34821159650151,-25.527311972579557,143.22095863465498,109.13402227713686,-20.80923724935961,phase66h_core_guardrail_F,,,,,,,,,,,7.0,13.987473903966595,359.0,67.0,29.0,498.0,-17.104633292952187,-13.464080021689174,-16.44881539760334,-12.116438591926524,-4.7629684750288135,10.0,0.02,7.0,0.020000000000000004,0.16999999999999998,9.0,0.0,107.14285714285714,False
