asset,selected_days,selected_days_pct,profile
TRX,120,4.175365344467641,phase66h_core_guardrail_A
DOGE,102,3.549060542797495,phase66h_core_guardrail_A
LINK,102,3.549060542797495,phase66h_core_guardrail_A
ADA,84,2.9227557411273484,phase66h_core_guardrail_A
BNB,72,2.5052192066805845,phase66h_core_guardrail_A
ETH,66,2.2964509394572024,phase66h_core_guardrail_A
AVAX,48,1.6701461377870561,phase66h_core_guardrail_A
XRP,12,0.41753653444676403,phase66h_core_guardrail_A
DOT,6,0.20876826722338201,phase66h_core_guardrail_A
TRX,174,6.05427974947808,phase66h_core_guardrail_B
LINK,150,5.219206680584551,phase66h_core_guardrail_B
DOGE,102,3.549060542797495,phase66h_core_guardrail_B
BNB,84,2.9227557411273484,phase66h_core_guardrail_B
ADA,60,2.0876826722338206,phase66h_core_guardrail_B
ETH,48,1.6701461377870561,phase66h_core_guardrail_B
AVAX,42,1.4613778705636742,phase66h_core_guardrail_B
DOT,6,0.20876826722338201,phase66h_core_guardrail_B
TRX,138,4.801670146137787,phase66h_core_guardrail_C
LINK,90,3.1315240083507305,phase66h_core_guardrail_C
ADA,66,2.2964509394572024,phase66h_core_guardrail_C
BNB,60,2.0876826722338206,phase66h_core_guardrail_C
ETH,42,1.4613778705636742,phase66h_core_guardrail_C
DOGE,42,1.4613778705636742,phase66h_core_guardrail_C
AVAX,30,1.0438413361169103,phase66h_core_guardrail_C
XRP,12,0.41753653444676403,phase66h_core_guardrail_C
DOT,6,0.20876826722338201,phase66h_core_guardrail_C
TRX,132,4.592901878914405,phase66h_core_guardrail_D
LINK,84,2.9227557411273484,phase66h_core_guardrail_D
ADA,72,2.5052192066805845,phase66h_core_guardrail_D
ETH,54,1.8789144050104383,phase66h_core_guardrail_D
BNB,48,1.6701461377870561,phase66h_core_guardrail_D
DOGE,30,1.0438413361169103,phase66h_core_guardrail_D
XRP,24,0.8350730688935281,phase66h_core_guardrail_D
DOT,12,0.41753653444676403,phase66h_core_guardrail_D
AVAX,6,0.20876826722338201,phase66h_core_guardrail_D
ETH,126,4.3841336116910234,phase66h_core_guardrail_E
LINK,90,3.1315240083507305,phase66h_core_guardrail_E
ADA,66,2.2964509394572024,phase66h_core_guardrail_E
TRX,60,2.0876826722338206,phase66h_core_guardrail_E
BNB,48,1.6701461377870561,phase66h_core_guardrail_E
DOGE,30,1.0438413361169103,phase66h_core_guardrail_E
AVAX,24,0.8350730688935281,phase66h_core_guardrail_E
DOT,12,0.41753653444676403,phase66h_core_guardrail_E
XRP,6,0.20876826722338201,phase66h_core_guardrail_E
BNB,150,5.219206680584551,phase66h_core_guardrail_F
LINK,84,2.9227557411273484,phase66h_core_guardrail_F
ADA,66,2.2964509394572024,phase66h_core_guardrail_F
DOGE,30,1.0438413361169103,phase66h_core_guardrail_F
DOT,30,1.0438413361169103,phase66h_core_guardrail_F
TRX,24,0.8350730688935281,phase66h_core_guardrail_F
XRP,18,0.6263048016701461,phase66h_core_guardrail_F
