candidate_id,candidate_name,family,scope,baseline_ref,spec_path,owner,status,lifecycle_stage,current_truth_tier,latest_run_id,latest_score,latest_rank,promotion_decision,demotion_reason,created_utc,updated_utc,notes
universe_asset_family_pruning_phase66g_production_soft_filters,universe_asset_family_pruning_phase66g_production_soft_filters,asset_family_pruning,ai_lab,"{'model_key': 'phase66g_production_soft_filters', 'paper_path': 'C:\\Users\\benda\\Desktop\\market_regime_v1\\outputs\\phase66g_production_candidate_live\\phase66g_production_soft_filters_paper.csv', 'candidate_reference': 'phase66g_production_soft_filters'}",C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\generated\universe_asset_family_pruning_phase66g_production_soft_filters.spec_ready.json,research_os_experiment_spec_generator_v1,archived,archived,,run_20260403_142422_universe_asset_family_pruning_phase66g_production_soft_filters,,,kill,,,2026-04-03 14:24:23 UTC,run_failed_exit_code_2
core_cooldown_tuning_v3,core_cooldown_tuning_v3,cooldown_tuning_v2,MRV1 CORE STRATEGY,phase67j_no_neo_main,C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\generated\core_cooldown_tuning_v3.spec_ready.json,research_os_experiment_spec_generator_v1,archived,archived,,run_20260403_170010_core_cooldown_tuning_v3,,,kill,,,2026-04-03 17:00:11 UTC,run_failed_exit_code_2
core_ranking_weight_tuning_v3,core_ranking_weight_tuning_v3,ranking_weight_tuning_v2,MRV1 CORE STRATEGY,phase67j_no_neo_main,C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\generated\core_ranking_weight_tuning_v3.spec_ready.json,research_os_experiment_spec_generator_v1,archived,archived,,run_20260403_170011_core_ranking_weight_tuning_v3,,,kill,,,2026-04-03 17:00:12 UTC,run_failed_exit_code_2
core_threshold_tuning_v3,core_threshold_tuning_v3,threshold_tuning_v2,MRV1 CORE STRATEGY,phase67j_no_neo_main,C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\generated\core_threshold_tuning_v3.spec_ready.json,research_os_experiment_spec_generator_v1,archived,archived,,run_20260403_170012_core_threshold_tuning_v3,,,kill,,,2026-04-03 17:00:13 UTC,run_failed_exit_code_2
core_ranking_weight_tuning_v4,core_ranking_weight_tuning_v4,ranking_weight_tuning_v4,MRV1 CORE STRATEGY,phase67j_no_neo_main,C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\generated\core_ranking_weight_tuning_v4.spec_ready.json,research_os_experiment_spec_generator_v1,archived,archived,,run_20260403_190505_core_ranking_weight_tuning_v4,,,kill,,,2026-04-03 19:05:08 UTC,run_failed_exit_code_2
core_signal_disagreement_veto_v1,core_signal_disagreement_veto_v1,signal_disagreement_veto,MRV1 CORE STRATEGY,phase67j_no_neo_main,C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\generated\core_signal_disagreement_veto_v1.spec_ready.json,research_os_experiment_spec_generator_v1,archived,archived,,run_20260404_063004_core_signal_disagreement_veto_v1,,,kill,,,2026-04-04 06:30:04 UTC,run_failed_exit_code_2
core_transition_state_machine_v1,core_transition_state_machine_v1,transition_state_machine,MRV1 CORE STRATEGY,phase67j_no_neo_main,C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\generated\core_transition_state_machine_v1.spec_ready.json,research_os_experiment_spec_generator_v1,archived,archived,,run_20260404_063005_core_transition_state_machine_v1,,,kill,,,2026-04-04 06:30:05 UTC,run_failed_exit_code_2
core_trend_acceleration_confirmation_v1,core_trend_acceleration_confirmation_v1,trend_acceleration_confirmation,MRV1 CORE STRATEGY,phase67j_no_neo_main,C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\generated\core_trend_acceleration_confirmation_v1.spec_ready.json,research_os_experiment_spec_generator_v1,archived,archived,,run_20260404_063006_core_trend_acceleration_confirmation_v1,,,kill,,,2026-04-04 06:30:06 UTC,run_failed_exit_code_2
core_loss_shape_response_v1,core_loss_shape_response_v1,loss_shape_response,MRV1 CORE STRATEGY,phase67j_no_neo_main,C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\generated\core_loss_shape_response_v1.spec_ready.json,research_os_experiment_spec_generator_v1,archived,archived,,run_20260404_063007_core_loss_shape_response_v1,,,kill,,,2026-04-04 06:30:08 UTC,run_failed_exit_code_2
core_leader_fragility_filter_v1,core_leader_fragility_filter_v1,leader_fragility_filter,MRV1 CORE STRATEGY,phase67j_no_neo_main,C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\generated\core_leader_fragility_filter_v1.spec_ready.json,research_os_experiment_spec_generator_v1,archived,archived,,run_20260404_080431_core_leader_fragility_filter_v1,,,kill,,,2026-04-04 08:04:32 UTC,run_failed_exit_code_2
core_regime_reentry_proof_v1,core_regime_reentry_proof_v1,regime_reentry_proof,MRV1 CORE STRATEGY,phase67j_no_neo_main,C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\generated\core_regime_reentry_proof_v1.spec_ready.json,research_os_experiment_spec_generator_v1,archived,archived,,run_20260404_080432_core_regime_reentry_proof_v1,,,kill,,,2026-04-04 08:04:33 UTC,run_failed_exit_code_2
core_baseline_relative_edge_gate_v1,core_baseline_relative_edge_gate_v1,baseline_relative_edge_gate,MRV1 CORE STRATEGY,phase67j_no_neo_main,C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\generated\core_baseline_relative_edge_gate_v1.spec_ready.json,research_os_experiment_spec_generator_v1,archived,archived,,run_20260404_084258_core_baseline_relative_edge_gate_v1,,,kill,,,2026-04-04 08:42:59 UTC,run_failed_exit_code_2
core_breadth_dispersion_corridor_v1,core_breadth_dispersion_corridor_v1,breadth_dispersion_corridor,MRV1 CORE STRATEGY,phase67j_no_neo_main,C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\generated\core_breadth_dispersion_corridor_v1.spec_ready.json,research_os_experiment_spec_generator_v1,archived,archived,,run_20260404_084259_core_breadth_dispersion_corridor_v1,,,kill,,,2026-04-04 08:43:00 UTC,run_failed_exit_code_2
core_downside_asymmetry_veto_v1,core_downside_asymmetry_veto_v1,downside_asymmetry_veto,MRV1 CORE STRATEGY,phase67j_no_neo_main,C:\Users\benda\Desktop\market_regime_v1\research_os\experiment_specs\generated\core_downside_asymmetry_veto_v1.spec_ready.json,research_os_experiment_spec_generator_v1,archived,archived,,run_20260404_084300_core_downside_asymmetry_veto_v1,,,kill,,,2026-04-04 08:43:01 UTC,run_failed_exit_code_2
