model,label,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,missed_leader_pct_of_in_market,pain_bar_pct_of_in_market,sum_leader_gap_ret,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2021_trade_count,since2021_cash_days_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2023_trade_count,since2023_cash_days_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,since2025_trade_count,since2025_cash_days_pct,targets,lt_min,st_min,xs20_min
phase60_restore_trx_sol_base,Restore TRX/SOL - base,20083.68,95.71,-36.25,1.48,1.921,199,69.81,87.73,69.15,49.3366,1149.24,61.91,-36.25,153,68.56,681.21,88.54,-36.25,125,57.47,125.86,92.89,-22.56,32,65.86,"SOLUSDT,TRXUSDT",55.0,40.0,30.0
phase60_restore_trx_sol_loose,Restore TRX/SOL - loose,18061.36,93.12,-36.25,1.454,1.893,204,69.77,87.74,69.3,49.4337,1056.58,59.55,-36.25,153,68.51,645.19,85.82,-36.25,125,57.47,125.86,92.89,-22.56,32,65.86,"SOLUSDT,TRXUSDT",50.0,35.0,25.0
phase60_restore_trx_only_base,Restore TRX only - base,19050.08,94.42,-36.25,1.468,1.905,199,69.81,87.84,69.27,49.3923,1085.27,60.29,-36.25,153,68.56,641.2,85.51,-36.25,125,57.47,125.22,92.44,-22.56,32,65.86,TRXUSDT,55.0,40.0,30.0
phase60_phase42_core,Phase42 core,15300.6,89.13,-36.56,1.415,1.855,213,69.53,87.05,69.43,49.9826,1071.17,59.93,-36.56,148,68.46,675.47,88.11,-36.25,118,57.47,120.5,89.19,-19.53,30,65.86,none,,,
phase60_restore_trx_sol_strict,Restore TRX/SOL - strict,20903.77,96.7,-36.25,1.476,1.941,199,69.84,87.83,69.12,49.1987,1111.69,60.97,-36.25,153,68.56,657.72,86.77,-36.25,125,57.47,119.07,88.2,-22.56,32,65.86,"SOLUSDT,TRXUSDT",60.0,45.0,35.0
phase60_restore_sol_only_base,Restore SOL only - base,18838.89,94.14,-36.25,1.464,1.872,194,69.81,87.84,68.92,49.4129,1072.2,59.96,-36.25,148,68.56,609.36,83.01,-36.25,120,57.47,100.65,75.33,-22.56,32,65.86,SOLUSDT,55.0,40.0,30.0
