model,label,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,trade_count,cash_days_pct,missed_leader_pct_of_in_market,pain_bar_pct_of_in_market,sum_leader_gap_ret,recent_total_return_pct,recent_cagr_pct,recent_max_drawdown_pct,recent_trade_count,recent_cash_days_pct
phase51_main_current,Current main,15300.6,89.72,-36.56,1.418,1.864,213,69.38,87.05,69.43,49.9826,120.5,93.07,-19.53,30,64.77
phase51_btc_top_override,BTC top-score override,15300.6,89.72,-36.56,1.418,1.864,213,69.38,87.05,69.43,49.9826,120.5,93.07,-19.53,30,64.77
phase51_btc_gap_override,BTC score-gap override,15300.6,89.72,-36.56,1.418,1.864,213,69.38,87.05,69.43,49.9826,120.5,93.07,-19.53,30,64.77
phase51_btc_trend_override,BTC trend override,9827.83,79.42,-36.56,1.353,1.68,203,69.38,87.84,69.89,50.5278,120.5,93.07,-19.53,30,64.77
