window,ts,main_selected,prev_selected,ret_diff_main_minus_prev
since_2021,2021-11-14,TRXUSDT,BNBUSDT,0.0812413544933517
since_2021,2024-01-07,BTCUSDT,BNBUSDT,0.0644943069464206
since_2021,2021-08-31,ETHUSDT,BNBUSDT,0.0639824990086158
since_2021,2021-11-01,ETHUSDT,BNBUSDT,0.0599916704118137
since_2021,2021-08-23,CASH,BNBUSDT,0.0564833687332184
since_2021,2024-02-19,ETHUSDT,LINKUSDT,0.0515574906914358
since_2021,2024-01-12,TRXUSDT,BNBUSDT,0.0473818011846731
since_2021,2024-02-13,AVAXUSDT,LINKUSDT,0.0467845998993458
since_2021,2024-01-21,TRXUSDT,BNBUSDT,0.0461661638069491
since_2021,2021-11-07,ETHUSDT,BNBUSDT,0.036356454488981206
since_2021,2021-11-16,ETHUSDT,BNBUSDT,0.033713515136466296
since_2021,2024-02-18,ETHUSDT,LINKUSDT,0.0333392582977596
since_2021,2023-12-30,TRXUSDT,BNBUSDT,0.032664890601753
since_2021,2021-11-09,CASH,BNBUSDT,0.0314133858267716
since_2021,2025-01-01,ETHUSDT,BNBUSDT,0.027603182359483197
since_2021,2024-01-05,BTCUSDT,BNBUSDT,0.0274913159204798
since_2021,2024-12-28,BTCUSDT,BNBUSDT,0.024582754812047598
since_2021,2025-09-02,ETHUSDT,BNBUSDT,0.0221763406671026
since_2021,2021-10-25,ETHUSDT,BTCUSDT,0.0195431454273401
since_2021,2024-01-18,TRXUSDT,BNBUSDT,0.019486751688374
since_2023,2024-01-07,BTCUSDT,BNBUSDT,0.0644943069464206
since_2023,2024-02-19,ETHUSDT,LINKUSDT,0.0515574906914358
since_2023,2024-01-12,TRXUSDT,BNBUSDT,0.0473818011846731
since_2023,2024-02-13,AVAXUSDT,LINKUSDT,0.0467845998993458
since_2023,2024-01-21,TRXUSDT,BNBUSDT,0.0461661638069491
since_2023,2024-02-18,ETHUSDT,LINKUSDT,0.0333392582977596
since_2023,2023-12-30,TRXUSDT,BNBUSDT,0.032664890601753
since_2023,2025-01-01,ETHUSDT,BNBUSDT,0.027603182359483197
since_2023,2024-01-05,BTCUSDT,BNBUSDT,0.0274913159204798
since_2023,2024-12-28,BTCUSDT,BNBUSDT,0.024582754812047598
since_2023,2025-09-02,ETHUSDT,BNBUSDT,0.0221763406671026
since_2023,2024-01-18,TRXUSDT,BNBUSDT,0.019486751688374
since_2023,2024-01-04,BTCUSDT,BNBUSDT,0.0160178667668798
since_2023,2023-12-28,BTCUSDT,BNBUSDT,0.0159162085910419
since_2023,2024-01-06,BTCUSDT,BNBUSDT,0.0156915404812086
since_2023,2024-02-11,AVAXUSDT,LINKUSDT,0.012635883228664498
since_2023,2025-01-09,BTCUSDT,BNBUSDT,0.0122084980943704
since_2023,2025-09-29,TRXUSDT,BNBUSDT,0.011163219657888102
since_2023,2025-01-05,BTCUSDT,BNBUSDT,0.010983556198218301
since_2023,2024-01-01,TRXUSDT,BNBUSDT,0.0099023932920783
since_2025,2025-01-01,ETHUSDT,BNBUSDT,0.027603182359483197
since_2025,2025-09-02,ETHUSDT,BNBUSDT,0.0221763406671026
since_2025,2025-01-09,BTCUSDT,BNBUSDT,0.0122084980943704
since_2025,2025-09-29,TRXUSDT,BNBUSDT,0.011163219657888102
since_2025,2025-01-05,BTCUSDT,BNBUSDT,0.010983556198218301
since_2025,2025-08-30,ETHUSDT,BNBUSDT,0.0091916354382956
since_2025,2025-01-04,BTCUSDT,BNBUSDT,0.0072321080582611
since_2025,2025-08-29,ETHUSDT,BNBUSDT,0.0064486961779384
since_2025,2025-09-30,TRXUSDT,BNBUSDT,0.0058428582118688
since_2025,2025-09-16,DOGEUSDT,DOGEUSDT,0.0030000000000000027
since_2025,2025-01-06,BTCUSDT,BTCUSDT,0.0029999999999999957
since_2025,2025-01-03,BTCUSDT,BNBUSDT,0.0025281036506098996
since_2025,2025-01-28,ETHUSDT,BNBUSDT,0.0016539869948878991
since_2025,2025-09-15,DOGEUSDT,AVAXUSDT,5.4969448525999526e-05
since_2025,2025-01-11,XRPUSDT,XRPUSDT,0.0
since_2025,2025-01-12,XRPUSDT,XRPUSDT,0.0
since_2025,2025-01-13,XRPUSDT,XRPUSDT,0.0
since_2025,2025-01-14,XRPUSDT,XRPUSDT,0.0
since_2025,2025-01-15,SOLUSDT,SOLUSDT,0.0
since_2025,2025-01-16,SOLUSDT,SOLUSDT,0.0
