window,label,selected,days_held,share_of_in_market_days_pct
since_2021,Predosly lider,BTCUSDT,181,29.97
since_2021,Predosly lider,ETHUSDT,135,22.35
since_2021,Predosly lider,TRXUSDT,98,16.23
since_2021,Predosly lider,BNBUSDT,84,13.91
since_2021,Predosly lider,LTCUSDT,45,7.45
since_2021,Predosly lider,SOLUSDT,30,4.97
since_2021,Predosly lider,LINKUSDT,11,1.82
since_2021,Predosly lider,AVAXUSDT,7,1.16
since_2021,Predosly lider,DOGEUSDT,6,0.99
since_2021,Predosly lider,XRPUSDT,4,0.66
since_2021,Hlavna strategia,BTCUSDT,196,32.56
since_2021,Hlavna strategia,ETHUSDT,165,27.41
since_2021,Hlavna strategia,TRXUSDT,119,19.77
since_2021,Hlavna strategia,LTCUSDT,45,7.48
since_2021,Hlavna strategia,SOLUSDT,34,5.65
since_2021,Hlavna strategia,BNBUSDT,16,2.66
since_2021,Hlavna strategia,AVAXUSDT,8,1.33
since_2021,Hlavna strategia,DOGEUSDT,7,1.16
since_2021,Hlavna strategia,LINKUSDT,5,0.83
since_2021,Hlavna strategia,XRPUSDT,4,0.66
since_2023,Predosly lider,BTCUSDT,144,28.57
since_2023,Predosly lider,TRXUSDT,96,19.05
since_2023,Predosly lider,ETHUSDT,91,18.06
since_2023,Predosly lider,BNBUSDT,67,13.29
since_2023,Predosly lider,LTCUSDT,45,8.93
since_2023,Predosly lider,SOLUSDT,30,5.95
since_2023,Predosly lider,LINKUSDT,11,2.18
since_2023,Predosly lider,AVAXUSDT,7,1.39
since_2023,Predosly lider,DOGEUSDT,6,1.19
since_2023,Predosly lider,XRPUSDT,4,0.79
since_2023,Hlavna strategia,BTCUSDT,162,32.14
since_2023,Hlavna strategia,TRXUSDT,115,22.82
since_2023,Hlavna strategia,ETHUSDT,105,20.83
since_2023,Hlavna strategia,LTCUSDT,45,8.93
since_2023,Hlavna strategia,SOLUSDT,34,6.75
since_2023,Hlavna strategia,BNBUSDT,16,3.17
since_2023,Hlavna strategia,AVAXUSDT,8,1.59
since_2023,Hlavna strategia,DOGEUSDT,7,1.39
since_2023,Hlavna strategia,LINKUSDT,5,0.99
since_2023,Hlavna strategia,XRPUSDT,4,0.79
since_2025,Predosly lider,ETHUSDT,43,27.74
since_2025,Predosly lider,BTCUSDT,41,26.45
since_2025,Predosly lider,BNBUSDT,34,21.94
since_2025,Predosly lider,SOLUSDT,14,9.03
since_2025,Predosly lider,TRXUSDT,11,7.1
since_2025,Predosly lider,AVAXUSDT,6,3.87
since_2025,Predosly lider,XRPUSDT,4,2.58
since_2025,Predosly lider,DOGEUSDT,2,1.29
since_2025,Hlavna strategia,ETHUSDT,51,32.9
since_2025,Hlavna strategia,BTCUSDT,48,30.97
since_2025,Hlavna strategia,TRXUSDT,18,11.61
since_2025,Hlavna strategia,SOLUSDT,15,9.68
since_2025,Hlavna strategia,BNBUSDT,11,7.1
since_2025,Hlavna strategia,AVAXUSDT,5,3.23
since_2025,Hlavna strategia,XRPUSDT,4,2.58
since_2025,Hlavna strategia,DOGEUSDT,3,1.94
