window,label,cash_days_pct,trade_count,days
since_2021,Predosly lider,68.23,147,1901
since_2021,Hlavna strategia,68.33,148,1901
since_2023,Predosly lider,56.96,119,1171
since_2023,Hlavna strategia,56.96,120,1171
since_2025,Predosly lider,64.77,32,440
since_2025,Hlavna strategia,64.77,32,440
