signal_data_day,selected_asset,target_exposure,source_file,source_row,signal_available_at,availability_basis,availability_source_file
2018-06-11,CASH,0.0,signal_lineage.csv,39,2018-06-12 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-12,CASH,0.0,signal_lineage.csv,40,2018-06-13 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-13,CASH,0.0,signal_lineage.csv,41,2018-06-14 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-14,CASH,0.0,signal_lineage.csv,42,2018-06-15 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-15,CASH,0.0,signal_lineage.csv,43,2018-06-16 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-16,CASH,0.0,signal_lineage.csv,44,2018-06-17 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-17,CASH,0.0,signal_lineage.csv,45,2018-06-18 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-18,CASH,0.0,signal_lineage.csv,46,2018-06-19 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-19,CASH,0.0,signal_lineage.csv,47,2018-06-20 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-20,CASH,0.0,signal_lineage.csv,48,2018-06-21 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-21,CASH,0.0,signal_lineage.csv,49,2018-06-22 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-22,CASH,0.0,signal_lineage.csv,50,2018-06-23 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-23,CASH,0.0,signal_lineage.csv,51,2018-06-24 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-24,CASH,0.0,signal_lineage.csv,52,2018-06-25 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-25,CASH,0.0,signal_lineage.csv,53,2018-06-26 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-26,CASH,0.0,signal_lineage.csv,54,2018-06-27 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-27,CASH,0.0,signal_lineage.csv,55,2018-06-28 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-28,CASH,0.0,signal_lineage.csv,56,2018-06-29 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-29,CASH,0.0,signal_lineage.csv,57,2018-06-30 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-06-30,CASH,0.0,signal_lineage.csv,58,2018-07-01 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-01,CASH,0.0,signal_lineage.csv,59,2018-07-02 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-02,CASH,0.0,signal_lineage.csv,60,2018-07-03 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-03,CASH,0.0,signal_lineage.csv,61,2018-07-04 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-04,CASH,0.0,signal_lineage.csv,62,2018-07-05 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-05,CASH,0.0,signal_lineage.csv,63,2018-07-06 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-06,CASH,0.0,signal_lineage.csv,64,2018-07-07 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-07,CASH,0.0,signal_lineage.csv,65,2018-07-08 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-08,CASH,0.0,signal_lineage.csv,66,2018-07-09 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-09,CASH,0.0,signal_lineage.csv,67,2018-07-10 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-10,CASH,0.0,signal_lineage.csv,68,2018-07-11 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-11,CASH,0.0,signal_lineage.csv,69,2018-07-12 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-12,CASH,0.0,signal_lineage.csv,70,2018-07-13 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-13,CASH,0.0,signal_lineage.csv,71,2018-07-14 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-14,CASH,0.0,signal_lineage.csv,72,2018-07-15 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-15,CASH,0.0,signal_lineage.csv,73,2018-07-16 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-16,CASH,0.0,signal_lineage.csv,74,2018-07-17 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-17,CASH,0.0,signal_lineage.csv,75,2018-07-18 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-18,CASH,0.0,signal_lineage.csv,76,2018-07-19 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-19,CASH,0.0,signal_lineage.csv,77,2018-07-20 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-20,CASH,0.0,signal_lineage.csv,78,2018-07-21 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-21,CASH,0.0,signal_lineage.csv,79,2018-07-22 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-22,CASH,0.0,signal_lineage.csv,80,2018-07-23 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-23,CASH,0.0,signal_lineage.csv,81,2018-07-24 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-24,CASH,0.0,signal_lineage.csv,82,2018-07-25 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-25,CASH,0.0,signal_lineage.csv,83,2018-07-26 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-26,CASH,0.0,signal_lineage.csv,84,2018-07-27 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-27,CASH,0.0,signal_lineage.csv,85,2018-07-28 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-28,CASH,0.0,signal_lineage.csv,86,2018-07-29 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-29,CASH,0.0,signal_lineage.csv,87,2018-07-30 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-30,CASH,0.0,signal_lineage.csv,88,2018-07-31 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-07-31,CASH,0.0,signal_lineage.csv,89,2018-08-01 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-01,CASH,0.0,signal_lineage.csv,90,2018-08-02 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-02,CASH,0.0,signal_lineage.csv,91,2018-08-03 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-03,CASH,0.0,signal_lineage.csv,92,2018-08-04 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-04,CASH,0.0,signal_lineage.csv,93,2018-08-05 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-05,CASH,0.0,signal_lineage.csv,94,2018-08-06 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
2018-08-06,CASH,0.0,signal_lineage.csv,95,2018-08-07 12:00:00+00:00,assumed_D_plus_1_12UTC_no_complete_historical_runtime_log,documented_proxy_schedule
