policy,group,key,log_growth,annual_cost_fraction,annual_turnover,event_count
aggressive_1.25__calmar,event,entry,-0.16610996989552243,0.028958441198003285,19.971338757243657,191
aggressive_1.25__calmar,event,funding,-0.21944538717815676,0.03827314256512343,0.0,1366
aggressive_1.25__calmar,event,mark,0.8652502154338885,0.0,0.0,5417
aggressive_1.25__calmar,event,rotation,-0.14045404773338593,0.024485891712724837,16.886821870844713,164
aggressive_1.25__calmar,event,resize,-0.018157595500272874,0.003166632536608044,2.1838845080055456,212
aggressive_1.25__calmar,event,stop,-0.018608336935379853,0.003243964769543569,2.2372170824438395,23
aggressive_1.25__calmar,event,boundary_exit,-0.0019344627281241997,0.0003373340243043834,0.23264415469267818,4
aggressive_1.25__calmar,regime,up_normal_vol,0.5134779456913234,0.0763064844049462,33.11950961462509,5476
aggressive_1.25__calmar,regime,up_high_vol,-0.04826801559460414,0.0005823294939139348,0.32011857475811295,92
aggressive_1.25__calmar,regime,down_high_vol,-0.07364492676302258,0.0011340710217598987,0.6621077190325049,78
aggressive_1.25__calmar,regime,down_normal_vol,-0.09102458787065136,0.02044252188568752,7.410170464814722,1731
aggressive_1.25__calmar,asset,LTC,0.06355150567959214,0.004246441160924751,2.3779873466865125,113
aggressive_1.25__calmar,asset,DOGE,0.05776341338758685,0.0045408045688571765,2.1181608066541195,591
aggressive_1.25__calmar,asset,ADA,-0.19329657913259712,0.004308819651172253,2.350421821183346,191
aggressive_1.25__calmar,asset,LINK,-0.0567688623345164,0.007002712085499165,3.680229540971974,345
aggressive_1.25__calmar,asset,BNB,-0.4207951196509475,0.01022683739389632,4.196877003866977,704
aggressive_1.25__calmar,asset,BTC,0.10297999649957182,0.0074551122449084415,3.447245344552898,323
aggressive_1.25__calmar,asset,TRX,0.5754894937622761,0.02380931319400758,7.16848081720619,1892
aggressive_1.25__calmar,asset,XRP,-0.01767104731955347,0.008040115642922799,3.50328455855711,984
aggressive_1.25__calmar,asset,ETH,-0.029153873098288964,0.008066518049497203,3.733089063895575,594
aggressive_1.25__calmar,asset,SOL,0.0475558799368251,0.011777948644907856,5.185945890600039,868
aggressive_1.25__calmar,asset,AVAX,0.19180560613029424,0.007277900709996652,2.981227986351915,667
aggressive_1.25__calmar,asset,DOT,-0.020919998397197086,0.0017128834597173262,0.7689561927037895,105
aggressive_1.25__calmar,cost,fee,,0.01868035786795369,0.0,0
aggressive_1.25__calmar,cost,slippage,,0.04151190637323042,0.0,0
aggressive_1.25__calmar,cost,funding,,0.03827314256512343,0.0,0
aggressive_1.25__defensive,event,entry,-0.0816212508139786,0.014233002525630159,9.815863810779417,203
aggressive_1.25__defensive,event,funding,-0.1188005122180679,0.02072059321725393,0.0,1193
aggressive_1.25__defensive,event,mark,0.4834881135479789,0.0,0.0,4704
aggressive_1.25__defensive,event,rotation,-0.060191113716451,0.010496188498978128,7.238750688950429,153
