policy,ablation,delta_cagr,delta_dd,cagr,max_drawdown,calmar,sharpe,total_return,turnover,cost_drag,max_realized_exposure,without_best_day_cagr,without_top_three_trades_cagr,asset_log_growth_share,trade_log_growth_share,net_log_growth,asset_log_growth,trade_log_growth_sum,log_reconciliation_error,trade_log_reconciliation_error,bankrupt,days,closed_episodes,fold_returns,profitable_fold_fraction,worst_fold_return
robust_1.25__calmar,no_fee,0.019338605777915463,-0.015184954082861468,0.0843263658294473,0.7028699743186284,0.1199743464802212,0.41930233944807344,0.5906494388599199,40.10695087405224,0.07366310032836856,1.1418390763589235,0.060335670120117646,-0.04731123987751429,1.2537256751211179,0.7494521775067052,0.46414238495144144,"[-0.1872585039461638, 0.1552926980998513, -0.2949676849787833, 0.11321018695737452, -0.03723039370388277, -0.0743437735292986, -0.027336543196367274, -0.047272684127995686, 0.06968872717098737, 0.159875281462791, 0.5819072249255717, 0.052577849817354805]",0.4641423849514397,2.1649348980190553e-15,1.7208456881689926e-15,False,2094,199,"[0.8072978430846596, -0.0970626918595544, -0.24403424614762148, 0.05384037554356391, 0.129058023961087, 0.08366221688480091]",0.6666666666666666,-0.24403424614762148
robust_1.25__calmar,no_slippage,0.04382076303680149,-0.035018089895883286,0.10880852308833333,0.6830368385056066,0.1593011049395108,0.4942715147738175,0.8078621163689741,40.11569551639205,0.051613850112808245,1.1418390763589237,0.08423998194361237,-0.026304334627515358,1.016543271379964,0.589079303515218,0.5921449959915501,"[-0.18004346706351818, 0.1666486968632214, -0.2836247584489742, 0.12410551200404807, -0.03148875605092118, -0.07193169276760582, -0.016087129111990273, -0.0356655307053034, 0.07718976049028099, 0.1769294670059828, 0.6019410113565261, 0.06417188241979921]",0.5921449959915461,4.6629367034256575e-15,3.9968028886505635e-15,False,2094,199,"[0.8644177750828133, -0.09276987807126125, -0.19272607925676566, 0.06605826904490653, 0.14060560742058326, 0.08884795553403602]",0.6666666666666666,-0.19272607925676566
robust_1.25__calmar,no_funding,0.036392175536418714,-0.016591377288803777,0.10137993558795055,0.7014635511126861,0.14452630564644184,0.47180725312040805,0.7395152406210697,40.08496191083314,0.058123194770708056,1.1405889262424564,0.07701028992204506,-0.032976083701579784,1.1448382158152035,0.6301449582371602,0.5536064770667726,"[-0.1880456734834544, 0.16047070903206156, -0.2866162780745807, 0.11798772545434032, -0.0361051564196318, -0.07309827032023228, -0.021400479252678545, -0.04720860085014545, 0.06809478314142241, 0.16653938891695663, 0.6337898514688642, 0.05919847745384505]",0.5536064770667681,5.440092820663267e-15,4.440892098500626e-15,False,2094,199,"[0.8147801836894883, -0.09805125576040219, -0.2351976534431094, 0.08221368510510896, 0.1539868939271276, 0.11265171526776863]",0.6666666666666666,-0.2351976534431094
robust_1.25__calmar,zero_cost,0.10245343951966279,-0.07181644056376701,0.16744119957119463,0.6462384878377229,0.25910124934131257,0.6674251170727734,1.4291948335639497,40.108011132168755,0.0,1.140588926242456,0.14150950336893664,0.02363145280779344,0.7743382525041292,0.39592085689506185,0.8875598582334665,"[-0.16896694812998564, 0.1904067740713646, -0.2567200129890398, 0.14670174510083267, -0.021411214324508362, -0.06674132874917874, 0.008250574072826103, -0.01661324491113977, 0.08786658666560443, 0.20775698158471356, 0.6872715496173152, 0.08975839622466952]",0.8875598582334743,7.327471962526033e-15,7.771561172376096e-15,False,2094,199,"[0.9699007437959941, -0.08670502191394469, -0.09459064904819181, 0.11561278592690316, 0.18536826349623614, 0.12770415606711838]",0.6666666666666666,-0.09459064904819181
robust_1.25__calmar,no_protection,0.02295650859275855,0.0009108800836459263,0.08794426864429039,0.7189658084851358,0.12232051594997176,0.41864948622782167,0.6213175974886604,38.72661832016527,0.09329558009598661,1.1432073793822597,0.04891696306219284,-0.05472540993239072,1.2529691847050048,0.855418063512352,0.4832391504523595,"[-0.2225793245121852, 0.21040372184266512, -0.331585432078732, 0.10297999649957286, -0.0013902823373942313, -0.02091999839719591, -0.03654052356466995, -0.056768862334516466, 0.04170140431843927, 0.17303675486412118, 0.6054837643598321, 0.01941793179241547]",0.4832391504523528,7.271960811294775e-15,6.716849298982197e-15,False,2094,189,"[0.6821587308105386, -0.100559871239977, -0.15356421024243005, 0.04672203299855293, 0.12048462125693549, 0.07943769055375882]",0.6666666666666666,-0.15356421024243005
robust_1.25__calmar,no_resize,0.026559383615925913,-9.22625500925367e-05,0.09154714366745775,0.7179626658513973,0.12750961578050357,0.4292913020745452,0.6523418538677785,39.216259597448186,0.09316084562911943,1.1418390763589237,0.05899029905568565,-0.0692277335976248,1.2701344016135763,0.8996996291391477,0.5021935870250442,"[-0.19700458399874363, 0.11793872320436091, -0.321919924754054, 0.11153573742636443, 0.04631550309129833, -0.07683354628506579, -0.012761094615412182, -0.05412660457318171, 0.06237067212573541, 0.21768698162502775, 0.63785335115023, -0.02886162737152298]",0.5021935870250371,7.66053886991358e-15,7.105427357601002e-15,False,2094,199,"[1.0452198046504848, -0.09923046200328067, -0.2877513602427937, 0.1046885369246684, 0.06281650026515351, 0.07254731272505888]",0.6666666666666666,-0.2877513602427937
robust_1.25__calmar,BTC_substitution,-0.04402241156249276,-0.4522321912346654,0.020965348489039082,0.2658227371668245,0.0788696584516835,0.21071246055003628,0.12631693312890047,10.468313637477666,0.0420512863548901,1.134539451879404,0.005709892357787849,-0.04801394616572163,1.0000000000000224,1.3698752540180577,0.11895295825566632,"[0.0, 0.0, 0.0, 0.118952958255669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.11895295825566904,2.67841304690819e-15,2.7200464103316335e-15,False,2094,42,"[-0.045156796753365924, -0.06226971317306629, 0.12336499866509243, 0.1430079469136536, -0.0469543631346494, 0.027937651335002034]",0.5,-0.06226971317306629
robust_1.25__calmar,entry_plus_one,0.025529062128144764,-0.07744609787542045,0.0905168221796766,0.6406088305260694,0.14129811808142573,0.47029318887785865,0.6434201757602973,28.19160368337619,0.06781697474981599,1.1435534436816623,0.059942973837561864,-0.026718429107915442,0.8198513685744847,0.5283785284377125,0.49677954328047214,"[-0.1550877267733301, 0.40728538843830253, -0.19635750223059706, 0.06538306784459386, 0.17505423602213055, -0.1036457474927816, 0.04765222767730827, 0.01292454321622134, -0.05808018724122138, 0.10588916521476278, 0.31594898606914473, -0.12018690746406327]",0.4967795432804707,1.4432899320127035e-15,1.4432899320127035e-15,False,2094,135,"[0.8170945839626427, -0.006370164643441978, -0.3163532124179661, 0.23204121675135303, 0.0670898109496092, 0.012717860929470692]",0.6666666666666666,-0.3163532124179661
robust_1.25__calmar,all_signals_plus_one,0.08630811391564519,-0.0986365415227286,0.15129587396717703,0.6194183868787613,0.2442547350419389,0.6099514928185572,1.242789002115026,39.49303819845872,0.09138934936742935,1.1411446681837045,0.11902384907377761,0.0309873196827275,0.4897145650508026,0.28174970158010343,0.8077201816148318,"[-0.2964920362650918, 0.39555233742226265, -0.19513954019005994, 0.13981339847936092, 0.11893960610841249, -0.04940513843546748, 0.2232015830550171, 0.11503076285042847, 0.05400574893512986, 0.16788027334863914, 0.1891704371329864, -0.05483725082678937]",0.8077201816148285,3.219646771412954e-15,3.3306690738754696e-15,False,2094,195,"[0.7760220122303281, -0.09018312882625523, 0.056838436368635614, 0.12997466335853947, 0.09590806418035913, 0.06055857441368362]",0.8333333333333334,-0.09018312882625523
robust_1.25__growth,no_fee,0.02081171923498637,-0.012694189368436248,0.05072739557495809,0.748450529079882,0.067776551160062,0.313181453716335,0.32801741223860703,44.53345418001016,0.07996949871721812,1.1418390763589237,0.02748007630368554,-0.0738458699048603,2.013373743767804,1.226183511071181,0.28368716259374005,"[-0.1583600008157239, 0.11834239625325657, -0.4459865166062074, 0.11303914949150118, -0.037230393703883105, -0.0743437735292986, 0.05466026878994936, 0.062432520524205753, 0.06968872717098727, 0.007677170947729042, 0.5711682846102241, 0.0025993294609910457]",0.2836871625937315,8.770761894538737e-15,8.548717289613705e-15,False,2094,209,"[0.8072978430846596, -0.0970626918595544, -0.38450808820892934, 0.05384037554356391, 0.20664945536584844, 0.039772043121516054]",0.6666666666666666,-0.38450808820892934
