policy,episode,asset,entry,exit,days,exit_reason,net_log_growth,raw_asset_return,matched_BTC_open_return,matched_asset_minus_BTC,preceding_30_day_return,following_entry_7_day_raw_return,following_exit_7_day_raw_return
robust_1.25__calmar,2021/1,LTC,2021-01-01,2021-01-03,2,rotation,0.04268746872906422,0.10239896957011752,0.11246237073285759,-0.010063401162740071,0.48374215630347983,0.3861696989212686,0.24193077260113927
robust_1.25__calmar,2021/2,DOGE,2021-01-03,2021-01-04,1,stop,-0.0011733617514743371,-0.12989982754769347,,,0.6892695693552224,-0.06693904698560493,-0.03546534551320313
robust_1.25__calmar,2021/3,ADA,2021-01-14,2021-01-17,3,rotation,0.03687662671757969,0.12196761185431737,-0.03683032309751455,0.15879793495183192,0.8751135921069715,-0.01475388849772774,0.008215192400947036
robust_1.25__calmar,2021/4,DOGE,2021-01-17,2021-01-18,1,rotation,-0.0028461228073104433,-0.015015047524195135,-0.004722602985194224,-0.010292444539000911,1.7360091273440013,-0.05671509299153432,-0.08218756525657511
robust_1.25__calmar,2021/5,ADA,2021-01-18,2021-01-21,3,rotation,-0.005510292458691477,-0.013892901226462251,-0.00995841171204781,-0.003934489514414441,1.1468535749265425,-0.09898363841689206,-0.0835996591030147
robust_1.25__calmar,2021/6,DOGE,2021-01-21,2021-01-22,1,rotation,-0.016067516689486402,-0.09943812162624599,-0.13015140592017138,0.03071328429392539,0.9496776697354521,3.029131572265948,4.627033255292286
robust_1.25__calmar,2021/7,ADA,2021-01-22,2021-01-23,1,rotation,0.040031019928525605,0.1317481972325083,0.0680024205894012,0.0637457766431071,1.4566042675742898,0.12882479048918327,0.04471614717869232
robust_1.25__calmar,2021/8,DOGE,2021-01-23,2021-01-24,1,rotation,0.0008358090267845197,0.008578949842523498,-0.026464339908952916,0.035043289751476414,0.8065280453508714,2.321111267804259,3.3112488639276645
robust_1.25__calmar,2021/9,ADA,2021-01-24,2021-01-25,1,rotation,0.005353823047481937,0.022299349240780808,0.0056565247209925396,0.01664282451978827,1.557169050238357,-0.002892263195950817,0.15645334691337065
robust_1.25__calmar,2021/10,LINK,2021-01-25,2021-01-30,5,rotation,-0.024755654990417944,-0.0824163412823905,0.061589084748810086,-0.1440054260312006,1.143427465348588,-0.07726531995224117,0.10001318797256897
robust_1.25__calmar,2021/11,DOGE,2021-01-30,2021-01-30,0,stop,-0.007443258871526683,-0.20540154461285376,,,7.10883764329512,0.255958384434245,0.5806202188277771
robust_1.25__calmar,2021/12,DOGE,2021-02-09,2021-02-20,11,rotation,-0.010892604789296451,-0.3010652997774911,0.20552385495072123,-0.5065891547282123,7.000482546201232,-0.3208396411407902,-0.09013682699471226
robust_1.25__calmar,2021/13,BNB,2021-02-20,2021-02-20,0,stop,-0.04139766212963474,-0.1461190104531256,,,3.5997446154063226,-0.32361656461233557,-0.20787153752351584
robust_1.25__calmar,2021/14,BNB,2021-03-09,2021-03-14,5,rotation,0.023924767200701972,0.1474509230633776,0.16827054341388425,-0.020819620350506662,2.5466503201601167,0.07371715537333667,-0.042122167641731934
robust_1.25__calmar,2021/15,ADA,2021-03-14,2021-03-15,1,rotation,-0.0229510414661366,-0.04340277777777779,-0.036155557640192404,-0.007247220137585386,0.09834408190196453,0.07767052065154156,0.046645318839615646
robust_1.25__calmar,2021/16,DOGE,2021-03-15,2021-03-18,3,rotation,-0.003478559578371416,-0.005642294017622507,-0.001070094858797055,-0.004572199158825452,-0.09763591681876327,-0.05724738496418824,-0.11446214967396473
robust_1.25__calmar,2021/17,ADA,2021-03-18,2021-03-20,2,rotation,-0.02720407065729141,-0.05989836660617054,-0.014987531608065208,-0.04491083499810533,0.48077378976814744,-0.20464609800362976,-0.09128255816647246
robust_1.25__calmar,2021/18,BTC,2021-03-20,2021-03-21,1,rotation,-0.0016200721825969135,0.0012064447343709261,0.0012064447343709261,0.0,0.17329762107077773,-0.03813320039062551,-0.03997227539680703
robust_1.25__calmar,2021/19,TRX,2021-03-21,2021-03-24,3,stop,-0.06608893053366796,-0.0761961249079619,,,0.11529680365296802,0.044834948267367336,0.6526099428351753
