model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,doge_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,asset,signal_days_pct,trigger_days,source,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,score_lb,doge_fast_ma,doge_slow_ma,doge_min_score,doge_edge_vs_base,doge_risk_ma,doge_risk_buffer,doge_vol_lb,doge_vol_cap,cooldown_days,doge_data_start,doge_data_end,doge_history_days,doge_non_na_close_ratio,doge_max_gap_days
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3,2874,24774.6433083277,101.59102257148795,-33.45815502995442,1.5257513002131136,2.012554224312254,41.8580375782881,8.455114822546973,49.68684759916493,0.0,844,1398.3394682810722,68.21964559766423,-33.45815502995444,1259.2456285609821,125.67852925530438,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,,0.0,0,current_phase63_winner,,,,,,,,,,,,,,,,,,,,
phase65_doge_exact_lb20_f20_s100_m12_e03_rm150_rb-03_v30_060_cd3,2874,121513.5958297444,146.63983998308296,-30.948556787142568,1.7337655034717767,2.4254952853323486,41.8580375782881,8.211551844119693,46.5553235908142,3.37508698677801,790,6552.672883743631,124.00756127787074,-30.948556787142522,2366.629998810105,171.7785589429083,-27.308279944517267,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.37508698677801,66,phase65_exact_doge_challenger,45.04881741159501,2.509598242811851,55.78791568020651,46.10002968760391,-28.58002957439497,20.0,20.0,100.0,0.12,0.03,150.0,-0.03,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s100_m12_e03_rm150_rb+00_v30_060_cd3,2874,121513.5958297444,146.63983998308296,-30.948556787142568,1.7337655034717767,2.4254952853323486,41.8580375782881,8.211551844119693,46.5553235908142,3.37508698677801,790,6552.672883743631,124.00756127787074,-30.948556787142522,2366.629998810105,171.7785589429083,-27.308279944517267,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.37508698677801,66,phase65_exact_doge_challenger,45.04881741159501,2.509598242811851,55.78791568020651,46.10002968760391,-28.58002957439497,20.0,20.0,100.0,0.12,0.03,150.0,0.0,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s100_m12_e03_rm200_rb-03_v30_060_cd3,2874,121513.5958297444,146.63983998308296,-30.948556787142568,1.7337655034717767,2.4254952853323486,41.8580375782881,8.211551844119693,46.5553235908142,3.37508698677801,790,6552.672883743631,124.00756127787074,-30.948556787142522,2366.629998810105,171.7785589429083,-27.308279944517267,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.37508698677801,66,phase65_exact_doge_challenger,45.04881741159501,2.509598242811851,55.78791568020651,46.10002968760391,-28.58002957439497,20.0,20.0,100.0,0.12,0.03,200.0,-0.03,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s100_m12_e03_rm200_rb+00_v30_060_cd3,2874,121513.5958297444,146.63983998308296,-30.948556787142568,1.7337655034717767,2.4254952853323486,41.8580375782881,8.211551844119693,46.5553235908142,3.37508698677801,790,6552.672883743631,124.00756127787074,-30.948556787142522,2366.629998810105,171.7785589429083,-27.308279944517267,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.37508698677801,66,phase65_exact_doge_challenger,45.04881741159501,2.509598242811851,55.78791568020651,46.10002968760391,-28.58002957439497,20.0,20.0,100.0,0.12,0.03,200.0,0.0,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s100_m12_e06_rm150_rb-03_v30_060_cd3,2874,117611.73254743958,145.6197959167393,-30.948556787142568,1.7268107780919826,2.417500127856886,41.8580375782881,8.211551844119693,46.659707724425886,3.2707028531663185,792,6339.227833647379,122.60841600015495,-30.948556787142522,2287.490384873659,169.02817361038706,-27.308279944517267,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.2707028531663185,65,phase65_exact_doge_challenger,44.02877334525134,2.509598242811851,54.38877040249072,43.349644355082674,-28.58002957439497,20.0,20.0,100.0,0.12,0.06,150.0,-0.03,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s100_m12_e06_rm150_rb+00_v30_060_cd3,2874,117611.73254743958,145.6197959167393,-30.948556787142568,1.7268107780919826,2.417500127856886,41.8580375782881,8.211551844119693,46.659707724425886,3.2707028531663185,792,6339.227833647379,122.60841600015495,-30.948556787142522,2287.490384873659,169.02817361038706,-27.308279944517267,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.2707028531663185,65,phase65_exact_doge_challenger,44.02877334525134,2.509598242811851,54.38877040249072,43.349644355082674,-28.58002957439497,20.0,20.0,100.0,0.12,0.06,150.0,0.0,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s100_m12_e06_rm200_rb-03_v30_060_cd3,2874,117611.73254743958,145.6197959167393,-30.948556787142568,1.7268107780919826,2.417500127856886,41.8580375782881,8.211551844119693,46.659707724425886,3.2707028531663185,792,6339.227833647379,122.60841600015495,-30.948556787142522,2287.490384873659,169.02817361038706,-27.308279944517267,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.2707028531663185,65,phase65_exact_doge_challenger,44.02877334525134,2.509598242811851,54.38877040249072,43.349644355082674,-28.58002957439497,20.0,20.0,100.0,0.12,0.06,200.0,-0.03,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s100_m12_e06_rm200_rb+00_v30_060_cd3,2874,117611.73254743958,145.6197959167393,-30.948556787142568,1.7268107780919826,2.417500127856886,41.8580375782881,8.211551844119693,46.659707724425886,3.2707028531663185,792,6339.227833647379,122.60841600015495,-30.948556787142522,2287.490384873659,169.02817361038706,-27.308279944517267,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.2707028531663185,65,phase65_exact_doge_challenger,44.02877334525134,2.509598242811851,54.38877040249072,43.349644355082674,-28.58002957439497,20.0,20.0,100.0,0.12,0.06,200.0,0.0,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s150_m12_e03_rm150_rb-03_v30_060_cd3,2874,115453.96952481504,145.04296091942086,-31.216821406374073,1.722437372754602,2.40855609131081,41.8580375782881,8.211551844119693,46.5553235908142,3.37508698677801,789,6205.133719506411,121.71014035110699,-31.21682140637404,2237.7719378097395,167.26804596136287,-31.216821406374105,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.37508698677801,64,phase65_exact_doge_challenger,43.45193834793291,2.2413336235803456,53.49049475344276,41.58951670605849,-28.58002957439497,20.0,20.0,150.0,0.12,0.03,150.0,-0.03,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
