model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,doge_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,asset,signal_days_pct,trigger_days,source,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,score_lb,doge_fast_ma,doge_slow_ma,doge_min_score,doge_edge_vs_base,doge_risk_ma,doge_risk_buffer,doge_vol_lb,doge_vol_cap,cooldown_days,doge_data_start,doge_data_end,doge_history_days,doge_non_na_close_ratio,doge_max_gap_days
phase65_doge_exact_lb20_f20_s150_m12_e03_rm150_rb+00_v30_060_cd3,2874,115453.96952481504,145.04296091942086,-31.216821406374073,1.722437372754602,2.40855609131081,41.8580375782881,8.211551844119693,46.5553235908142,3.37508698677801,789,6205.133719506411,121.71014035110699,-31.21682140637404,2237.7719378097395,167.26804596136287,-31.216821406374105,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.37508698677801,64,phase65_exact_doge_challenger,43.45193834793291,2.2413336235803456,53.49049475344276,41.58951670605849,-28.58002957439497,20.0,20.0,150.0,0.12,0.03,150.0,0.0,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s150_m12_e03_rm200_rb-03_v30_060_cd3,2874,115453.96952481504,145.04296091942086,-31.216821406374073,1.722437372754602,2.40855609131081,41.8580375782881,8.211551844119693,46.5553235908142,3.37508698677801,789,6205.133719506411,121.71014035110699,-31.21682140637404,2237.7719378097395,167.26804596136287,-31.216821406374105,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.37508698677801,64,phase65_exact_doge_challenger,43.45193834793291,2.2413336235803456,53.49049475344276,41.58951670605849,-28.58002957439497,20.0,20.0,150.0,0.12,0.03,200.0,-0.03,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s150_m12_e03_rm200_rb+00_v30_060_cd3,2874,115453.96952481504,145.04296091942086,-31.216821406374073,1.722437372754602,2.40855609131081,41.8580375782881,8.211551844119693,46.5553235908142,3.37508698677801,789,6205.133719506411,121.71014035110699,-31.21682140637404,2237.7719378097395,167.26804596136287,-31.216821406374105,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.37508698677801,64,phase65_exact_doge_challenger,43.45193834793291,2.2413336235803456,53.49049475344276,41.58951670605849,-28.58002957439497,20.0,20.0,150.0,0.12,0.03,200.0,0.0,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s100_m16_e03_rm150_rb-03_v30_060_cd3,2874,114652.42349405351,144.82628640263124,-30.948556787142568,1.7218225509056755,2.4047332769534493,41.8580375782881,8.24634655532359,46.90327070285317,2.992345163535143,798,6177.343671274283,121.52205142572198,-30.948556787142522,2227.4681444569546,166.90005677238352,-27.308279944517267,105.78293800841911,82.03939620928611,-26.364314314273805,DOGE,2.992345163535143,61,phase65_exact_doge_challenger,43.235263831143286,2.509598242811851,53.30240582805776,41.22152751707914,-31.857594542879568,20.0,20.0,100.0,0.16,0.03,150.0,-0.03,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s100_m16_e03_rm150_rb+00_v30_060_cd3,2874,114652.42349405351,144.82628640263124,-30.948556787142568,1.7218225509056755,2.4047332769534493,41.8580375782881,8.24634655532359,46.90327070285317,2.992345163535143,798,6177.343671274283,121.52205142572198,-30.948556787142522,2227.4681444569546,166.90005677238352,-27.308279944517267,105.78293800841911,82.03939620928611,-26.364314314273805,DOGE,2.992345163535143,61,phase65_exact_doge_challenger,43.235263831143286,2.509598242811851,53.30240582805776,41.22152751707914,-31.857594542879568,20.0,20.0,100.0,0.16,0.03,150.0,0.0,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s100_m16_e03_rm200_rb-03_v30_060_cd3,2874,114652.42349405351,144.82628640263124,-30.948556787142568,1.7218225509056755,2.4047332769534493,41.8580375782881,8.24634655532359,46.90327070285317,2.992345163535143,798,6177.343671274283,121.52205142572198,-30.948556787142522,2227.4681444569546,166.90005677238352,-27.308279944517267,105.78293800841911,82.03939620928611,-26.364314314273805,DOGE,2.992345163535143,61,phase65_exact_doge_challenger,43.235263831143286,2.509598242811851,53.30240582805776,41.22152751707914,-31.857594542879568,20.0,20.0,100.0,0.16,0.03,200.0,-0.03,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s100_m16_e03_rm200_rb+00_v30_060_cd3,2874,114652.42349405351,144.82628640263124,-30.948556787142568,1.7218225509056755,2.4047332769534493,41.8580375782881,8.24634655532359,46.90327070285317,2.992345163535143,798,6177.343671274283,121.52205142572198,-30.948556787142522,2227.4681444569546,166.90005677238352,-27.308279944517267,105.78293800841911,82.03939620928611,-26.364314314273805,DOGE,2.992345163535143,61,phase65_exact_doge_challenger,43.235263831143286,2.509598242811851,53.30240582805776,41.22152751707914,-31.857594542879568,20.0,20.0,100.0,0.16,0.03,200.0,0.0,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s150_m12_e06_rm150_rb-03_v30_060_cd3,2874,111746.52392436846,144.02952116734227,-31.216821406374073,1.7154885887765678,2.400567471081912,41.8580375782881,8.211551844119693,46.659707724425886,3.2707028531663185,791,6002.839152173606,120.3253447034763,-31.21682140637404,2162.7666193310956,164.5633067931116,-31.216821406374105,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.2707028531663185,62,phase65_exact_doge_challenger,42.43849859585431,2.2413336235803456,52.10569910581208,38.88477753780721,-28.58002957439497,20.0,20.0,150.0,0.12,0.06,150.0,-0.03,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s150_m12_e06_rm150_rb+00_v30_060_cd3,2874,111746.52392436846,144.02952116734227,-31.216821406374073,1.7154885887765678,2.400567471081912,41.8580375782881,8.211551844119693,46.659707724425886,3.2707028531663185,791,6002.839152173606,120.3253447034763,-31.21682140637404,2162.7666193310956,164.5633067931116,-31.216821406374105,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.2707028531663185,62,phase65_exact_doge_challenger,42.43849859585431,2.2413336235803456,52.10569910581208,38.88477753780721,-28.58002957439497,20.0,20.0,150.0,0.12,0.06,150.0,0.0,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s150_m12_e06_rm200_rb-03_v30_060_cd3,2874,111746.52392436846,144.02952116734227,-31.216821406374073,1.7154885887765678,2.400567471081912,41.8580375782881,8.211551844119693,46.659707724425886,3.2707028531663185,791,6002.839152173606,120.3253447034763,-31.21682140637404,2162.7666193310956,164.5633067931116,-31.216821406374105,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.2707028531663185,62,phase65_exact_doge_challenger,42.43849859585431,2.2413336235803456,52.10569910581208,38.88477753780721,-28.58002957439497,20.0,20.0,150.0,0.12,0.06,200.0,-0.03,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65_doge_exact_lb20_f20_s150_m12_e06_rm200_rb+00_v30_060_cd3,2874,111746.52392436846,144.02952116734227,-31.216821406374073,1.7154885887765678,2.400567471081912,41.8580375782881,8.211551844119693,46.659707724425886,3.2707028531663185,791,6002.839152173606,120.3253447034763,-31.21682140637404,2162.7666193310956,164.5633067931116,-31.216821406374105,110.25443920542197,85.31696117777071,-26.364314314273805,DOGE,3.2707028531663185,62,phase65_exact_doge_challenger,42.43849859585431,2.2413336235803456,52.10569910581208,38.88477753780721,-28.58002957439497,20.0,20.0,150.0,0.12,0.06,200.0,0.0,30.0,0.06,3.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
