model,days,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,sortino,cash_days_pct,btc_days_pct,base_days_pct,doge_days_pct,trade_count,since2021_total_return_pct,since2021_cagr_pct,since2021_max_drawdown_pct,since2023_total_return_pct,since2023_cagr_pct,since2023_max_drawdown_pct,since2025_total_return_pct,since2025_cagr_pct,since2025_max_drawdown_pct,asset,signal_days_pct,trigger_days,passes_2025_guardrail,source,delta_vs_phase63_cagr_pct,delta_vs_phase63_max_drawdown_pct,delta_vs_phase63_since2021_cagr_pct,delta_vs_phase63_since2023_cagr_pct,delta_vs_phase63_since2025_cagr_pct,score_lb,doge_fast_ma,doge_slow_ma,doge_min_score,doge_edge_vs_base,doge_risk_ma,doge_risk_buffer,doge_vol_lb,doge_vol_cap,cooldown_days,doge_data_start,doge_data_end,doge_history_days,doge_non_na_close_ratio,doge_max_gap_days
phase63_btcpref_f20_s100_r30_m12_rm150_rb-03_v30_045_wb30_wt+02_cd3,2874,24774.6433083277,101.59102257148795,-33.45815502995442,1.5257513002131136,2.012554224312254,41.8580375782881,8.455114822546973,49.68684759916493,0.0,844,1398.3394682810722,68.21964559766423,-33.45815502995444,1259.2456285609821,125.67852925530438,-25.866176348777348,149.9093451554409,113.89699075216568,-20.80923724935961,,0.0,0,True,current_phase63_winner,,,,,,,,,,,,,,,,,,,,
phase65b_doge_guard_lb30_f20_s100_m08_e00_rm150_rb-03_v20_045_cd0,2874,22184.18233775249,98.79317037925858,-44.96119961056273,1.4734566942501828,1.8476231143745205,41.8580375782881,8.24634655532359,47.73834377174669,2.1572720946416144,832,1148.3112130058498,62.42122517762632,-44.96119961056271,1269.1041143007562,126.18780758357389,-29.570236307103983,141.05383757814346,107.58601095287736,-20.80923724935961,DOGE,2.1572720946416144,62,False,phase65b_exact_doge_guardrail,-2.797852192229371,-11.50304458060831,-5.798420420037907,0.5092783282695024,-6.310979799288319,30.0,20.0,100.0,0.08,0.0,150.0,-0.03,20.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb30_f20_s100_m08_e00_rm200_rb+00_v20_045_cd0,2874,21524.439203359285,98.03535471583642,-44.96119961056273,1.4675434317034173,1.8344101154557038,41.8580375782881,8.281141266527488,47.84272790535839,2.0180932498260264,827,1111.3538438780913,61.48606632930718,-44.96119961056271,1228.570563372611,124.07744854879508,-27.446354038783372,141.05383757814346,107.58601095287736,-20.80923724935961,DOGE,2.0180932498260264,58,False,phase65b_exact_doge_guardrail,-3.555667855651535,-11.50304458060831,-6.7335792683570475,-1.6010807065093076,-6.310979799288319,30.0,20.0,100.0,0.08,0.0,200.0,0.0,20.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb30_f20_s100_m08_e00_rm200_rb-03_v20_045_cd0,2874,21074.004928051876,97.50628257509963,-44.96119961056273,1.4626086525830342,1.8308847255726082,41.8580375782881,8.281141266527488,47.773138482950586,2.0876826722338206,831,1086.1214997845905,60.834265809461805,-44.96119961056271,1200.8966101533058,122.61103653015826,-28.957637112167134,141.05383757814346,107.58601095287736,-20.80923724935961,DOGE,2.0876826722338206,60,False,phase65b_exact_doge_guardrail,-4.084739996388322,-11.50304458060831,-7.385379788202421,-3.067492725146124,-6.310979799288319,30.0,20.0,100.0,0.08,0.0,200.0,-0.03,20.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb30_f20_s100_m08_e00_rm150_rb+00_v20_045_cd0,2874,20891.421215387465,97.28902063736375,-44.96119961056273,1.4605927600271307,1.8297484959179964,41.8580375782881,8.281141266527488,47.73834377174669,2.1224773834377175,831,1075.8935590696597,60.56686441880497,-44.96119961056271,1189.6789622080305,122.01051051610835,-29.570236307103983,141.05383757814346,107.58601095287736,-20.80923724935961,DOGE,2.1224773834377175,61,False,phase65b_exact_doge_guardrail,-4.302001934124206,-11.50304458060831,-7.652781178859257,-3.668018739196029,-6.310979799288319,30.0,20.0,100.0,0.08,0.0,150.0,0.0,20.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb30_f20_s150_m08_e00_rm200_rb+00_v20_045_cd0,2874,18920.357310919197,94.83214828343718,-50.691239427553846,1.4373935921327958,1.7963086673271453,41.8580375782881,8.281141266527488,47.73834377174669,2.1224773834377175,822,962.7723142009437,57.47652801477927,-50.69123942755389,1065.611534029083,115.1155943031719,-31.34747143195895,141.05383757814346,107.58601095287736,-20.80923724935961,DOGE,2.1224773834377175,61,False,phase65b_exact_doge_guardrail,-6.758874288050777,-17.233084397599427,-10.743117582884956,-10.56293495213248,-6.310979799288319,30.0,20.0,150.0,0.08,0.0,200.0,0.0,20.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb30_f20_s150_m08_e00_rm200_rb-03_v20_045_cd0,2874,18524.16572505362,94.31163384335355,-51.71833454090632,1.4324656143416155,1.7927186481328694,41.8580375782881,8.281141266527488,47.6687543493389,2.1920668058455117,826,940.634904177865,56.8409110531638,-51.71833454090636,1041.331996341053,113.70783062625831,-32.77749473396278,141.05383757814346,107.58601095287736,-20.80923724935961,DOGE,2.1920668058455117,63,False,phase65b_exact_doge_guardrail,-7.279388728134407,-18.2601795109519,-11.378734544500425,-11.970698629046069,-6.310979799288319,30.0,20.0,150.0,0.08,0.0,200.0,-0.03,20.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb30_f20_s150_m08_e00_rm150_rb-03_v20_045_cd0,2874,18363.56930813049,94.09788610053236,-52.13466795364978,1.4304520202483149,1.7915454710438354,41.8580375782881,8.281141266527488,47.633959638135,2.2268615170494086,826,931.6614962194465,56.58014897291665,-52.134667953649824,1031.49027608158,113.13132231967317,-33.35715524824819,141.05383757814346,107.58601095287736,-20.80923724935961,DOGE,2.2268615170494086,64,False,phase65b_exact_doge_guardrail,-7.493136470955591,-18.676512923695363,-11.639496624747572,-12.547206935631209,-6.310979799288319,30.0,20.0,150.0,0.08,0.0,150.0,-0.03,20.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb30_f20_s150_m08_e00_rm150_rb+00_v20_045_cd0,2874,18363.56930813049,94.09788610053236,-52.13466795364978,1.4304520202483149,1.7915454710438354,41.8580375782881,8.281141266527488,47.633959638135,2.2268615170494086,826,931.6614962194465,56.58014897291665,-52.134667953649824,1031.49027608158,113.13132231967317,-33.35715524824819,141.05383757814346,107.58601095287736,-20.80923724935961,DOGE,2.2268615170494086,64,False,phase65b_exact_doge_guardrail,-7.493136470955591,-18.676512923695363,-11.639496624747572,-12.547206935631209,-6.310979799288319,30.0,20.0,150.0,0.08,0.0,150.0,0.0,20.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
phase65b_doge_guard_lb20_f20_s100_m12_e06_rm150_rb-03_v30_045_cd0,2874,37829.670918903495,112.69460505342188,-33.45815502995444,1.5905216518600096,2.094085513693662,41.8580375782881,8.420320111343075,48.364648573416844,1.3569937369519833,835,2241.3263622112745,83.28315667590611,-33.45815502995444,2023.9763686671242,159.39111673202132,-25.59346643635083,134.41905534891342,102.8318543868887,-20.80923724935961,DOGE,1.3569937369519833,39,False,phase65b_exact_doge_guardrail,11.103582481933927,-2.1316282072803006e-14,15.063511078241888,33.712587476716934,-11.065136365276985,20.0,20.0,100.0,0.12,0.06,150.0,-0.03,30.0,0.045,0.0,2019-07-05,2026-03-17,2448.0,100.0,1.0
