date,open,high,low,close,volume
2018-04-17,0.25551000,0.28800000,0.23983000,0.24260000,67462293.24000000
2018-04-18,0.24260000,0.26460000,0.24201000,0.26200000,31328095.79000000
2018-04-19,0.26199000,0.27500000,0.25777000,0.27004000,50859980.22000000
2018-04-20,0.27004000,0.30442000,0.26648000,0.30108000,71084276.49000000
2018-04-21,0.30161000,0.30700000,0.26509000,0.28668000,92719842.91000000
2018-04-22,0.28669000,0.29730000,0.27716000,0.28160000,48693828.46000000
2018-04-23,0.28160000,0.28867000,0.28064000,0.28788000,34341260.85000000
2018-04-24,0.28798000,0.32000000,0.28593000,0.30853000,90526059.79000000
2018-04-25,0.30850000,0.31099000,0.25730000,0.26870000,124688510.26000000
2018-04-26,0.26870000,0.29390000,0.25500000,0.29326000,68109625.26000000
2018-04-27,0.29326000,0.30643000,0.28145000,0.28445000,69781321.86000000
2018-04-28,0.28440000,0.36498000,0.28170000,0.35676000,168937876.23000000
2018-04-29,0.35675000,0.38660000,0.34150000,0.36254000,162840221.99000000
2018-04-30,0.36251000,0.36370000,0.33000000,0.34145000,93142615.39000000
2018-05-01,0.34145000,0.36034000,0.31870000,0.35504000,120368721.75000000
2018-05-02,0.35498000,0.37586000,0.34500000,0.37199000,65457686.29000000
2018-05-03,0.37199000,0.38850000,0.36402000,0.36716000,88326409.65000000
2018-05-04,0.36683000,0.36897000,0.34650000,0.35800000,56069269.37000000
2018-05-05,0.35840000,0.37434000,0.35771000,0.36502000,46962690.28000000
2018-05-06,0.36502000,0.36641000,0.33538000,0.34654000,63926868.16000000
2018-05-07,0.34599000,0.34740000,0.29100000,0.33046000,64060938.79000000
2018-05-08,0.33079000,0.34559000,0.31630000,0.32213000,45105012.01000000
2018-05-09,0.32213000,0.32547000,0.29800000,0.31884000,60635549.24000000
2018-05-10,0.31884000,0.32210000,0.29100000,0.29121000,38210521.24000000
2018-05-11,0.29121000,0.29349000,0.24880000,0.25573000,141274876.67000000
2018-05-12,0.25574000,0.27898000,0.23402000,0.26550000,145891622.18000000
2018-05-13,0.26497000,0.28500000,0.25600000,0.27718000,80814388.52000000
2018-05-14,0.27718000,0.27815000,0.25123000,0.26655000,91273066.64000000
2018-05-15,0.26631000,0.27500000,0.25130000,0.25394000,45482311.92000000
2018-05-16,0.25394000,0.25580000,0.23700000,0.25237000,52406357.98000000
2018-05-17,0.25237000,0.26054000,0.23666000,0.23919000,40168712.80000000
2018-05-18,0.23915000,0.24500000,0.23037000,0.24324000,42061886.81000000
2018-05-19,0.24382000,0.24750000,0.23580000,0.24116000,32607149.46000000
2018-05-20,0.24151000,0.26006000,0.23832000,0.25556000,47300696.99000000
2018-05-21,0.25556000,0.25999000,0.24301000,0.24563000,41754180.20000000
2018-05-22,0.24588000,0.24730000,0.21841000,0.22000000,46428678.88000000
2018-05-23,0.22000000,0.22310000,0.19270000,0.19780000,109714442.60000000
2018-05-24,0.19767000,0.21040000,0.18865000,0.20730000,77927006.83000000
2018-05-25,0.20731000,0.20900000,0.19351000,0.19788000,75352005.68000000
2018-05-26,0.19798000,0.20400000,0.19380000,0.19504000,75181277.32000000
2018-05-27,0.19506000,0.19580000,0.19010000,0.19186000,69065730.80000000
2018-05-28,0.19198000,0.19400000,0.17125000,0.17249000,97552880.14000000
2018-05-29,0.17249000,0.20896000,0.17055000,0.20164000,152230373.78000000
2018-05-30,0.20176000,0.21683000,0.19689000,0.20779000,170042582.10000000
2018-05-31,0.20846000,0.22879000,0.20321000,0.22330000,168752746.02000000
2018-06-01,0.22331000,0.22850000,0.21347000,0.22038000,120335358.80000000
2018-06-02,0.22038000,0.23000000,0.21666000,0.22648000,112561553.74000000
2018-06-03,0.22647000,0.23677000,0.22259000,0.22659000,118516861.04000000
2018-06-04,0.22660000,0.23030000,0.20882000,0.21243000,117544611.93000000
2018-06-05,0.21217000,0.22160000,0.20221000,0.21839000,126062349.89000000
2018-06-06,0.21835000,0.21949000,0.20799000,0.21452000,95597932.00000000
2018-06-07,0.21470000,0.21863000,0.20800000,0.21019000,88495885.67000000
2018-06-08,0.21034000,0.21053000,0.20025000,0.20430000,88036857.34000000
2018-06-09,0.20430000,0.21000000,0.20031000,0.20110000,77594290.31000000
2018-06-10,0.20108000,0.20108000,0.16806000,0.17346000,142220130.36000000
2018-06-11,0.17346000,0.18067000,0.16404000,0.17897000,89060527.57000000
2018-06-12,0.17910000,0.18130000,0.15800000,0.16297000,92630936.01000000
2018-06-13,0.16309000,0.16609000,0.14500000,0.15791000,123774555.35000000
2018-06-14,0.15798000,0.17700000,0.15300000,0.17062000,201282329.40000000
2018-06-15,0.17091000,0.17100000,0.15997000,0.16097000,114391790.30000000
2018-06-16,0.16098000,0.16436000,0.15762000,0.16191000,78883976.90000000
2018-06-17,0.16209000,0.16436000,0.15962000,0.16044000,83655537.20000000
2018-06-18,0.16047000,0.16810000,0.15540000,0.16370000,106510458.50000000
2018-06-19,0.16370000,0.17149000,0.16120000,0.16700000,92579516.20000000
2018-06-20,0.16675000,0.16768000,0.15675000,0.16182000,101010133.40000000
2018-06-21,0.16181000,0.16369000,0.15670000,0.15779000,81701394.90000000
2018-06-22,0.15773000,0.15861000,0.13429000,0.13843000,130675681.78000000
2018-06-23,0.13786000,0.14189000,0.13345000,0.13710000,87709847.30000000
2018-06-24,0.13708000,0.13828000,0.11910000,0.13093000,143899464.51000000
2018-06-25,0.13085000,0.13889000,0.12619000,0.13521000,112684748.80000000
2018-06-26,0.13521000,0.13571000,0.12458000,0.12519000,64025933.40000000
2018-06-27,0.12512000,0.12832000,0.12271000,0.12752000,94123430.10000000
2018-06-28,0.12753000,0.12891000,0.11742000,0.11825000,98846440.60000000
2018-06-29,0.11818000,0.12700000,0.11359000,0.12534000,127501994.70000000
2018-06-30,0.12541000,0.13880000,0.12533000,0.13784000,165385662.30000000
2018-07-01,0.13783000,0.14590000,0.13303000,0.14211000,154425115.80000000
2018-07-02,0.14196000,0.16209000,0.13760000,0.15448000,188333609.60000000
2018-07-03,0.15448000,0.16054000,0.14811000,0.14966000,185062896.20000000
2018-07-04,0.14973000,0.15999000,0.14586000,0.15112000,102961027.20000000
2018-07-05,0.15122000,0.15598000,0.14300000,0.14736000,124928340.70000000
2018-07-06,0.14735000,0.14759000,0.13803000,0.14501000,95720066.50000000
2018-07-07,0.14528000,0.14842000,0.13698000,0.14783000,90194782.40000000
