date,open,high,low,close,volume
2020-08-11,2.85000000,3.52080000,2.84330000,3.29850000,1552384.78000000
2020-08-12,3.29850000,3.92890000,3.08000000,3.75580000,1737042.95000000
2020-08-13,3.75000000,4.13870000,3.50030000,3.73000000,1685759.24000000
2020-08-14,3.72070000,3.76760000,3.32100000,3.40990000,1474161.79000000
2020-08-15,3.41810000,3.74000000,3.15000000,3.17300000,1070233.20000000
2020-08-16,3.17300000,3.49070000,3.12000000,3.38850000,668106.53000000
2020-08-17,3.38850000,3.39520000,3.10000000,3.11000000,729413.64000000
2020-08-18,3.11000000,3.70920000,2.81050000,3.34070000,2713115.94000000
2020-08-19,3.33400000,3.49000000,2.80000000,2.88680000,1433243.76000000
2020-08-20,2.89620000,3.44500000,2.88710000,3.20380000,1277827.32000000
2020-08-21,3.20380000,3.24000000,2.89000000,2.93170000,1131895.90000000
2020-08-22,2.92130000,3.20000000,2.74310000,3.01260000,1169417.78000000
2020-08-23,3.02240000,3.40000000,3.00140000,3.25000000,1198036.69000000
2020-08-24,3.26580000,3.62000000,3.21000000,3.34050000,1315196.06000000
2020-08-25,3.34060000,3.36540000,3.00010000,3.25000000,1149187.37000000
2020-08-26,3.25760000,3.79990000,3.18090000,3.56840000,2290030.56000000
2020-08-27,3.55570000,3.85750000,3.24340000,3.45010000,2412974.80000000
2020-08-28,3.45030000,4.30910000,3.45030000,4.00630000,2581936.84000000
2020-08-29,4.00700000,4.11210000,3.77480000,3.95350000,1342844.20000000
2020-08-30,3.95310000,4.71170000,3.90000000,4.43090000,1815681.99000000
2020-08-31,4.41270000,4.88650000,4.10000000,4.74350000,1497129.12000000
2020-09-01,4.74320000,4.94750000,4.30000000,4.33970000,1267574.76000000
2020-09-02,4.32130000,4.35060000,3.66000000,4.17000000,2002058.36000000
2020-09-03,4.17000000,4.45900000,3.47720000,3.50510000,3275612.26000000
2020-09-04,3.50620000,3.83460000,3.17390000,3.53010000,2052197.24000000
2020-09-05,3.53010000,3.66370000,2.09260000,2.60520000,4426267.38000000
2020-09-06,2.61190000,3.18000000,2.25750000,3.09410000,2898758.91000000
2020-09-07,3.07850000,3.19830000,2.38000000,2.92370000,2680083.17000000
2020-09-08,2.92370000,2.94990000,2.40000000,2.46800000,1626389.70000000
2020-09-09,2.46800000,3.88380000,2.38210000,3.60010000,6691121.99000000
2020-09-10,3.61070000,3.87500000,3.30400000,3.47610000,4356890.66000000
2020-09-11,3.47070000,3.50360000,3.03160000,3.39650000,2227636.94000000
2020-09-12,3.39670000,3.47000000,3.14940000,3.33160000,1161542.47000000
2020-09-13,3.33860000,3.47000000,2.98380000,3.26030000,2024779.41000000
2020-09-14,3.26560000,3.53930000,3.07520000,3.26410000,3351649.61000000
2020-09-15,3.26400000,3.32490000,2.89550000,2.92950000,1698391.09000000
2020-09-16,2.92880000,2.92930000,2.42820000,2.53270000,4886766.99000000
2020-09-17,2.53760000,2.93890000,2.36000000,2.88290000,4635747.31000000
2020-09-18,2.88300000,3.16000000,2.72600000,3.11440000,4169446.23000000
2020-09-19,3.10840000,3.25450000,2.95640000,3.03100000,1586219.86000000
2020-09-20,3.02160000,3.03190000,2.70000000,2.86280000,1456628.58000000
2020-09-21,2.86280000,3.03970000,2.46890000,2.76720000,3567879.31000000
2020-09-22,2.75710000,3.01070000,2.65000000,2.90820000,3416786.33000000
2020-09-23,2.91840000,3.09000000,2.70010000,2.85480000,2762150.96000000
2020-09-24,2.85500000,3.25710000,2.78040000,3.14330000,2983701.04000000
2020-09-25,3.14090000,3.27660000,2.90030000,3.19370000,2447843.22000000
2020-09-26,3.18500000,3.25000000,3.03000000,3.12870000,1357018.72000000
2020-09-27,3.12920000,3.18570000,2.98190000,3.15780000,983815.86000000
2020-09-28,3.15570000,3.21090000,2.90800000,2.95990000,1306134.15000000
2020-09-29,2.95490000,3.02700000,2.87350000,2.95050000,950875.56000000
2020-09-30,2.94470000,2.98380000,2.82280000,2.89670000,722757.83000000
2020-10-01,2.89670000,2.98890000,2.65000000,2.86690000,1373061.59000000
2020-10-02,2.86670000,2.88730000,2.42000000,2.62320000,2788493.11000000
2020-10-03,2.62310000,2.67080000,2.53560000,2.54390000,547025.23000000
2020-10-04,2.54200000,2.58980000,2.42000000,2.52020000,765399.21000000
2020-10-05,2.51810000,2.68300000,2.45610000,2.65220000,912587.17000000
2020-10-06,2.64860000,2.66040000,2.13000000,2.17400000,1784025.33000000
2020-10-07,2.17210000,2.40830000,2.08100000,2.30050000,2087951.20000000
2020-10-08,2.30010000,2.45690000,2.01230000,2.36380000,2759189.94000000
2020-10-09,2.36860000,2.63000000,2.30300000,2.53140000,1878523.79000000
2020-10-10,2.52740000,2.60560000,2.38730000,2.39990000,1278940.27000000
2020-10-11,2.39880000,2.46070000,2.34010000,2.42270000,898764.08000000
2020-10-12,2.42280000,2.70440000,2.41320000,2.58360000,2155387.01000000
2020-10-13,2.58260000,2.58670000,2.33600000,2.40620000,1951031.10000000
2020-10-14,2.40610000,2.44240000,2.23310000,2.31070000,1125385.85000000
2020-10-15,2.31080000,2.34850000,2.19320000,2.26820000,754909.09000000
2020-10-16,2.26480000,2.26900000,2.10710000,2.13980000,1546650.13000000
2020-10-17,2.13740000,2.24620000,2.11070000,2.20530000,482249.55000000
2020-10-18,2.20310000,2.25950000,2.17630000,2.21500000,478921.26000000
2020-10-19,2.21370000,2.21480000,2.05000000,2.05920000,909217.19000000
2020-10-20,2.05520000,2.10800000,1.84010000,1.88500000,1933167.04000000
2020-10-21,1.88730000,2.11000000,1.84150000,1.88870000,3222724.75000000
2020-10-22,1.88680000,2.09000000,1.84810000,1.95820000,1624778.09000000
2020-10-23,1.95660000,1.99020000,1.85000000,1.95900000,1559992.35000000
2020-10-24,1.96520000,1.97300000,1.88000000,1.91420000,748093.83000000
2020-10-25,1.91750000,1.92440000,1.76000000,1.79260000,1365865.99000000
2020-10-26,1.79250000,1.86850000,1.61210000,1.67990000,2021871.84000000
2020-10-27,1.67710000,1.75000000,1.59060000,1.71100000,2591095.37000000
2020-10-28,1.70840000,1.72550000,1.45080000,1.51800000,3354618.28000000
2020-10-29,1.51660000,1.57540000,1.41480000,1.43270000,1233628.05000000
2020-10-30,1.43280000,1.47260000,1.31630000,1.43810000,1401628.09000000
2020-10-31,1.43830000,1.55800000,1.42660000,1.54970000,851989.58000000
2020-11-01,1.54970000,1.64630000,1.51370000,1.60800000,960664.24000000
2020-11-02,1.60760000,1.64320000,1.46210000,1.47380000,867738.07000000
2020-11-03,1.47290000,1.48400000,1.40620000,1.41180000,983164.88000000
2020-11-04,1.41230000,1.41440000,1.27330000,1.39120000,2560523.86000000
2020-11-05,1.38950000,1.49280000,1.30000000,1.40070000,1598492.56000000
2020-11-06,1.40300000,1.94820000,1.39460000,1.90000000,3846546.90000000
2020-11-07,1.90690000,2.49750000,1.82760000,2.02150000,8862610.63000000
2020-11-08,2.02640000,2.28250000,1.96080000,2.15580000,4800345.92000000
2020-11-09,2.15150000,2.19910000,1.94560000,2.02990000,3050443.52000000
2020-11-10,2.03830000,2.32570000,2.00800000,2.26610000,2119423.36000000
2020-11-11,2.26650000,2.30000000,1.96730000,2.00000000,1863686.19000000
2020-11-12,2.00000000,2.06000000,1.82500000,1.90890000,1522310.89000000
2020-11-13,1.90890000,2.08080000,1.89970000,2.01410000,1595684.08000000
2020-11-14,2.02220000,2.03740000,1.86900000,1.91820000,1191847.42000000
2020-11-15,1.92040000,2.21800000,1.91330000,2.04070000,3348186.49000000
2020-11-16,2.03900000,2.37000000,1.98580000,2.26260000,3192029.56000000
