metric,baseline_model,baseline_value,probe_model,probe_value,delta_probe_minus_baseline
cagr_pct,phase67j_no_neo_main,140.35521107916287,phase68k_early_entry_ladder_probe,140.35521107916287,0.0
max_drawdown_pct,phase67j_no_neo_main,-26.163554706001946,phase68k_early_entry_ladder_probe,-26.163554706001946,0.0
since2023_cagr_pct,phase67j_no_neo_main,198.1911191350214,phase68k_early_entry_ladder_probe,198.1911191350214,0.0
since2025_cagr_pct,phase67j_no_neo_main,107.26982063318093,phase68k_early_entry_ladder_probe,107.26982063318093,0.0
calmar,phase67j_no_neo_main,5.364531412352972,phase68k_early_entry_ladder_probe,5.364531412352972,0.0
early_entry_days,phase67j_no_neo_main,0.0,phase68k_early_entry_ladder_probe,0.0,0.0
avg_lead_days_vs_full_entry,phase67j_no_neo_main,0.0,phase68k_early_entry_ladder_probe,0.0,0.0
false_start_count,phase67j_no_neo_main,0.0,phase68k_early_entry_ladder_probe,0.0,0.0
captured_pre_breakout_return_pct,phase67j_no_neo_main,0.0,phase68k_early_entry_ladder_probe,0.0,0.0
