asset,selected_days,selected_days_pct,profile
ETH,108,3.7578288100208765,phase66f_probation_ref_strict
DOGE,66,2.2964509394572024,phase66f_probation_ref_strict
ADA,48,1.6701461377870561,phase66f_probation_ref_strict
TRX,36,1.2526096033402923,phase66f_probation_ref_strict
ETH,96,3.3402922755741122,phase66f_probation_recent45
DOGE,54,1.8789144050104383,phase66f_probation_recent45
ADA,42,1.4613778705636742,phase66f_probation_recent45
TRX,30,1.0438413361169103,phase66f_probation_recent45
ETH,126,4.3841336116910234,phase66f_probation_recent75
DOGE,78,2.7139874739039667,phase66f_probation_recent75
ADA,66,2.2964509394572024,phase66f_probation_recent75
TRX,36,1.2526096033402923,phase66f_probation_recent75
ETH,108,3.7578288100208765,phase66f_probation_soft_ban4
DOGE,66,2.2964509394572024,phase66f_probation_soft_ban4
ADA,48,1.6701461377870561,phase66f_probation_soft_ban4
TRX,36,1.2526096033402923,phase66f_probation_soft_ban4
ETH,108,3.7578288100208765,phase66f_probation_hard_ban8
DOGE,66,2.2964509394572024,phase66f_probation_hard_ban8
ADA,48,1.6701461377870561,phase66f_probation_hard_ban8
TRX,36,1.2526096033402923,phase66f_probation_hard_ban8
ETH,108,3.7578288100208765,phase66f_probation_soft_thresh_neg05
DOGE,66,2.2964509394572024,phase66f_probation_soft_thresh_neg05
ADA,48,1.6701461377870561,phase66f_probation_soft_thresh_neg05
TRX,42,1.4613778705636742,phase66f_probation_soft_thresh_neg05
ETH,84,2.9227557411273484,phase66f_probation_hard_thresh_pos05
DOGE,36,1.2526096033402923,phase66f_probation_hard_thresh_pos05
ADA,30,1.0438413361169103,phase66f_probation_hard_thresh_pos05
TRX,12,0.41753653444676403,phase66f_probation_hard_thresh_pos05
ETH,120,4.175365344467641,phase66f_probation_lb30
DOGE,66,2.2964509394572024,phase66f_probation_lb30
ADA,48,1.6701461377870561,phase66f_probation_lb30
TRX,24,0.8350730688935281,phase66f_probation_lb30
ETH,120,4.175365344467641,phase66f_probation_lb60
DOGE,66,2.2964509394572024,phase66f_probation_lb60
ADA,48,1.6701461377870561,phase66f_probation_lb60
TRX,48,1.6701461377870561,phase66f_probation_lb60
ETH,108,3.7578288100208765,phase66f_probation_hold2_margin2
DOGE,66,2.2964509394572024,phase66f_probation_hold2_margin2
ADA,48,1.6701461377870561,phase66f_probation_hold2_margin2
TRX,36,1.2526096033402923,phase66f_probation_hold2_margin2
ETH,114,3.966597077244259,phase66f_probation_hold4_margin4
DOGE,66,2.2964509394572024,phase66f_probation_hold4_margin4
ADA,42,1.4613778705636742,phase66f_probation_hold4_margin4
TRX,36,1.2526096033402923,phase66f_probation_hold4_margin4
ETH,90,3.1315240083507305,phase66f_probation_soft_filters
ADA,78,2.7139874739039667,phase66f_probation_soft_filters
DOGE,66,2.2964509394572024,phase66f_probation_soft_filters
TRX,36,1.2526096033402923,phase66f_probation_soft_filters
ETH,108,3.7578288100208765,phase66f_probation_hard_filters
DOGE,66,2.2964509394572024,phase66f_probation_hard_filters
ADA,48,1.6701461377870561,phase66f_probation_hard_filters
TRX,6,0.20876826722338201,phase66f_probation_hard_filters
