date,mechanism_family,baseline_equity_snapshot,overlay_context_equity_snapshot,baseline_regime_snapshot,overlay_context_state,research_status,note
2018-05-04,pre_move_compression_release_quality,1.0,1.0,CASH,dynamic,infrastructure_unblocked_not_scored,research_only_mechanism_stub_using_existing_compare_artifacts
2022-04-17,pre_move_compression_release_quality,29.557355118266717,103.22896342806452,CASH,dynamic,infrastructure_unblocked_not_scored,research_only_mechanism_stub_using_existing_compare_artifacts
2026-03-30,pre_move_compression_release_quality,1038.9375764729098,4411.56818483715,CASH,dynamic,infrastructure_unblocked_not_scored,research_only_mechanism_stub_using_existing_compare_artifacts
