decision_date,rows,selected_asset,selected,keep_reason,best_passed_asset,best_passed_score,selected_asset_prev,asset_changed,hold_streak_weeks,is_core,is_challenger
2019-05-04,0,CORE,False,best_passed,CORE,,,True,1,True,False
2019-05-11,0,CORE,False,best_passed,CORE,,CORE,False,2,True,False
2019-05-18,0,CORE,False,best_passed,CORE,,CORE,False,3,True,False
2019-05-25,0,CORE,False,best_passed,CORE,,CORE,False,4,True,False
2019-06-01,0,CORE,False,best_passed,CORE,,CORE,False,5,True,False
2019-06-08,0,CORE,False,best_passed,CORE,,CORE,False,6,True,False
2019-06-15,0,CORE,False,best_passed,CORE,,CORE,False,7,True,False
2019-06-22,0,CORE,False,best_passed,CORE,,CORE,False,8,True,False
2019-06-29,0,CORE,False,best_passed,CORE,,CORE,False,9,True,False
2019-07-06,0,CORE,False,best_passed,CORE,,CORE,False,10,True,False
2019-07-13,0,CORE,False,best_passed,CORE,,CORE,False,11,True,False
2019-07-20,0,CORE,False,best_passed,CORE,,CORE,False,12,True,False
2019-07-27,0,CORE,False,best_passed,CORE,,CORE,False,13,True,False
2019-08-03,0,CORE,False,best_passed,CORE,,CORE,False,14,True,False
2019-08-10,0,CORE,False,best_passed,CORE,,CORE,False,15,True,False
2019-08-17,0,CORE,False,best_passed,CORE,,CORE,False,16,True,False
2019-08-24,0,CORE,False,best_passed,CORE,,CORE,False,17,True,False
2019-08-31,0,CORE,False,best_passed,CORE,,CORE,False,18,True,False
2019-09-07,0,CORE,False,best_passed,CORE,,CORE,False,19,True,False
2019-09-14,0,CORE,False,best_passed,CORE,,CORE,False,20,True,False
2019-09-21,0,CORE,False,best_passed,CORE,,CORE,False,21,True,False
2019-09-28,0,CORE,False,best_passed,CORE,,CORE,False,22,True,False
2019-10-05,0,CORE,False,best_passed,CORE,,CORE,False,23,True,False
2019-10-12,0,CORE,False,best_passed,CORE,,CORE,False,24,True,False
2019-10-19,0,CORE,False,best_passed,CORE,,CORE,False,25,True,False
2019-10-26,0,CORE,False,best_passed,CORE,,CORE,False,26,True,False
2019-11-02,0,CORE,False,best_passed,CORE,,CORE,False,27,True,False
2019-11-09,0,CORE,False,best_passed,CORE,,CORE,False,28,True,False
2019-11-16,0,CORE,False,best_passed,CORE,,CORE,False,29,True,False
2019-11-23,0,CORE,False,best_passed,CORE,,CORE,False,30,True,False
2019-11-30,0,CORE,False,best_passed,CORE,,CORE,False,31,True,False
2019-12-07,0,CORE,False,best_passed,CORE,,CORE,False,32,True,False
2019-12-14,0,CORE,False,best_passed,CORE,,CORE,False,33,True,False
2019-12-21,0,CORE,False,best_passed,CORE,,CORE,False,34,True,False
2019-12-28,0,CORE,False,best_passed,CORE,,CORE,False,35,True,False
2020-01-04,0,CORE,False,best_passed,CORE,,CORE,False,36,True,False
2020-01-11,0,CORE,False,best_passed,CORE,,CORE,False,37,True,False
2020-01-18,0,CORE,False,best_passed,CORE,,CORE,False,38,True,False
2020-01-25,0,CORE,False,best_passed,CORE,,CORE,False,39,True,False
2020-02-01,1,XTZ,True,best_passed,XTZ,72.25035374392641,CORE,True,1,False,True
2020-02-08,1,XTZ,True,min_hold,XTZ,254.2651620873944,XTZ,False,2,False,True
2020-02-15,1,XTZ,True,incumbent_best,XTZ,503.2392653705109,XTZ,False,3,False,True
2020-02-22,1,XTZ,True,incumbent_best,XTZ,502.48755647245525,XTZ,False,4,False,True
2020-02-29,1,XTZ,True,incumbent_best,XTZ,502.48755647245525,XTZ,False,5,False,True
2020-03-07,1,XTZ,True,incumbent_best,XTZ,502.48755647245525,XTZ,False,6,False,True
2020-03-14,1,XTZ,True,incumbent_best,XTZ,502.48755647245525,XTZ,False,7,False,True
2020-03-21,1,XTZ,True,incumbent_best,XTZ,503.10399724867466,XTZ,False,8,False,True
2020-03-28,1,XTZ,True,incumbent_best,XTZ,492.6573598454546,XTZ,False,9,False,True
2020-04-04,1,XTZ,True,incumbent_best,XTZ,277.35527870439216,XTZ,False,10,False,True
2020-04-11,1,XTZ,True,incumbent_best,XTZ,199.47806686959757,XTZ,False,11,False,True
2020-04-18,1,XTZ,True,incumbent_best,XTZ,196.6732663997159,XTZ,False,12,False,True
2020-04-25,1,XTZ,True,incumbent_best,XTZ,194.7896796345943,XTZ,False,13,False,True
2020-05-02,1,XTZ,True,incumbent_best,XTZ,169.03353765722468,XTZ,False,14,False,True
2020-05-09,1,XTZ,True,incumbent_best,XTZ,140.4636794448738,XTZ,False,15,False,True
2020-05-16,1,XTZ,True,incumbent_best,XTZ,131.18676407805836,XTZ,False,16,False,True
2020-05-23,1,XTZ,True,incumbent_best,XTZ,173.35604452789178,XTZ,False,17,False,True
2020-05-30,1,XTZ,True,incumbent_best,XTZ,169.4112795607943,XTZ,False,18,False,True
2020-06-06,1,XTZ,True,incumbent_best,XTZ,173.63565547015307,XTZ,False,19,False,True
2020-06-13,1,XTZ,True,incumbent_best,XTZ,125.26449373295164,XTZ,False,20,False,True
2020-06-20,1,XTZ,True,incumbent_best,XTZ,111.94300724853156,XTZ,False,21,False,True
2020-06-27,1,XTZ,True,incumbent_best,XTZ,111.01035797688697,XTZ,False,22,False,True
2020-07-04,1,XTZ,True,incumbent_best,XTZ,130.15354548394123,XTZ,False,23,False,True
2020-07-11,1,NEO,True,best_passed,NEO,83.0571881946075,XTZ,True,1,False,True
2020-07-18,1,NEO,True,min_hold,NEO,81.01632375841903,NEO,False,2,False,True
2020-07-25,1,NEO,True,incumbent_best,NEO,74.15157492362982,NEO,False,3,False,True
2020-08-01,1,NEO,True,incumbent_best,NEO,87.22815571954385,NEO,False,4,False,True
2020-08-08,1,DOGE,True,best_passed,DOGE,54.17115859591132,NEO,True,1,False,True
2020-08-15,1,DOGE,True,min_hold,XTZ,234.21274076121404,DOGE,False,2,False,True
2020-08-22,1,XTZ,True,best_passed,XTZ,226.0945997794706,DOGE,True,1,False,True
2020-08-29,1,XTZ,True,min_hold,XTZ,238.1137511979949,XTZ,False,2,False,True
2020-09-05,1,XTZ,True,incumbent_best,XTZ,213.73162975996968,XTZ,False,3,False,True
2020-09-12,1,XTZ,True,incumbent_best,XTZ,215.3123713171513,XTZ,False,4,False,True
2020-09-19,1,XTZ,True,incumbent_best,XTZ,227.43042727129924,XTZ,False,5,False,True
2020-09-26,1,XTZ,True,incumbent_best,XTZ,224.4180862874128,XTZ,False,6,False,True
2020-10-03,1,XTZ,True,incumbent_best,XTZ,222.19807576432936,XTZ,False,7,False,True
2020-10-10,1,XTZ,True,incumbent_best,XTZ,224.454633019838,XTZ,False,8,False,True
2020-10-17,1,XTZ,True,incumbent_best,XTZ,243.3545527232103,XTZ,False,9,False,True
2020-10-24,1,XTZ,True,incumbent_best,XTZ,261.05582604415474,XTZ,False,10,False,True
2020-10-31,1,XTZ,True,incumbent_best,XTZ,261.0829920681718,XTZ,False,11,False,True
2020-11-07,1,XTZ,True,incumbent_best,XTZ,293.32388189954406,XTZ,False,12,False,True
2020-11-14,1,XTZ,True,incumbent_best,XTZ,302.3906914290367,XTZ,False,13,False,True
2020-11-21,1,XTZ,True,incumbent_best,XTZ,498.8878854085206,XTZ,False,14,False,True
2020-11-28,1,XTZ,True,incumbent_best,XTZ,489.9137023158884,XTZ,False,15,False,True
2020-12-05,1,XTZ,True,incumbent_best,XTZ,521.4131824262068,XTZ,False,16,False,True
2020-12-12,1,XTZ,True,incumbent_best,XTZ,516.4670229698469,XTZ,False,17,False,True
2020-12-19,1,XTZ,True,incumbent_best,XTZ,624.5258142504227,XTZ,False,18,False,True
2020-12-26,1,XTZ,True,incumbent_best,XTZ,699.5137344570874,XTZ,False,19,False,True
2021-01-02,1,XTZ,True,incumbent_best,XTZ,877.7774061921224,XTZ,False,20,False,True
2021-01-09,1,XTZ,True,incumbent_best,XTZ,876.4639865900064,XTZ,False,21,False,True
2021-01-16,1,XTZ,True,incumbent_best,XTZ,876.4639865900064,XTZ,False,22,False,True
2021-01-23,1,XTZ,True,incumbent_best,XTZ,914.318319149292,XTZ,False,23,False,True
2021-01-30,1,XTZ,True,incumbent_best,XTZ,639.2037718332712,XTZ,False,24,False,True
2021-02-06,1,XTZ,True,incumbent_best,XTZ,310.1185582312428,XTZ,False,25,False,True
2021-02-13,1,XTZ,True,incumbent_best,XTZ,33.23886629055448,XTZ,False,26,False,True
2021-02-20,1,DOGE,True,best_passed,DOGE,129.21650702408368,XTZ,True,1,False,True
2021-02-27,1,DOGE,True,min_hold,DOGE,129.21650702408368,DOGE,False,2,False,True
2021-03-06,1,DOGE,True,incumbent_best,DOGE,129.21650702408368,DOGE,False,3,False,True
2021-03-13,1,DOGE,True,incumbent_best,DOGE,141.24823637478124,DOGE,False,4,False,True
2021-03-20,1,DOGE,True,incumbent_best,DOGE,134.29065125514376,DOGE,False,5,False,True
2021-03-27,1,DOGE,True,incumbent_best,DOGE,139.79097724554236,DOGE,False,6,False,True
2021-04-03,1,XTZ,True,best_passed,XTZ,249.85127376345196,DOGE,True,1,False,True
2021-04-10,1,XTZ,True,min_hold,XTZ,258.275024996844,XTZ,False,2,False,True
2021-04-17,1,XTZ,True,incumbent_best,XTZ,268.29898523907866,XTZ,False,3,False,True
2021-04-24,1,XTZ,True,incumbent_best,XTZ,243.4085437053373,XTZ,False,4,False,True
2021-05-01,1,XTZ,True,incumbent_best,XTZ,243.4085437053373,XTZ,False,5,False,True
2021-05-08,1,XTZ,True,incumbent_best,XTZ,301.4833932992147,XTZ,False,6,False,True
2021-05-15,1,NEO,True,best_passed,NEO,138.32208008169994,XTZ,True,1,False,True
2021-05-22,1,NEO,True,min_hold,NEO,74.922874491693,NEO,False,2,False,True
2021-05-29,1,NEO,True,incumbent_best,NEO,73.84671269290628,NEO,False,3,False,True
2021-06-05,1,NEO,True,incumbent_best,NEO,72.04292058774534,NEO,False,4,False,True
2021-06-12,1,XTZ,True,best_passed,XTZ,183.7653981840633,NEO,True,1,False,True
2021-06-19,1,XTZ,True,min_hold,XTZ,181.89690691764332,XTZ,False,2,False,True
2021-06-26,1,XTZ,True,incumbent_best,XTZ,177.4428375741804,XTZ,False,3,False,True
2021-07-03,1,XTZ,True,incumbent_best,XTZ,151.0375436265136,XTZ,False,4,False,True
2021-07-10,1,XTZ,True,incumbent_best,XTZ,125.11075020625285,XTZ,False,5,False,True
2021-07-17,1,XTZ,True,incumbent_best,XTZ,127.02240409257708,XTZ,False,6,False,True
2021-07-24,1,XTZ,True,incumbent_best,XTZ,97.86825737162732,XTZ,False,7,False,True
2021-07-31,1,XTZ,True,incumbent_best,XTZ,81.8761238455939,XTZ,False,8,False,True
2021-08-07,1,XTZ,True,incumbent_best,XTZ,77.87324748472201,XTZ,False,9,False,True
2021-08-14,1,XTZ,True,incumbent_best,XTZ,77.72165842630488,XTZ,False,10,False,True
2021-08-21,1,XTZ,True,incumbent_best,XTZ,83.47211972098611,XTZ,False,11,False,True
2021-08-28,1,XTZ,True,incumbent_best,XTZ,184.49313605878308,XTZ,False,12,False,True
2021-09-04,1,XTZ,True,incumbent_best,XTZ,209.5918217681202,XTZ,False,13,False,True
2021-09-11,1,XTZ,True,incumbent_best,XTZ,180.91821775956825,XTZ,False,14,False,True
2021-09-18,1,XTZ,True,incumbent_best,XTZ,173.0797538897331,XTZ,False,15,False,True
2021-09-25,1,XTZ,True,incumbent_best,XTZ,174.94843146404986,XTZ,False,16,False,True
2021-10-02,1,XTZ,True,incumbent_best,XTZ,176.35834285565855,XTZ,False,17,False,True
2021-10-09,1,XTZ,True,incumbent_best,XTZ,179.25263352555797,XTZ,False,18,False,True
2021-10-16,1,XTZ,True,incumbent_best,XTZ,175.60412483369802,XTZ,False,19,False,True
2021-10-23,1,STX,True,best_passed,STX,62.50128662103042,XTZ,True,1,False,True
2021-10-30,1,STX,True,min_hold,XTZ,129.85859129409295,STX,False,2,False,True
2021-11-06,1,XTZ,True,best_passed,XTZ,124.2495181520886,STX,True,1,False,True
2021-11-13,1,XTZ,True,min_hold,XTZ,123.19866690412132,XTZ,False,2,False,True
2021-11-20,1,XTZ,True,incumbent_best,XTZ,67.78886592276571,XTZ,False,3,False,True
2021-11-27,1,XTZ,True,incumbent_best,XTZ,77.70723492801746,XTZ,False,4,False,True
2021-12-04,1,XTZ,True,incumbent_best,XTZ,75.43254346266441,XTZ,False,5,False,True
2021-12-11,1,XTZ,True,incumbent_best,XTZ,76.15661884084189,XTZ,False,6,False,True
2021-12-18,1,XTZ,True,incumbent_best,XTZ,62.95860412510526,XTZ,False,7,False,True
2021-12-25,1,XTZ,True,incumbent_best,XTZ,56.20387133078347,XTZ,False,8,False,True
2022-01-01,1,XTZ,True,incumbent_best,XTZ,44.79059899235559,XTZ,False,9,False,True
2022-01-08,1,XTZ,True,incumbent_best,XTZ,44.85767094529915,XTZ,False,10,False,True
2022-01-15,1,XTZ,True,incumbent_best,XTZ,44.85767094529915,XTZ,False,11,False,True
2022-01-22,1,XTZ,True,incumbent_best,XTZ,44.85767094529915,XTZ,False,12,False,True
2022-01-29,1,XTZ,True,incumbent_best,XTZ,44.85767094529915,XTZ,False,13,False,True
2022-02-05,1,XTZ,True,incumbent_best,XTZ,44.85767094529915,XTZ,False,14,False,True
2022-02-12,1,XTZ,True,incumbent_best,XTZ,44.85767094529915,XTZ,False,15,False,True
2022-02-19,1,XTZ,True,incumbent_best,XTZ,44.85767094529915,XTZ,False,16,False,True
2022-02-26,1,XTZ,True,incumbent_best,XTZ,44.85767094529915,XTZ,False,17,False,True
2022-03-05,1,XTZ,True,incumbent_best,XTZ,44.85767094529915,XTZ,False,18,False,True
2022-03-12,1,XTZ,True,incumbent_best,XTZ,40.957697998702926,XTZ,False,19,False,True
2022-03-19,1,XTZ,True,incumbent_best,XTZ,43.12557398604815,XTZ,False,20,False,True
2022-03-26,1,XTZ,True,incumbent_best,XTZ,41.39345969163818,XTZ,False,21,False,True
2022-04-02,1,XTZ,True,switch_margin_not_met,STX,15.834693698669438,XTZ,False,22,False,True
2022-04-09,1,XTZ,True,switch_margin_not_met,STX,14.531362793117266,XTZ,False,23,False,True
2022-04-16,1,XTZ,True,incumbent_best,XTZ,14.581018135036388,XTZ,False,24,False,True
2022-04-23,1,XTZ,True,incumbent_best,XTZ,16.040415695366644,XTZ,False,25,False,True
2022-04-30,1,XTZ,True,incumbent_best,XTZ,16.040415695366644,XTZ,False,26,False,True
2022-05-07,1,XTZ,True,incumbent_best,XTZ,13.476901655168664,XTZ,False,27,False,True
